rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,20775,11.1,41%,95.6,91,99.6,98.0,68.7,96.4,2021
2,Stanford University,16223,7.4,23%,94.9,92,96.7,99.9,90.1,79.5,2021
3,Harvard University,21261,9.3,25%,94.8,94,98.8,99.4,46.8,77.7,2021
4,California Institute of Technology,2238,6.3,33%,94.5,93,96.9,97.0,92.7,83.6,2021
5,Massachusetts Institute of Technology,11276,8.4,34%,94.4,91,94.4,99.7,90.4,90.0,2021
6,University of Cambridge,19370,11.0,38%,94.0,90,99.2,95.6,52.1,95.7,2021
7,"University of California, Berkeley",39918,19.8,17%,92.2,86,97.2,99.1,84.3,72.3,2021
8,Yale University,12910,6.0,20%,91.6,92,93.8,97.9,56.1,68.4,2021
9,Princeton University,8091,8.0,23%,91.5,89,92.5,98.9,58.0,80.2,2021
10,The University of Chicago,14292,5.9,31%,90.3,89,90.5,98.6,54.9,74.0,2021
11,Imperial College London,17175,11.6,58%,89.4,82,88.2,97.2,69.6,97.4,2021
12,Johns Hopkins University,16432,4.4,27%,89.2,82,91.8,97.7,93.4,73.9,2021
13,University of Pennsylvania,20771,6.4,21%,88.9,85,89.9,98.1,77.9,66.3,2021
14,ETH Zurich,19632,13.1,40%,87.9,80,92.3,90.5,62.8,98.0,2021
15,"University of California, Los Angeles",41673,10.0,17%,87.1,83,90.2,96.5,57.6,65.3,2021
16,UCL,34590,10.8,55%,86.9,77,89.4,96.2,42.1,96.5,2021
17,Columbia University,27384,5.7,39%,86.8,85,82.9,97.7,45.0,79.8,2021
18,University of Toronto,74502,20.0,22%,86.0,75,90.9,94.5,50.0,87.2,2021
19,Cornell University,23016,10.2,25%,85.3,79,86.7,97.2,36.3,73.7,2021
20,Duke University,15489,4.3,21%,84.8,81,80.4,96.9,99.7,65.5,2021
21,Tsinghua University,37484,11.6,13%,84.8,88,94.9,78.8,100.0,51.1,2021
22,University of Michigan-Ann Arbor,43873,8.3,17%,84.0,79,86.9,95.4,47.2,59.6,2021
23,Peking University,38583,11.1,16%,83.9,90,91.3,75.4,96.3,61.2,2021
24,Northwestern University,18529,13.0,19%,83.6,75,83.6,98.2,69.9,64.5,2021
25,National University of Singapore,30943,18.0,26%,83.5,76,90.8,81.5,77.8,94.8,2021
26,New York University,44474,8.8,34%,81.9,76,80.6,96.0,37.3,69.6,2021
27,London School of Economics and Political Science,10660,12.0,72%,81.4,69,82.5,94.3,34.1,92.8,2021
28,Carnegie Mellon University,14058,13.7,48%,81.0,65,81.3,98.9,53.3,80.5,2021
29,University of Washington,46258,10.7,17%,80.4,70,80.5,98.7,45.6,60.9,2021
30,University of Edinburgh,30650,12.1,42%,79.4,67,74.7,96.0,38.7,94.6,2021
31,University of Melbourne,50094,27.0,48%,78.9,67,76.3,90.1,74.2,93.9,2021
32,LMU Munich,34249,33.6,17%,78.2,69,78.7,87.9,100.0,68.1,2021
33,"University of California, San Diego",34232,12.0,30%,77.7,60,80.4,94.3,95.6,64.4,2021
34,University of British Columbia,53123,18.7,32%,76.4,62,75.1,90.0,44.7,94.7,2021
35,King’s College London,27400,12.4,46%,76.1,57,72.4,96.6,43.6,95.4,2021
36,Karolinska Institute,7696,8.8,26%,76.0,58,72.2,95.8,71.4,87.3,2021
37,The University of Tokyo,25935,10.6,13%,76.0,88,90.7,57.7,82.6,40.1,2021
38,Georgia Institute of Technology,26043,23.6,27%,75.8,60,76.8,91.1,65.8,78.9,2021
39,University of Hong Kong,18135,18.2,43%,75.2,68,73.3,80.3,57.4,99.0,2021
40,McGill University,31578,12.8,31%,75.1,64,73.4,86.4,43.7,91.3,2021
41,Technical University of Munich,32377,39.8,31%,74.8,64,73.6,85.0,100.0,74.4,2021
42,Universität Heidelberg,20020,14.5,18%,74.3,68,61.7,96.6,56.9,68.4,2021
43,École Polytechnique Fédérale de Lausanne,10942,12.2,60%,74.1,64,66.7,85.8,73.3,98.5,2021
44,University of Texas at Austin,49510,16.9,10%,74.0,68,74.8,90.5,46.2,39.4,2021
