rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1.0,California Institute of Technology,94.9,94.4,98.2,99.8,91.2,65.8,2243.0,6.9,0.27,2014
2.0,Harvard University,93.9,95.3,98.5,99.1,40.6,66.2,20152.0,8.9,0.25,2014
3.0,University of Oxford,93.9,89.0,98.5,95.4,90.3,90.2,19919.0,11.6,0.34,2014
4.0,Stanford University,93.8,94.7,96.8,99.1,61.3,68.0,15596.0,7.8,0.22,2014
5.0,Massachusetts Institute of Technology,93.0,92.9,89.0,100.0,94.3,82.0,11074.0,9.0,0.33,2014
6.0,Princeton University,92.7,89.9,97.6,99.7,80.5,59.6,7929.0,8.4,0.27,2014
7.0,University of Cambridge,92.3,90.6,95.3,95.7,52.8,86.7,18812.0,11.8,0.34,2014
8.0,"University of California, Berkeley",89.8,83.2,97.5,99.3,59.5,57.3,36186.0,16.4,0.15,2014
9.0,University of Chicago,87.8,85.6,88.2,98.0,-,58.6,14221.0,6.9,0.21,2014
10.0,Imperial College London,87.5,84.5,88.1,90.0,72.3,91.8,15060.0,11.7,0.51,2014
11.0,Yale University,87.4,89.5,90.5,93.5,38.7,57.6,11751.0,4.4,0.2,2014
12.0,"University of California, Los Angeles",86.3,84.8,91.0,95.6,-,46.4,38206.0,10.3,0.15,2014
13.0,Columbia University,85.2,86.6,79.1,95.6,-,68.0,25055.0,5.9,0.28,2014
14.0,ETH Zurich – Swiss Federal Institute of Technology Zurich,84.5,77.6,88.2,85.0,78.8,96.7,18178.0,14.7,0.37,2014
15.0,Johns Hopkins University,83.7,75.7,85.1,95.0,100,59.3,15128.0,3.6,0.23,2014
16.0,University of Pennsylvania,81.0,79.8,81.2,95.0,45.2,40.6,20376.0,6.5,0.2,2014
17.0,Duke University,79.3,73.9,73.0,96.7,100,50.0,15172.0,4.8,0.17,2014
18.0,University of Michigan,79.2,70.0,86.2,90.8,53.5,49.5,41786.0,9.0,0.16,2014
19.0,Cornell University,79.1,72.1,83.8,90.8,35.8,55.6,21424.0,10.2,0.19,2014
20.0,University of Toronto,78.3,73.6,81.5,84.5,45.8,70.0,66198.0,19.5,0.15,2014
21.0,University College London,77.6,70.5,77.5,84.1,46.8,90.2,26607.0,10.7,0.46,2014
22.0,Northwestern University,77.1,70.2,76.0,97.1,61.9,34.4,18334.0,13.8,0.15,2014
23.0,University of Tokyo,76.4,84.7,88.0,69.8,56.7,29.6,26199.0,5.7,0.1,2014
24.0,Carnegie Mellon University,76.0,63.1,77.4,93.9,52.5,58.1,11885.0,13.1,0.35,2014
25.0,University of Washington,73.4,65.6,69.2,95.6,43.1,43.2,44020.0,11.8,0.13,2014
26.0,National University of Singapore,72.4,68.0,77.8,66.4,64.3,94.3,31592.0,15.5,0.34,2014
27.0,University of Texas at Austin,72.2,64.7,69.0,91.3,59.6,42.4,49427.0,17.4,0.09,2014
28.0,Georgia Institute of Technology,71.6,59.4,68.6,87.9,71.3,67.8,19967.0,20.1,0.26,2014
29.0,University of Illinois at Urbana-Champaign,71.4,66.0,78.9,79.4,-,41.1,42727.0,18.7,0.2,2014
30.0,University of Wisconsin-Madison,71.1,69.8,67.7,87.2,51.2,32.3,39655.0,10.8,0.11,2014
31.0,University of British Columbia,70.8,59.9,67.9,83.7,43.1,84.2,50152.0,17.6,0.25,2014
32.0,London School of Economics and Political Science,69.8,65.2,74.2,69.2,43.6,81.7,,,,2014
33.0,"University of California, Santa Barbara",68.4,47.8,58.2,99.4,86.7,61.8,22020.0,27.3,0.11,2014
