rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
279,University of Newcastle,23706,0.29,0.19,51.0,27.1,33.2,78.9,61.4,85.6,2022,0.53,0.29,0.33,0.79,0.61,0.86,0.06,0.14,0.21,2021,1
162,University of Ottawa,35791,0.25,0.22,56.7,40.4,40.6,83.3,50.0,82.1,2022,0.59,0.43,0.41,0.83,0.5,0.82,0.08,0.12,0.24,2021,1
105,University of Birmingham,31365,0.15,0.32,61.5,40.3,45.2,93.3,40.6,91.7,2022,0.64,0.43,0.45,0.93,0.41,0.92,0.07,0.07,0.35,2023,-1
161,Durham University,17725,0.15,0.33,56.7,44.9,47.8,69.7,37.8,93.8,2022,0.59,0.48,0.48,0.7,0.38,0.94,0.04,0.07,0.36,2020,2
1720,University of Gloucestershire,6955,0.18,0.1,30.19,27.55,23.34,49.04,46.37,47.31,2022,0.32,0.29,0.23,0.49,0.46,0.47,0.02,0.09,0.11,2022,0
568,University of Portsmouth,21690,0.16,0.27,42.87,20.0,17.8,70.6,35.6,90.0,2022,0.45,0.21,0.18,0.71,0.36,0.9,0.05,0.08,0.3,2021,1
603,Auburn University,27469,0.19,0.1,42.19,31.1,22.7,47.5,41.8,48.1,2022,0.44,0.33,0.23,0.48,0.42,0.48,0.06,0.09,0.11,2019,3
244,University College Dublin,23066,0.23,0.31,52.54,32.2,39.0,71.8,48.7,93.6,2022,0.55,0.34,0.39,0.72,0.49,0.94,0.05,0.11,0.34,2020,2
1170,University of Wolverhampton,14525,0.18,0.22,34.6,17.4,13.5,36.7,35.0,67.9,2022,0.36,0.18,0.14,0.37,0.35,0.68,0.03,0.09,0.24,2015,7
334,University of South Australia,22377,0.32,0.22,48.95,23.5,36.6,68.1,84.3,88.4,2022,0.51,0.25,0.37,0.68,0.84,0.88,0.05,0.16,0.24,2015,7
219,La Trobe University,26097,0.34,0.39,53.77,27.6,34.0,86.3,46.7,89.8,2022,0.56,0.29,0.34,0.86,0.47,0.9,0.06,0.17,0.43,2015,7
141,University of Nottingham,31360,0.15,0.3,58.1,43.6,44.2,80.1,40.5,89.2,2022,0.61,0.46,0.44,0.8,0.4,0.89,0.07,0.07,0.33,2021,1
497,Aberystwyth University,6445,0.17,0.23,44.4,24.1,24.9,63.0,38.6,79.0,2022,0.46,0.26,0.25,0.63,0.39,0.79,0.02,0.08,0.25,2021,1
30,University of Edinburgh,31630,0.12,0.44,78.9,66.1,74.2,95.6,40.2,95.2,2022,0.82,0.7,0.74,0.96,0.4,0.95,0.07,0.06,0.48,2017,5
773,Ulster University,17415,0.18,0.09,39.34,24.5,19.6,47.5,37.1,77.7,2022,0.41,0.26,0.2,0.48,0.37,0.78,0.04,0.09,0.1,2020,2
136,University of Auckland,32983,0.23,0.32,58.4,34.0,46.3,84.8,69.4,94.6,2022,0.61,0.36,0.46,0.85,0.69,0.95,0.08,0.11,0.35,2018,4
362,University of Georgia,37190,0.17,0.07,48.02,42.2,42.4,53.2,38.2,47.0,2022,0.5,0.45,0.43,0.53,0.38,0.47,0.09,0.08,0.08,2020,2
252,Boston College,12958,0.15,0.12,52.17,47.5,34.6,64.4,35.1,46.4,2022,0.55,0.5,0.35,0.64,0.35,0.46,0.03,0.07,0.13,2015,7
496,York University,43258,0.29,0.27,44.42,27.4,33.9,59.3,43.1,73.5,2022,0.46,0.29,0.34,0.59,0.43,0.74,0.1,0.14,0.3,2019,3
185,University of Leicester,15030,0.14,0.31,54.8,30.0,32.3,94.2,39.9,91.0,2022,0.57,0.32,0.32,0.94,0.4,0.91,0.04,0.07,0.34,2016,6
44,McGill University,31581,0.13,0.32,73.4,63.3,70.9,83.9,45.3,91.5,2022,0.77,0.67,0.71,0.84,0.45,0.92,0.07,0.06,0.35,2020,2
