rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
227,University of Newcastle,23838,0.23,0.18,50.82,29.3,28.5,73.5,63.7,79.8,2017,0.53,0.31,0.29,0.74,0.64,0.8,0.02,0.04,0.21,2021,-4
280,University of Ottawa,34946,0.25,0.15,48.33,38.1,21.0,67.5,41.5,71.8,2017,0.51,0.4,0.21,0.68,0.42,0.72,0.02,0.04,0.18,2021,-4
130,University of Birmingham,26360,0.17,0.25,57.6,38.6,42.4,86.8,38.0,84.2,2017,0.61,0.4,0.43,0.87,0.38,0.84,0.02,0.03,0.3,2023,-6
96,Durham University,15705,0.15,0.26,60.6,43.0,49.0,85.0,37.4,87.0,2017,0.64,0.45,0.49,0.85,0.37,0.87,0.01,0.03,0.31,2020,-3
467,University of Portsmouth,18950,0.16,0.25,42.26,16.7,13.2,61.8,32.6,82.4,2017,0.44,0.17,0.13,0.62,0.33,0.82,0.01,0.03,0.3,2021,-4
603,Auburn University,22282,0.18,0.05,39.23,31.7,18.3,24.2,40.0,30.9,2017,0.41,0.33,0.18,0.24,0.4,0.31,0.02,0.03,0.06,2019,-2
211,University College Dublin,21438,0.23,0.25,51.69,31.5,37.8,72.5,37.4,88.1,2017,0.54,0.33,0.38,0.72,0.37,0.88,0.02,0.04,0.3,2020,-3
285,University of South Australia,19996,0.3,0.33,48.12,29.9,29.9,58.4,82.9,90.1,2017,0.51,0.31,0.3,0.58,0.83,0.9,0.01,0.05,0.39,2015,2
374,La Trobe University,22422,0.3,0.25,44.9,26.7,29.7,49.0,45.5,78.7,2017,0.47,0.28,0.3,0.49,0.46,0.79,0.02,0.05,0.3,2015,2
148,University of Nottingham,29740,0.15,0.28,55.5,41.0,41.3,78.9,39.8,81.6,2017,0.58,0.43,0.42,0.79,0.4,0.82,0.02,0.03,0.33,2021,-4
300,Aberystwyth University,8735,0.17,0.18,47.51,20.5,21.3,77.5,34.9,75.1,2017,0.5,0.21,0.21,0.78,0.35,0.75,0.01,0.03,0.21,2021,-4
27,University of Edinburgh,25280,0.12,0.37,79.2,67.5,74.7,96.0,35.0,91.5,2017,0.83,0.71,0.75,0.96,0.35,0.92,0.02,0.02,0.44,2017,0
582,Ulster University,17660,0.14,0.07,39.65,18.7,15.3,49.5,33.1,70.7,2017,0.42,0.2,0.15,0.5,0.33,0.71,0.01,0.02,0.08,2020,-3
166,University of Auckland,30287,0.19,0.29,53.4,32.8,40.8,75.8,70.5,90.5,2017,0.56,0.34,0.41,0.76,0.7,0.91,0.02,0.03,0.35,2018,-1
317,University of Georgia,33241,0.2,0.07,46.86,33.0,35.0,57.2,34.9,41.7,2017,0.49,0.35,0.35,0.57,0.35,0.42,0.02,0.03,0.08,2020,-3
208,Boston College,12932,0.16,0.19,51.86,47.3,19.3,79.9,43.8,60.2,2017,0.55,0.5,0.19,0.8,0.44,0.6,0.01,0.03,0.23,2015,2
349,York University,46565,0.41,0.22,45.72,29.9,39.7,50.7,37.4,73.5,2017,0.48,0.31,0.4,0.51,0.37,0.74,0.03,0.07,0.26,2019,-2
173,University of Leicester,14180,0.12,0.36,53.0,30.9,32.4,88.4,35.1,87.6,2017,0.56,0.32,0.33,0.88,0.35,0.88,0.01,0.02,0.43,2016,1
42,McGill University,30911,0.14,0.24,73.1,66.4,70.3,81.8,41.9,86.4,2017,0.77,0.7,0.71,0.82,0.42,0.86,0.02,0.02,0.29,2020,-3
