rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
329,University of Newcastle,22220,0.21,0.17,48.63,23.8,26.9,74.1,57.0,82.3,2019,0.51,0.25,0.27,0.74,0.57,0.82,0.02,0.02,0.2,2021,-2
177,University of Ottawa,35002,0.26,0.18,54.9,39.1,39.3,81.6,43.2,77.0,2019,0.57,0.41,0.39,0.82,0.43,0.77,0.02,0.03,0.21,2021,-2
116,University of Birmingham,28355,0.15,0.28,59.7,38.9,43.3,91.5,39.8,88.5,2019,0.62,0.41,0.44,0.92,0.4,0.89,0.02,0.02,0.33,2023,-4
115,Durham University,16565,0.15,0.3,59.9,44.7,47.0,82.0,37.7,90.9,2019,0.62,0.47,0.47,0.82,0.38,0.91,0.01,0.02,0.36,2020,-1
464,University of Portsmouth,19305,0.15,0.26,44.69,16.7,15.3,69.3,34.3,86.1,2019,0.47,0.18,0.15,0.69,0.34,0.86,0.01,0.02,0.31,2021,-2
603,Auburn University,24274,0.18,0.06,41.69,32.8,20.8,34.8,40.7,36.8,2019,0.43,0.35,0.21,0.35,0.41,0.37,0.02,0.02,0.07,2019,0
243,University College Dublin,22081,0.24,0.27,52.1,30.7,36.6,76.4,40.6,91.3,2019,0.54,0.32,0.37,0.76,0.41,0.91,0.02,0.03,0.32,2020,-1
784,University of Wolverhampton,15470,0.2,0.21,38.68,15.0,13.0,41.8,34.1,65.4,2019,0.4,0.16,0.13,0.42,0.34,0.66,0.01,0.02,0.25,2015,4
238,University of South Australia,17465,0.26,0.44,52.34,30.5,37.1,68.1,79.7,92.9,2019,0.55,0.32,0.37,0.68,0.8,0.93,0.01,0.03,0.52,2015,4
321,La Trobe University,21203,0.35,0.28,48.91,25.2,32.5,65.4,54.1,81.7,2019,0.51,0.27,0.33,0.65,0.54,0.82,0.02,0.04,0.33,2015,4
149,University of Nottingham,29430,0.15,0.3,57.2,42.7,42.8,80.0,40.8,86.8,2019,0.6,0.45,0.43,0.8,0.41,0.87,0.02,0.02,0.36,2021,-2
351,Aberystwyth University,7165,0.16,0.18,47.89,26.2,24.0,67.8,37.9,75.0,2019,0.5,0.28,0.24,0.68,0.38,0.75,0.01,0.02,0.21,2021,-2
29,University of Edinburgh,28155,0.13,0.41,79.8,69.2,73.7,96.8,38.2,93.3,2019,0.83,0.73,0.74,0.97,0.38,0.93,0.02,0.02,0.49,2017,2
774,Ulster University,17920,0.19,0.08,38.82,19.8,18.2,39.5,35.2,75.3,2019,0.4,0.21,0.18,0.4,0.35,0.75,0.01,0.02,0.1,2020,-1
201,University of Auckland,30041,0.18,0.3,54.28,30.1,40.7,76.5,61.6,91.7,2019,0.57,0.32,0.41,0.76,0.62,0.92,0.02,0.02,0.36,2018,1
423,University of Georgia,34707,0.17,0.08,45.75,33.6,32.1,59.0,36.6,43.9,2019,0.48,0.36,0.32,0.59,0.37,0.44,0.02,0.02,0.1,2020,-1
307,Boston College,13035,0.16,0.14,49.42,36.1,25.3,72.3,45.2,57.6,2019,0.51,0.38,0.25,0.72,0.45,0.58,0.01,0.02,0.17,2015,4
396,York University,46220,0.42,0.24,46.51,31.0,41.3,47.9,42.5,75.3,2019,0.48,0.33,0.42,0.48,0.42,0.75,0.03,0.05,0.29,2019,0
170,University of Leicester,14710,0.14,0.36,55.6,30.5,33.8,95.2,37.3,91.2,2019,0.58,0.32,0.34,0.95,0.37,0.91,0.01,0.02,0.43,2016,3
45,McGill University,31060,0.13,0.28,73.7,64.1,69.4,86.3,42.3,89.4,2019,0.77,0.68,0.7,0.86,0.42,0.9,0.02,0.02,0.33,2020,-1
