rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
328,University of Newcastle,22100,0.21,0.18,49.07,24.5,28.3,76.6,49.9,83.1,2020,0.51,0.26,0.28,0.77,0.5,0.83,0.03,0.04,0.22,2021,-1
141,University of Ottawa,35365,0.25,0.19,57.9,41.3,42.0,86.2,46.5,77.7,2020,0.61,0.45,0.42,0.86,0.46,0.78,0.04,0.05,0.23,2021,-1
112,University of Birmingham,29542,0.16,0.29,60.9,39.6,45.6,92.1,39.3,89.2,2020,0.64,0.43,0.46,0.92,0.39,0.89,0.04,0.03,0.35,2023,-3
133,Durham University,16963,0.15,0.3,58.5,45.5,47.8,75.5,37.9,91.7,2020,0.61,0.49,0.48,0.76,0.38,0.92,0.02,0.03,0.36,2020,0
470,University of Portsmouth,20186,0.15,0.26,45.0,17.8,16.2,71.0,34.9,87.7,2020,0.47,0.19,0.16,0.71,0.35,0.88,0.02,0.03,0.31,2021,-1
610,Auburn University,26641,0.19,0.09,42.06,32.7,21.1,43.3,40.2,43.8,2020,0.44,0.35,0.21,0.43,0.4,0.44,0.03,0.04,0.11,2019,1
241,University College Dublin,22541,0.23,0.29,52.55,30.8,36.5,73.6,43.9,92.5,2020,0.55,0.33,0.37,0.74,0.44,0.93,0.03,0.05,0.35,2020,0
995,University of Wolverhampton,15687,0.2,0.21,36.53,15.8,13.3,35.0,34.5,65.3,2020,0.38,0.17,0.13,0.35,0.34,0.65,0.02,0.04,0.25,2015,5
289,University of South Australia,20268,0.31,0.25,50.5,31.5,39.4,65.8,82.5,89.3,2020,0.53,0.34,0.4,0.66,0.82,0.9,0.02,0.06,0.3,2015,5
272,La Trobe University,22292,0.34,0.29,51.18,27.1,33.1,73.3,51.3,83.8,2020,0.54,0.29,0.33,0.73,0.51,0.84,0.03,0.07,0.35,2015,5
153,University of Nottingham,29699,0.15,0.29,57.2,42.7,42.6,80.3,39.4,87.5,2020,0.6,0.46,0.43,0.8,0.39,0.88,0.04,0.03,0.35,2021,-1
402,Aberystwyth University,6866,0.16,0.19,46.77,24.8,22.9,66.3,39.7,78.1,2020,0.49,0.27,0.23,0.66,0.4,0.78,0.01,0.03,0.23,2021,-1
30,University of Edinburgh,29433,0.13,0.41,79.4,67.3,74.1,96.4,38.9,93.8,2020,0.83,0.73,0.74,0.96,0.39,0.94,0.04,0.03,0.49,2017,3
794,Ulster University,17817,0.17,0.08,39.08,21.0,18.0,40.9,35.6,75.7,2020,0.41,0.23,0.18,0.41,0.36,0.76,0.02,0.03,0.1,2020,0
179,University of Auckland,32821,0.22,0.32,55.2,31.4,43.9,80.2,62.4,94.0,2020,0.58,0.34,0.44,0.8,0.62,0.94,0.04,0.04,0.39,2018,2
432,University of Georgia,35164,0.16,0.07,45.96,34.9,35.8,55.8,37.2,46.0,2020,0.48,0.38,0.36,0.56,0.37,0.46,0.04,0.03,0.08,2020,0
259,University of Cincinnati,28434,0.2,0.09,51.73,35.5,30.8,83.9,39.4,40.9,2020,0.54,0.38,0.31,0.84,0.39,0.41,0.03,0.04,0.11,2017,3
305,Boston College,12904,0.16,0.11,49.89,36.7,33.7,69.2,34.4,42.3,2020,0.52,0.4,0.34,0.69,0.34,0.42,0.02,0.03,0.13,2015,5
501,York University,46683,0.35,0.24,44.28,28.2,37.6,50.7,45.4,75.0,2020,0.46,0.3,0.38,0.51,0.45,0.75,0.06,0.07,0.29,2019,1
167,University of Leicester,14645,0.14,0.32,56.1,30.1,34.8,96.2,38.1,90.7,2020,0.59,0.32,0.35,0.96,0.38,0.91,0.02,0.03,0.39,2016,4
42,McGill University,31294,0.13,0.29,74.3,65.0,71.9,84.7,42.8,90.4,2020,0.78,0.7,0.72,0.85,0.43,0.91,0.04,0.03,0.35,2020,0
