rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
146,University of Birmingham,51.8,50.3,50.7,52.1,34.8,73.8,25295.0,0.16,0.23,2011,0.54,0.5,0.51,0.52,0.35,0.74,0.2,0.23,0.43,2023,-12
85,Durham University,58.9,39.8,44.1,91.0,33.9,65.7,15489.0,0.16,0.24,2011,0.61,0.4,0.44,0.91,0.34,0.66,0.12,0.23,0.44,2020,-9
94,University College Dublin,57.5,42.4,36.6,86.3,51.73,87.0,22193.0,0.24,0.23,2011,0.6,0.43,0.37,0.86,0.52,0.87,0.17,0.34,0.43,2020,-9
176,University of Nottingham,49.0,46.8,44.1,52.5,38.4,74.8,30144.0,0.15,0.27,2011,0.51,0.47,0.44,0.53,0.38,0.75,0.24,0.21,0.5,2021,-10
40,University of Edinburgh,69.2,59.9,61.9,86.8,42.2,67.3,25774.0,0.14,0.36,2011,0.72,0.6,0.62,0.87,0.42,0.67,0.2,0.2,0.67,2017,-6
145,University of Auckland,51.8,34.8,39.2,71.8,61.1,94.3,29787.0,0.19,0.28,2011,0.54,0.35,0.39,0.72,0.61,0.94,0.23,0.27,0.52,2018,-7
191,University of Cincinnati,46.9,43.6,40.4,61.5,32.5,18.9,36108.0,0.16,0.06,2011,0.49,0.44,0.41,0.62,0.32,0.19,0.28,0.23,0.11,2017,-6
162,Boston College,50.3,40.1,33.6,78.0,51.73,31.6,13216.0,0.17,0.19,2011,0.52,0.4,0.34,0.78,0.52,0.32,0.1,0.24,0.35,2015,-4
35,McGill University,71.7,69.0,74.9,69.0,51.73,85.9,31326.0,0.14,0.23,2011,0.75,0.69,0.75,0.69,0.52,0.86,0.25,0.2,0.43,2020,-9
