rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
276,University of Newcastle,22921,0.22,0.17,49.68,28.0,26.9,73.0,62.9,79.9,2018,0.53,0.31,0.27,0.73,0.63,0.8,0.01,0.03,0.2,2021,-3
228,University of Ottawa,35177,0.26,0.17,51.86,37.6,37.5,69.1,40.2,73.6,2018,0.55,0.42,0.38,0.69,0.4,0.74,0.02,0.03,0.2,2021,-3
141,University of Birmingham,27060,0.15,0.27,56.8,36.5,38.3,89.7,37.2,86.3,2018,0.6,0.4,0.38,0.9,0.37,0.86,0.01,0.02,0.32,2023,-5
97,Durham University,16310,0.15,0.29,60.8,44.8,47.9,84.6,36.8,89.0,2018,0.64,0.5,0.48,0.85,0.37,0.89,0.01,0.02,0.35,2020,-2
564,University of Portsmouth,19095,0.16,0.27,41.55,19.1,14.3,57.1,32.1,83.1,2018,0.44,0.21,0.14,0.57,0.32,0.83,0.01,0.02,0.32,2021,-3
604,Auburn University,23186,0.18,0.05,40.77,31.8,20.2,30.9,38.9,33.2,2018,0.43,0.35,0.2,0.31,0.39,0.33,0.01,0.02,0.06,2019,-1
247,University College Dublin,21605,0.23,0.26,50.95,29.2,37.5,74.0,38.1,89.3,2018,0.54,0.32,0.38,0.74,0.38,0.89,0.01,0.03,0.31,2020,-2
238,University of South Australia,17575,0.26,0.41,51.37,31.5,36.3,63.3,81.6,91.8,2018,0.54,0.35,0.36,0.63,0.82,0.92,0.01,0.03,0.49,2015,3
372,La Trobe University,20343,0.34,0.26,46.29,27.1,33.0,49.8,58.1,79.5,2018,0.49,0.3,0.33,0.5,0.58,0.8,0.01,0.04,0.31,2015,3
148,University of Nottingham,29175,0.14,0.3,56.2,40.5,41.9,80.5,38.5,84.4,2018,0.6,0.45,0.42,0.8,0.38,0.85,0.02,0.02,0.36,2021,-3
299,Aberystwyth University,7920,0.18,0.18,48.77,24.2,25.5,76.7,36.6,74.9,2018,0.52,0.27,0.26,0.77,0.37,0.75,0.0,0.02,0.21,2021,-3
27,University of Edinburgh,26760,0.12,0.4,79.2,66.8,74.2,97.0,36.3,92.0,2018,0.84,0.74,0.75,0.97,0.36,0.92,0.01,0.01,0.48,2017,1
587,Ulster University,18550,0.15,0.08,41.1,21.0,15.6,50.6,33.0,72.0,2018,0.44,0.23,0.16,0.51,0.33,0.72,0.01,0.02,0.1,2020,-2
192,University of Auckland,30348,0.19,0.29,52.5,32.5,40.7,73.8,67.3,90.6,2018,0.56,0.36,0.41,0.74,0.67,0.91,0.02,0.02,0.35,2018,0
363,University of Georgia,33842,0.16,0.07,46.57,30.1,32.3,60.7,34.3,42.6,2018,0.49,0.33,0.32,0.61,0.34,0.43,0.02,0.02,0.08,2020,-2
306,Boston College,12943,0.16,0.12,48.51,37.0,20.0,74.1,43.8,53.8,2018,0.51,0.41,0.2,0.74,0.44,0.54,0.01,0.02,0.14,2015,3
398,York University,46146,0.41,0.23,45.52,30.5,40.9,47.9,37.2,73.9,2018,0.48,0.34,0.41,0.48,0.37,0.74,0.03,0.05,0.27,2019,-1
159,University of Leicester,14635,0.14,0.38,55.0,32.2,34.5,91.4,35.2,89.9,2018,0.58,0.36,0.35,0.91,0.35,0.9,0.01,0.02,0.45,2016,2
42,McGill University,30940,0.13,0.26,73.2,63.4,70.8,84.7,39.8,87.5,2018,0.78,0.7,0.71,0.85,0.4,0.88,0.02,0.02,0.31,2020,-2
