rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1,Harvard University,96.1,111.53,118.29,98.8,34.5,72.4,20152.0,8.9,0.25,2011
2,California Institute of Technology,96.0,102.41,108.2,99.9,83.7,54.6,2243.0,6.9,0.27,2011
3,Massachusetts Institute of Technology,95.6,97.08,102.3,99.9,87.5,82.3,11074.0,9.0,0.33,2011
4,Stanford University,94.3,93.29,98.11,99.2,64.3,29.5,15596.0,7.8,0.22,2011
5,Princeton University,94.2,90.36,94.86,99.9,-,70.3,7929.0,8.4,0.27,2011
6,University of Cambridge,91.2,87.96,92.21,94.0,57,77.7,18812.0,11.8,0.34,2011
7,University of Oxford,91.2,85.93,89.96,95.1,73.5,77.2,19919.0,11.6,0.34,2011
8,"University of California, Berkeley",91.1,84.18,88.02,97.8,-,39.6,36186.0,16.4,0.15,2011
9,Imperial College London,90.6,82.63,86.31,88.3,92.9,90,15060.0,11.7,0.51,2011
10,Yale University,89.5,81.24,84.77,91.5,-,59.2,11751.0,4.4,0.2,2011
11,"University of California, Los Angeles",87.7,79.99,83.38,93.2,-,48.1,38206.0,10.3,0.15,2011
12,University of Chicago,86.9,78.84,82.12,96.9,-,62.8,14221.0,6.9,0.21,2011
13,Johns Hopkins University,86.4,77.79,80.95,92.3,100,58.5,15128.0,3.6,0.23,2011
14,Cornell University,83.9,76.82,79.87,88.1,34.7,62.4,21424.0,10.2,0.19,2011
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,83.4,75.91,78.87,83.1,-,93.7,18178.0,14.7,0.37,2011
16,University of Michigan,83.4,75.06,77.93,84.1,59.6,53.3,41786.0,9.0,0.16,2011
17,University of Toronto,82.0,74.26,77.05,82.2,-,-,66198.0,19.5,0.15,2011
18,Columbia University,81.0,73.51,76.21,92.6,-,90.9,25055.0,5.9,0.28,2011
19,University of Pennsylvania,79.5,72.8,75.43,93.6,43.7,32.9,20376.0,6.5,0.2,2011
20,Carnegie Mellon University,79.3,72.12,74.68,95.7,53.7,39.1,11885.0,13.1,0.35,2011
21,University of Hong Kong,79.2,71.48,73.97,96.1,56.5,91.4,19835.0,17.6,0.38,2011
22,University College London,78.4,70.87,73.29,80.6,39,90.8,26607.0,10.7,0.46,2011
23,University of Washington,78.0,70.29,72.65,95.9,32.8,49,44020.0,11.8,0.13,2011
24,Duke University,76.5,69.73,72.03,92.3,100,49.4,15172.0,4.8,0.17,2011
25,Northwestern University,75.9,69.19,71.43,95.3,-,60.5,18334.0,13.8,0.15,2011
26,University of Tokyo,75.6,68.67,70.86,58.1,-,18.4,26199.0,5.7,0.1,2011
27,Georgia Institute of Technology,75.3,68.18,70.31,83.2,95.1,73.2,19967.0,20.1,0.26,2011
28,Pohang University of Science and Technology,75.1,67.7,69.78,96.5,100,32.6,3055.0,10.1,0.04,2011
29,"University of California, Santa Barbara",75.0,67.24,69.27,98.8,89.8,64.3,22020.0,27.3,0.11,2011
30,University of British Columbia,73.8,66.79,68.78,80.3,42.6,93.3,50152.0,17.6,0.25,2011
31,University of North Carolina at Chapel Hill,73.8,66.36,68.3,85.0,50.2,21.5,26518.0,7.3,0.08,2011
32,"University of California, San Diego",73.2,65.94,67.84,90.8,51.8,31.6,27233.0,6.5,0.11,2011
33,University of Illinois at Urbana-Champaign,73.0,65.54,67.39,72.9,-,55.9,42727.0,18.7,0.2,2011
34,National University of Singapore,72.9,65.14,66.96,78.7,40.5,97.8,31592.0,15.5,0.34,2011
35,McGill University,71.7,64.76,66.53,69.0,-,85.9,31326.0,13.7,0.23,2011
36,University of Melbourne,71.0,64.39,66.12,83.3,47.7,88,40128.0,23.7,0.35,2011
37,Peking University,70.7,64.03,65.72,72.2,98.6,68.6,40148.0,8.3,0.14,2011
38,Washington University in St Louis,69.9,63.68,65.34,88.6,-,56.4,12528.0,5.7,0.17,2011
39,École Polytechnique,69.5,63.34,64.96,91.4,-,77.9,2429.0,4.8,0.3,2011
40,University of Edinburgh,69.2,63.01,64.59,86.8,42.2,67.3,25774.0,14.1,0.36,2011
41,Hong Kong University of Science and Technology,69.0,62.68,64.23,98.2,64.1,97.4,11385.0,23.8,0.36,2011
42,École Normale Supérieure,68.6,62.37,63.88,95.7,30.7,44.9,2400.0,7.9,0.2,2011
43,Australian National University,67.0,62.06,63.54,81.0,-,93.9,14604.0,19.2,0.35,2011
44,Karolinska Institute,67.0,61.75,63.2,62.3,73.3,-,7774.0,11.5,0.22,2011
45,University of Göttingen,67.0,61.46,62.87,92.5,31.7,44.5,25581.0,25.6,0.12,2011
46,University of Wisconsin,67.0,61.17,62.55,83.4,-,43.7,nan,nan,nan,2011
47,Rice University,66.9,60.89,62.24,99.1,29.2,31.2,6333.0,9.0,0.26,2011
