rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year
322,University of Malaya,15140,0.08,0.2,49.27,34.12,31.68,56.6,48.1,81.6,2020
323,University of Marburg,25541,0.35,0.12,49.24,34.08,31.63,73.4,39.1,53.6,2020
324,Maynooth University,9291,0.28,0.12,49.2,34.04,31.58,80.3,37.3,78.2,2020
325,University of Milan,45451,0.21,0.06,49.17,34.0,31.53,72.2,37.7,42.6,2020
326,Montpellier University,39405,0.2,0.15,49.14,33.96,31.48,67.1,37.3,61.6,2020
327,Nagoya University,15676,0.09,0.11,49.1,33.92,31.43,43.4,76.8,32.8,2020
328,University of Newcastle,22100,0.21,0.18,49.07,33.88,31.38,76.6,49.9,83.1,2020
329,University of New Mexico (Main campus),19382,0.17,0.05,49.03,33.85,31.33,83.6,37.4,33.2,2020
330,North Carolina State University,30231,0.13,0.15,49.0,33.81,31.28,64.7,43.2,57.8,2020
331,Nova Southeastern University,17785,0.23,0.06,48.96,33.77,31.23,99.5,34.4,29.5,2020
332,Osaka University,22892,0.07,0.11,48.93,33.73,31.18,34.6,63.0,36.0,2020
333,Polytechnic University of Milan,35184,0.25,0.17,48.9,33.7,31.13,59.6,72.5,59.0,2020
334,Reykjavík University,2879,0.25,0.08,48.86,33.66,31.08,100.0,36.5,64.1,2020
335,Rush University,2425,0.02,0.01,48.83,33.62,31.03,92.1,41.3,19.7,2020
336,Southern University of Science and Technology (SUSTech),3198,0.1,0.0,48.79,33.58,30.98,85.3,70.5,59.7,2020
337,Stony Brook University,24201,0.11,0.23,48.76,33.55,30.94,77.0,36.1,71.5,2020
338,Swedish University of Agricultural Sciences,3737,0.05,0.04,48.73,33.51,30.89,73.5,94.8,47.6,2020
339,University of Tartu,8532,0.12,0.08,48.69,33.47,30.84,82.4,37.5,55.4,2020
340,University of Tasmania,18219,0.25,0.3,48.66,33.43,30.79,63.0,50.1,88.2,2020
341,Temple University,35814,0.13,0.09,48.63,33.4,30.74,79.3,34.4,37.7,2020
342,The University of Tennessee-Knoxville,25907,0.17,0.05,48.59,33.36,30.69,80.3,43.9,45.7,2020
343,University of Texas at Dallas,22757,0.22,0.25,48.56,33.32,30.65,82.1,39.9,60.2,2020
344,University of Trento,12920,0.2,0.07,48.53,33.29,30.6,77.8,41.5,57.7,2020
345,Tulane University,11185,0.1,0.11,48.5,33.25,30.55,72.7,37.0,41.9,2020
346,Umeå University,17373,0.13,0.11,48.46,33.22,30.5,79.1,36.2,63.4,2020
347,United Arab Emirates University,7523,0.09,0.21,48.43,33.18,30.46,84.7,43.3,91.6,2020
348,Università della Svizzera Italiana,2768,0.11,0.67,48.4,33.14,30.41,74.6,44.0,99.6,2020
349,University College Cork,16861,0.18,0.18,48.37,33.11,30.36,77.5,44.5,81.3,2020
350,Victoria University,14815,0.32,0.23,48.33,33.07,30.32,75.3,42.8,77.9,2020
351,University of Alaska Fairbanks,3593,0.09,0.05,48.3,33.04,30.27,72.5,43.8,53.9,2020
352,American University of Beirut,8401,0.09,0.21,48.27,33.0,30.22,77.1,36.7,78.2,2020
353,Australian Catholic University,23886,0.44,0.12,48.24,32.96,30.18,73.4,39.4,74.3,2020
354,Babol Noshirvani University of Technology,5744,0.3,0.0,48.2,32.93,30.13,99.8,42.2,17.1,2020
355,University of Bayreuth,9255,0.3,0.1,48.17,32.89,30.08,55.8,59.9,55.4,2020
356,"Birkbeck, University of London",8631,0.16,0.38,48.14,32.86,30.04,62.8,34.5,87.4,2020
357,University of Bremen,18915,0.32,0.12,48.11,32.82,29.99,56.0,49.0,55.7,2020
358,Brunel University London,10961,0.16,0.36,48.08,32.79,29.95,63.2,36.8,95.3,2020
359,"University of California, Merced",7324,0.21,0.08,48.05,32.75,29.9,95.3,38.0,42.4,2020
360,Catholic University of Portugal,10998,0.27,0.1,48.01,32.72,29.85,94.6,35.9,47.4,2020
361,Clark University,3045,0.12,0.23,47.98,32.68,29.81,79.3,34.4,57.5,2020
362,University of Connecticut,32446,0.15,0.09,47.95,32.65,29.76,60.6,37.9,49.0,2020
363,University of Crete,13321,0.23,0.04,47.92,32.62,29.72,91.4,38.7,48.0,2020
364,University of Denver,9535,0.13,0.09,47.89,32.58,29.67,75.4,35.8,27.8,2020
365,University of Florence,34686,0.2,0.11,47.86,32.55,29.63,65.8,42.3,46.2,2020
366,"Goldsmiths, University of London",8486,0.15,0.35,47.83,32.51,29.58,60.4,35.1,79.4,2020
367,Hanyang University,20087,0.16,0.21,47.8,32.48,29.54,40.1,92.3,62.3,2020
368,Hasselt University,5189,0.31,0.13,47.77,32.44,29.49,56.6,49.7,68.1,2020
369,Hofstra University,10066,0.14,0.09,47.74,32.41,29.45,79.3,34.4,29.8,2020
370,University of Iceland,8135,0.14,0.12,47.71,32.38,29.41,75.0,62.7,63.6,2020
371,IMT Atlantique,1676,0.08,0.44,47.68,32.34,29.36,53.1,91.6,75.2,2020
372,Indian Institute of Technology Indore,1128,0.1,0.0,47.64,32.31,29.32,77.1,39.9,19.7,2020
373,Iowa State University,32469,0.19,0.12,47.61,32.27,29.27,60.5,49.6,56.7,2020
374,Jordan University of Science and Technology,21512,0.13,0.17,47.58,32.24,29.23,100.0,40.2,62.3,2020
375,Justus Liebig University Giessen,28575,0.47,0.09,47.55,32.21,29.19,53.8,41.6,53.9,2020
376,University of Kent,17754,0.2,0.31,47.52,32.17,29.14,67.9,35.0,91.5,2020
377,Khalifa University,3651,0.1,0.26,47.49,32.14,29.1,54.0,100.0,95.4,2020
378,Loughborough University,14749,0.14,0.25,47.46,32.11,29.06,52.9,39.0,80.1,2020
379,University of Manitoba,29311,0.29,0.17,47.43,32.07,29.01,69.9,36.5,53.4,2020
380,Nankai University,28061,0.13,0.07,47.4,32.04,28.97,75.8,41.5,35.4,2020
381,University of Naples Federico II,49604,0.2,0.02,47.37,32.01,28.93,71.9,38.2,31.2,2020
382,National Tsing Hua University,14853,0.18,0.1,47.35,31.98,28.88,50.1,64.8,36.2,2020
383,Northumbria University,21811,0.18,0.17,47.32,31.94,28.84,85.6,35.1,72.4,2020
384,"University of Occupational and Environmental Health, Japan",1142,0.03,0.01,47.29,31.91,28.8,99.8,40.2,18.1,2020
385,Örebro University,9735,0.19,0.06,47.26,31.88,28.75,88.7,36.0,52.2,2020
386,Oregon State University,24798,0.16,0.11,47.23,31.85,28.71,67.2,37.7,52.9,2020
387,University of Perugia,24830,0.32,0.06,47.2,31.81,28.67,87.5,45.2,44.6,2020
388,University of Pisa,33726,0.22,0.06,47.17,31.78,28.63,74.3,40.5,40.9,2020
389,RMIT University,33848,0.22,0.3,47.14,31.75,28.59,64.5,42.5,91.8,2020
390,University of Salerno,24290,0.26,0.02,47.11,31.72,28.54,94.0,37.3,33.9,2020
391,State University of New York Albany,15947,0.17,0.1,47.08,31.68,28.5,72.8,40.1,49.6,2020
392,University of Stirling,9250,0.16,0.23,47.05,31.65,28.46,75.5,35.2,82.1,2020
393,Swinburne University of Technology,14379,0.28,0.27,47.02,31.62,28.42,66.5,41.0,79.3,2020
394,Taipei Medical University,5973,0.1,0.1,47.0,31.59,28.38,67.9,94.9,38.0,2020
395,TU Dortmund University,34267,1.09,0.1,46.97,31.56,28.33,54.2,45.8,42.2,2020
396,University of Turku,12785,0.16,0.06,46.94,31.53,28.29,73.5,37.3,52.6,2020
397,Université de Versailles Saint-Quentin-en-Yvelines,16621,0.21,0.15,46.91,31.49,28.25,89.9,35.4,64.2,2020
398,Vienna University of Technology,10464,0.2,0.29,46.88,31.46,28.21,45.5,63.7,84.0,2020
399,Washington State University,27957,0.18,0.07,46.85,31.43,28.17,71.8,48.4,49.3,2020
400,Wayne State University,22295,0.11,0.09,46.83,31.4,28.13,83.3,45.4,37.6,2020
401,Wuhan University,52502,0.15,0.07,46.8,31.37,28.09,52.5,84.7,40.4,2020
402,Aberystwyth University,6866,0.16,0.19,46.77,31.34,28.05,66.3,39.7,78.1,2020
403,University of Alabama,35120,0.23,0.04,46.74,31.31,28.01,77.4,35.3,28.9,2020
404,American University,11750,0.11,0.12,46.71,31.27,27.97,65.7,39.1,32.3,2020
405,Aswan University,22393,0.41,0.0,46.68,31.24,27.92,100.0,34.4,44.6,2020
406,Bangor University,9590,0.16,0.23,46.66,31.21,27.88,66.3,35.7,81.8,2020
407,University of Bari Aldo Moro,29564,0.21,0.01,46.63,31.18,27.84,87.3,36.2,32.2,2020
408,Bond University,3341,0.1,0.43,46.6,31.15,27.8,64.6,35.9,89.2,2020
409,University of Bordeaux,54965,0.22,0.13,46.57,31.12,27.76,66.8,36.4,58.4,2020
410,Bournemouth University,13692,0.17,0.18,46.55,31.09,27.72,55.5,34.8,79.8,2020
411,Universiti Brunei Darussalam,3830,0.11,0.15,46.52,31.06,27.68,74.4,34.8,85.8,2020
412,Cankaya University,9164,0.28,0.02,46.49,31.03,27.64,99.7,34.9,43.2,2020
413,Centrale Nantes,1706,0.16,0.45,46.46,31.0,27.6,48.6,83.2,84.1,2020
414,Central South University,51546,0.18,0.02,46.44,30.97,27.56,56.0,84.1,26.0,2020
415,Charles University in Prague,48623,0.13,0.18,46.41,30.94,27.53,53.0,34.8,58.7,2020
416,"City, University of London",14362,0.19,0.51,46.38,30.91,27.49,57.7,35.5,94.9,2020
417,"Colorado State University, Fort Collins",26014,0.16,0.06,46.35,30.88,27.45,64.1,38.4,38.4,2020
418,University of Côte d’Azur,36706,0.23,0.23,46.33,30.85,27.41,68.5,40.4,83.2,2020
419,Covenant University,8768,0.16,0.0,46.3,30.82,27.37,78.4,43.8,26.2,2020
420,University of Cyprus,6635,0.22,0.11,46.27,30.79,27.33,62.3,47.7,81.0,2020
421,University of Desarrollo,15384,0.19,0.04,46.25,30.76,27.29,99.1,36.8,48.1,2020
422,Diego Portales University,17287,0.15,0.02,46.22,30.73,27.25,95.3,34.4,50.4,2020
423,Drexel University,19801,0.11,0.17,46.19,30.7,27.21,64.7,41.5,50.3,2020
424,University of Eastern Finland,11630,0.19,0.06,46.17,30.67,27.17,70.7,39.2,50.2,2020
425,École des Mines de Saint-Étienne,973,0.08,0.25,46.14,30.64,27.14,64.3,47.8,68.5,2020
426,Edith Cowan University,17560,0.31,0.26,46.11,30.61,27.1,67.8,39.1,82.9,2020
427,Federal University of Toulouse Midi-Pyrénées,103857,0.19,0.14,46.09,30.58,27.06,60.6,37.0,63.0,2020
428,University of Ferrara,14644,0.25,0.07,46.06,30.55,27.02,75.0,40.3,45.5,2020
429,Free University of Bozen-Bolzano,3891,0.12,0.13,46.03,30.52,26.98,77.9,35.4,76.4,2020
430,Fujita Health University,2942,0.03,0.0,46.01,30.49,26.94,91.1,36.8,18.6,2020
431,University of Genoa,23977,0.2,0.09,45.98,30.46,26.91,63.8,42.9,43.9,2020
432,University of Georgia,35164,0.16,0.07,45.96,30.44,26.87,55.8,37.2,46.0,2020
433,Georgia State University,29290,0.14,0.06,45.93,30.41,26.83,62.9,35.4,41.9,2020
434,Gwangju Institute of Science and Technology,2098,0.12,0.06,45.9,30.38,26.79,39.3,57.0,33.9,2020
435,Harbin Institute of Technology,29603,0.1,0.12,45.88,30.35,26.75,44.0,99.3,36.7,2020
436,Hokkaido University,18225,0.08,0.11,45.85,30.32,26.72,30.0,58.7,39.2,2020
437,Hong Kong Baptist University,8759,0.12,0.45,45.83,30.29,26.68,58.1,38.4,97.6,2020
438,University of Houston,44128,0.26,0.09,45.8,30.26,26.64,58.0,36.8,42.5,2020
439,Hunan University,40715,0.2,0.02,45.77,30.23,26.6,74.9,52.6,22.4,2020
440,Indian Institute of Technology Bombay,10267,0.16,0.01,45.75,30.21,26.57,34.9,80.3,21.0,2020
441,Indian Institute of Technology Delhi,7284,0.15,0.01,45.72,30.18,26.53,49.0,73.9,17.6,2020
442,Indian Institute of Technology Kharagpur,9167,0.12,0.0,45.7,30.15,26.49,39.0,91.9,18.8,2020
443,University of Innsbruck,14128,0.13,0.4,45.67,30.12,26.46,62.0,43.1,97.4,2020
444,ITMO University,10206,0.13,0.16,45.65,30.09,26.42,49.8,84.6,62.1,2020
445,University of Kansas,24526,0.1,0.09,45.62,30.06,26.38,68.3,43.5,35.4,2020
446,University of Kentucky,27078,0.12,0.04,45.6,30.04,26.35,55.5,38.4,38.0,2020
447,University of KwaZulu-Natal,36660,0.29,0.04,45.57,30.01,26.31,70.1,36.8,55.0,2020
448,Kyushu University,18643,0.09,0.13,45.55,29.98,26.27,34.3,75.3,38.8,2020
449,Leibniz University Hanover,27625,0.54,0.14,45.52,29.95,26.24,46.1,52.3,48.6,2020
450,Linköping University,18544,0.11,0.12,45.49,29.92,26.2,75.4,48.1,59.3,2020
451,Liverpool John Moores University,19461,0.17,0.14,45.47,29.9,26.16,78.2,34.9,71.8,2020
452,Mansoura University,140126,0.25,0.03,45.44,29.87,26.13,88.1,39.6,44.3,2020
453,Middlesex University,15649,0.18,0.45,45.42,29.84,26.09,74.2,34.6,88.3,2020
454,University of Milan-Bicocca,26509,0.29,0.06,45.39,29.81,26.05,80.7,39.1,44.3,2020
455,University of Missouri-Columbia,28513,0.13,0.06,45.37,29.79,26.02,65.7,35.5,39.9,2020
456,University of Missouri-St Louis,7019,0.16,0.06,45.35,29.76,25.98,70.3,40.4,40.6,2020
457,University of Modena and Reggio Emilia,17432,0.25,0.06,45.32,29.73,25.95,69.3,43.5,39.2,2020
458,Murdoch University,14905,0.28,0.37,45.3,29.7,25.91,61.9,51.0,90.8,2020
459,National Research Nuclear University MEPhI,6489,0.11,0.24,45.27,29.68,25.87,33.6,100.0,63.7,2020
460,University of Nebraska-Lincoln,24610,0.17,0.11,45.25,29.65,25.84,63.2,38.6,56.7,2020
461,New Mexico Institute of Mining and Technology,1809,0.11,0.08,45.22,29.62,25.8,70.6,78.1,62.9,2020
462,Norwegian University of Science and Technology,35181,0.16,0.08,45.2,29.59,25.77,64.3,38.5,62.2,2020
463,Oklahoma State University,21494,0.16,0.07,45.17,29.57,25.73,71.1,36.9,44.3,2020
464,University of Pavia,24623,0.42,0.08,45.15,29.54,25.7,65.5,55.5,47.0,2020
465,University of Peradeniya,17482,0.11,0.01,45.12,29.51,25.66,100.0,35.4,43.3,2020
466,University of the Philippines,39877,0.08,0.01,45.1,29.49,25.63,86.9,39.4,37.9,2020
467,Polytechnic University of Bari,6122,0.24,0.01,45.08,29.46,25.59,84.1,37.1,30.9,2020
468,Pontifical Javeriana University,30048,0.15,0.01,45.05,29.43,25.56,98.6,34.8,44.6,2020
469,University of Porto,32020,0.19,0.15,45.03,29.41,25.52,62.1,38.7,53.9,2020
470,University of Portsmouth,20186,0.15,0.26,45.0,29.38,25.49,71.0,34.9,87.7,2020
471,Qatar University,15585,0.17,0.38,44.98,29.35,25.45,64.7,49.3,99.6,2020
472,Quaid-i-azam University,14694,0.25,0.01,44.96,29.33,25.42,81.5,34.4,45.5,2020
473,Rensselaer Polytechnic Institute,7798,0.16,0.2,44.93,29.3,25.38,58.9,67.0,52.1,2020
474,Royal Veterinary College,2067,0.11,0.19,44.91,29.27,25.35,69.1,43.5,86.6,2020
475,Sabancı University,3605,0.22,0.09,44.88,29.25,25.31,55.8,65.4,52.0,2020
476,University of St Gallen,7579,0.12,0.34,44.86,29.22,25.28,59.0,43.4,95.7,2020
477,University of Saskatchewan,17194,0.18,0.2,44.84,29.19,25.24,48.1,59.2,72.6,2020
478,Sciences Po,11915,0.45,0.34,44.81,29.17,25.21,56.8,38.2,76.0,2020
479,Sejong University,12119,0.17,0.1,44.79,29.14,25.18,75.4,40.0,42.6,2020
480,Semmelweis University,10996,0.1,0.31,44.77,29.12,25.14,74.0,36.2,75.0,2020
481,University of Siena,12636,0.15,0.08,44.74,29.09,25.11,67.6,37.5,43.1,2020
482,SOAS University of London,5194,0.12,0.53,44.72,29.06,25.07,31.2,34.4,79.5,2020
483,University of South Carolina-Columbia,32291,0.16,0.05,44.7,29.04,25.04,63.7,36.2,43.2,2020
484,University of Strasbourg,46898,0.19,0.2,44.67,29.01,25.01,62.3,37.7,71.9,2020
485,University of Strathclyde,18517,0.19,0.27,44.65,28.99,24.97,51.9,43.6,86.2,2020
486,Technion Israel Institute of Technology,14703,0.22,0.05,44.63,28.96,24.94,56.8,36.5,63.7,2020
487,Teikyo University,22873,0.17,0.02,44.6,28.93,24.9,95.9,36.5,19.2,2020
488,University of Texas at San Antonio,24435,0.25,0.04,44.58,28.91,24.87,78.0,36.2,36.4,2020
489,Tokyo Medical and Dental University (TMDU),2999,0.03,0.09,44.56,28.88,24.84,58.1,63.1,27.1,2020
490,Tongji University,35690,0.13,0.13,44.53,28.86,24.8,34.6,98.2,56.0,2020
491,University of Trieste,15933,0.24,0.08,44.51,28.83,24.77,66.9,37.7,47.8,2020
492,University of Tsukuba,16844,0.14,0.21,44.49,28.81,24.74,34.4,44.6,44.3,2020
493,University of Tulsa,5067,0.12,0.16,44.46,28.78,24.7,68.9,50.5,39.6,2020
494,University of Turin,55957,0.3,0.08,44.44,28.76,24.67,75.3,45.4,44.3,2020
495,UiT The Arctic University of Norway,16475,0.13,0.1,44.42,28.73,24.64,80.0,36.0,64.5,2020
496,University of Urbino Carlo Bo,14278,0.4,0.06,44.4,28.71,24.6,88.4,37.4,49.8,2020
497,University of Valencia,50311,0.15,0.12,44.37,28.68,24.57,70.8,37.0,47.0,2020
498,Verona University,19873,0.28,0.05,44.35,28.66,24.54,63.7,42.4,41.2,2020
499,University of Victoria,21169,0.26,0.2,44.33,28.63,24.51,70.1,44.9,87.2,2020
500,Yasouj University,6332,0.28,0.0,44.3,28.6,24.47,91.8,35.7,15.6,2020
501,York University,46683,0.35,0.24,44.28,28.58,24.44,50.7,45.4,75.0,2020
502,University of Alabama in Huntsville,6729,0.16,0.08,44.26,28.55,24.41,58.1,68.4,44.9,2020
503,Amirkabir University of Technology,11580,0.22,0.02,44.24,28.53,24.37,43.2,76.5,21.9,2020
504,University of L’Aquila,18867,0.55,0.04,44.21,28.51,24.34,65.4,41.4,32.3,2020
505,Aston University,11113,0.21,0.26,44.19,28.48,24.31,55.1,37.1,92.4,2020
506,Universidad Autónoma de Chile,23312,0.26,0.01,44.17,28.46,24.28,81.6,34.4,50.7,2020
507,Bar-Ilan University,16723,0.18,0.05,44.15,28.43,24.25,44.2,46.6,52.9,2020
508,Beihang University,29952,0.14,0.06,44.13,28.41,24.21,38.1,98.2,28.7,2020
509,Bilkent University,10374,0.15,0.09,44.1,28.38,24.18,53.1,55.1,62.8,2020
510,"Binghamton University, State University of New York",17848,0.23,0.14,44.08,28.36,24.15,62.0,36.8,42.7,2020
511,Université Bourgogne Franche-Comté (UBFC),59858,0.33,0.11,44.06,28.33,24.12,71.1,38.6,52.3,2020
512,University of Brescia,14206,0.27,0.07,44.04,28.31,24.08,71.2,38.1,43.1,2020
513,University of Campinas,28795,0.15,0.03,44.01,28.28,24.05,34.8,44.8,30.6,2020
514,Carleton University,27570,0.3,0.21,43.99,28.26,24.02,57.1,36.1,69.0,2020
515,University of Catania,25392,0.2,0.02,43.97,28.23,23.99,67.6,36.9,29.8,2020
516,Catholic University of the Sacred Heart,28725,0.22,0.07,43.95,28.21,23.96,72.6,44.8,45.3,2020
517,CentraleSupélec,4226,0.1,0.29,43.93,28.19,23.93,48.9,60.9,81.8,2020
518,Charles Darwin University,6314,0.23,0.32,43.91,28.16,23.89,51.4,45.2,81.1,2020
519,Institute of Chemical Technology,2146,0.18,0.0,43.88,28.14,23.86,47.1,77.4,14.4,2020
520,"China Medical University, Taiwan",7603,0.17,0.08,43.86,28.11,23.83,45.9,87.7,31.4,2020
521,Chung-Ang University,16681,0.22,0.18,43.84,28.09,23.8,25.2,64.6,49.7,2020
522,Claude Bernard University Lyon 1,26875,0.13,0.13,43.82,28.07,23.77,58.0,38.6,56.7,2020
523,Complutense University of Madrid,62624,0.2,0.13,43.8,28.04,23.74,47.2,36.1,44.0,2020
524,East China Normal University,25747,0.12,0.17,43.78,28.02,23.7,50.5,50.6,58.4,2020
525,Florida International University,34203,0.24,0.08,43.75,27.99,23.67,62.3,38.0,39.7,2020
526,University of Graz,20312,0.22,0.13,43.73,27.97,23.64,56.1,35.8,76.0,2020
527,Graz University of Technology,6370,0.1,0.2,43.71,27.95,23.61,50.1,71.5,78.2,2020
528,University of Greifswald,10247,0.21,0.07,43.69,27.92,23.58,60.2,39.1,47.0,2020
529,University of Guelph,22165,0.29,0.09,43.67,27.9,23.55,47.4,48.6,57.7,2020
530,Hacettepe University,47035,0.22,0.04,43.65,27.88,23.52,70.5,37.5,25.0,2020
531,University of Haifa,16164,0.21,0.02,43.63,27.85,23.49,52.8,36.3,35.9,2020
532,Hamburg University of Technology,5216,0.35,0.19,43.6,27.83,23.46,42.5,79.1,52.7,2020
533,University of Hull,14047,0.18,0.19,43.58,27.8,23.43,56.1,36.3,76.5,2020
534,University of Ibadan,26648,0.16,0.01,43.56,27.78,23.4,77.6,41.4,37.1,2020
535,University of Idaho,9694,0.17,0.08,43.54,27.76,23.36,53.4,36.2,45.9,2020
536,Indian Institute of Technology Gandhinagar,1222,0.11,0.0,43.52,27.73,23.33,76.0,45.1,28.0,2020
537,Indian Institute of Technology Roorkee,7561,0.16,0.02,43.5,27.71,23.3,46.6,72.5,16.5,2020
538,University of Insubria,7646,0.22,0.06,43.48,27.69,23.27,72.1,36.6,40.2,2020
539,University of Jyväskylä,10200,0.15,0.05,43.46,27.66,23.24,54.3,35.8,50.7,2020
540,Kansai Medical University,841,0.01,0.03,43.44,27.64,23.21,70.0,35.6,17.7,2020
541,University of Kashan,8438,0.27,0.03,43.41,27.62,23.18,75.2,35.6,18.7,2020
542,Keele University,9004,0.15,0.19,43.39,27.59,23.15,64.1,35.5,73.8,2020
543,King Fahd University of Petroleum and Minerals,6882,0.07,0.13,43.37,27.57,23.12,51.7,64.4,78.7,2020
544,King Saud University,38971,0.1,0.1,43.35,27.55,23.09,49.6,83.4,80.3,2020
545,King Saud bin Abdulaziz University for Health Sciences,11708,0.07,0.01,43.33,27.53,23.06,67.1,35.8,68.5,2020
546,Koç University,5381,0.16,0.06,43.31,27.5,23.03,49.2,60.2,49.7,2020
547,Lappeenranta-Lahti University of Technology LUT,3851,0.28,0.19,43.29,27.48,23.0,43.1,53.8,61.5,2020
548,University of Limerick,14221,0.22,0.17,43.27,27.46,22.97,54.6,39.2,83.7,2020
549,Lincoln University,2476,0.14,0.39,43.25,27.43,22.94,47.9,51.5,94.2,2020
550,University of Lisbon,47886,0.18,0.12,43.23,27.41,22.91,52.7,39.2,53.8,2020
551,Louisiana State University,29169,0.21,0.06,43.21,27.39,22.88,55.3,35.4,35.5,2020
552,Marche Polytechnic University,10603,0.21,0.04,43.19,27.37,22.85,65.8,40.8,31.2,2020
553,Mashhad University of Medical Sciences,9134,0.11,0.03,43.17,27.34,22.82,73.0,34.5,19.9,2020
554,Massey University,18653,0.16,0.31,43.15,27.32,22.79,49.1,41.5,92.8,2020
555,Memorial University of Newfoundland,15127,0.14,0.18,43.13,27.3,22.76,57.7,61.0,74.1,2020
556,Missouri University of Science and Technology,8084,0.22,0.14,43.11,27.28,22.73,59.2,52.9,66.0,2020
557,National and Kapodistrian University of Athens,57697,0.28,0.1,43.09,27.25,22.7,72.9,55.4,52.0,2020
558,National Chiao Tung University,12017,0.17,0.12,43.07,27.23,22.67,25.6,87.0,35.9,2020
559,National Taiwan University of Science and Technology (Taiwan Tech),8340,0.2,0.15,43.05,27.21,22.65,39.5,62.2,40.0,2020
560,National Yang-Ming University,4258,0.05,0.02,43.02,27.19,22.62,60.0,38.1,21.5,2020
561,University of Nebraska Medical Center,3041,0.02,0.07,43.0,27.16,22.59,57.5,38.1,43.5,2020
562,University of Neuchâtel,4284,0.13,0.22,42.98,27.14,22.56,48.3,37.2,90.4,2020
563,New Jersey Institute of Technology,9279,0.15,0.17,42.96,27.12,22.53,58.2,36.7,76.8,2020
564,Northern Arizona University,29684,0.28,0.05,42.94,27.1,22.5,82.3,35.1,31.5,2020
565,North-West University,36749,0.3,0.04,42.92,27.07,22.47,69.9,41.1,43.3,2020
566,Norwegian University of Life Sciences,5790,0.07,0.21,42.9,27.05,22.44,66.2,39.9,78.4,2020
567,Novosibirsk State University,7123,0.06,0.2,42.88,27.03,22.41,30.3,35.7,43.8,2020
568,The Open University,61915,0.32,0.08,42.86,27.01,22.38,66.5,34.8,57.0,2020
569,Open University of Catalonia,22962,0.85,0.02,42.84,26.99,22.36,74.2,35.8,40.2,2020
570,Universidad Peruana Cayetano Heredia,6236,0.11,0.0,42.83,26.96,22.33,83.1,34.7,46.4,2020
571,Peter the Great St Petersburg Polytechnic University,18251,0.09,0.28,42.81,26.94,22.3,61.8,71.2,52.6,2020
572,University of Plymouth,17667,0.17,0.15,42.79,26.92,22.27,67.5,35.0,70.3,2020
573,Polytechnic University of Turin,31425,0.36,0.13,42.77,26.9,22.24,55.3,50.8,46.5,2020
574,Pontifical Catholic University of Chile,28541,0.15,0.07,42.75,26.88,22.21,48.6,64.5,57.1,2020
575,Renmin University of China,25590,0.13,0.06,42.73,26.85,22.18,47.4,43.9,42.5,2020
576,University of Rhode Island,16569,0.19,0.03,42.71,26.83,22.15,66.0,34.4,35.4,2020
577,University of Rome II – Tor Vergata,34965,0.2,0.11,42.69,26.81,22.13,67.1,37.2,51.3,2020
578,University of Rome III,31696,0.5,0.05,42.67,26.79,22.1,61.2,40.4,41.4,2020
579,University of Rovira i Virgili,12411,0.12,0.11,42.65,26.77,22.07,67.6,36.6,51.1,2020
580,San Diego State University,30799,0.31,0.08,42.63,26.75,22.04,62.0,35.1,33.9,2020
581,Sharif University of Technology,9260,0.2,0.02,42.61,26.72,22.01,41.0,99.8,23.7,2020
582,Shenzhen University,35171,0.16,0.01,42.59,26.7,21.98,70.4,51.4,34.9,2020
583,University of Siegen,19268,0.42,0.12,42.57,26.68,21.96,57.1,40.2,54.4,2020
584,Soochow University,44835,0.16,0.07,42.55,26.66,21.93,68.2,37.5,28.3,2020
585,South China University of Technology,41139,0.14,0.05,42.53,26.64,21.9,61.2,85.4,30.8,2020
586,Southeast University,32951,0.12,0.05,42.51,26.62,21.87,42.7,97.3,26.9,2020
587,Suez Canal University,35363,0.11,0.01,42.49,26.6,21.84,82.6,37.9,46.0,2020
588,Tehran University of Medical Sciences,12511,0.07,0.07,42.47,26.57,21.82,48.0,59.3,22.8,2020
589,Tianjin University,34780,0.14,0.06,42.45,26.55,21.79,38.8,97.9,26.5,2020
590,Tomsk State University,7655,0.12,0.29,42.44,26.53,21.76,23.4,53.0,71.6,2020
591,Universiti Tunku Abdul Rahman (UTAR),18763,0.16,0.02,42.42,26.51,21.73,81.4,38.0,30.3,2020
592,University of Udine,11793,0.18,0.07,42.4,26.49,21.71,68.7,38.0,41.5,2020
593,Victoria University of Wellington,17442,0.19,0.21,42.38,26.47,21.68,45.5,57.2,88.7,2020
594,University of Waikato,9892,0.18,0.19,42.36,26.45,21.65,48.8,43.4,86.2,2020
595,The University of the West Indies,23305,0.22,0.01,42.34,26.43,21.62,73.4,38.9,57.2,2020
596,University of the West of Scotland,11730,0.22,0.21,42.32,26.41,21.6,76.8,35.0,74.6,2020
597,University of Wisconsin-Milwaukee,20874,0.19,0.06,42.3,26.38,21.57,66.9,36.2,33.2,2020
598,University of Wuppertal,23343,0.56,0.11,42.28,26.36,21.54,60.2,44.5,51.2,2020
599,Xiamen University,40841,0.15,0.04,42.26,26.34,21.51,57.1,53.3,31.5,2020
600,Xi’an Jiaotong University,36557,0.13,0.06,42.25,26.32,21.49,41.3,61.4,39.1,2020
601,Yokohama City University,4910,0.05,0.02,42.23,26.3,21.46,86.2,40.3,20.3,2020
602,Åbo Akademi University,5295,0.18,0.16,42.21,26.28,21.43,33.1,38.5,66.9,2020
