rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year
109,Fudan University,32537,0.11,0.12,61.4,47.68,49.43,68.1,58.6,44.8,2020
110,Korea Advanced Institute of Science and Technology (KAIST),9481,0.1,0.08,61.3,47.57,49.28,58.1,99.9,35.5,2020
111,Queen Mary University of London,17799,0.14,0.43,61.3,47.45,49.13,98.0,44.1,96.7,2020
112,University of Birmingham,29542,0.16,0.29,60.9,47.34,48.98,92.1,39.3,89.2,2020
113,University of Bern,11090,0.17,0.16,60.4,47.23,48.84,86.6,85.0,87.3,2020
114,University of Pittsburgh-Pittsburgh campus,26652,0.06,0.11,60.4,47.12,48.69,95.1,40.7,39.3,2020
115,Aarhus University,26842,0.14,0.09,60.3,47.01,48.55,85.4,66.7,74.8,2020
116,Vanderbilt University,12006,0.03,0.14,60.2,46.9,48.41,95.4,47.5,43.0,2020
117,Free University of Berlin,35894,0.58,0.21,60.1,46.79,48.27,58.4,42.4,71.6,2020
118,University of Sheffield,26218,0.15,0.34,60.1,46.69,48.13,83.0,45.8,87.3,2020
119,Case Western Reserve University,10654,0.09,0.23,60.0,46.58,47.99,95.3,42.1,52.2,2020
120,University of Adelaide,21093,0.3,0.29,59.9,46.48,47.85,95.3,64.8,91.7,2020
121,National Taiwan University,27254,0.11,0.11,59.9,46.37,47.72,64.0,65.4,41.9,2020
122,University of Southampton,23863,0.14,0.34,59.8,46.27,47.58,88.0,40.1,94.2,2020
123,Ghent University,38080,0.37,0.1,59.7,46.17,47.45,78.4,80.9,59.5,2020
124,University of Colorado Boulder,33186,0.16,0.11,59.6,46.07,47.31,93.1,41.7,47.3,2020
125,University of Göttingen,30773,0.29,0.13,59.5,45.97,47.18,82.0,37.0,60.9,2020
126,City University of Hong Kong,9587,0.11,0.45,59.3,45.87,47.05,77.6,62.4,99.6,2020
127,Maastricht University,16857,0.19,0.54,59.0,45.77,46.92,77.0,82.9,97.6,2020
128,Radboud University Nijmegen,20024,0.18,0.14,58.9,45.67,46.79,88.2,46.2,73.0,2020
129,University of York,16058,0.15,0.24,58.9,45.57,46.67,85.1,36.4,85.4,2020
130,University of Paris,61390,0.16,0.17,58.8,45.48,46.54,88.3,35.6,66.6,2020
131,University of Oslo,20783,0.13,0.17,58.7,45.38,46.42,90.0,40.7,75.5,2020
132,University of Western Australia,18400,0.23,0.29,58.7,45.28,46.29,91.0,57.0,94.3,2020
133,Durham University,16963,0.15,0.3,58.5,45.19,46.17,75.5,37.9,91.7,2020
134,Indiana University,66872,0.14,0.15,58.4,45.1,46.04,76.7,49.8,53.5,2020
135,University of Vienna,33547,0.4,0.27,58.4,45.0,45.92,64.6,37.1,94.2,2020
136,University of Alberta,31919,0.21,0.26,58.2,44.91,45.8,70.3,60.5,87.5,2020
137,University of Cape Town,21812,0.12,0.17,58.2,44.82,45.68,90.3,85.3,81.8,2020
138,Vrije Universiteit Amsterdam,23025,0.17,0.1,58.1,44.73,45.56,88.4,52.5,68.8,2020
139,Lancaster University,12657,0.13,0.38,58.0,44.64,45.44,92.5,36.0,94.2,2020
140,Tufts University,11017,0.1,0.16,58.0,44.55,45.33,94.4,38.6,49.6,2020
141,University of Ottawa,35365,0.25,0.19,57.9,44.46,45.21,86.2,46.5,77.7,2020
142,Ulm University,10629,0.28,0.13,57.9,44.37,45.09,94.9,75.7,57.5,2020
143,Pompeu Fabra University,11636,0.22,0.13,57.8,44.28,44.98,94.4,44.5,66.5,2020
144,University of Geneva,16935,0.16,0.39,57.6,44.19,44.87,80.4,63.3,98.4,2020
145,Nanjing University,34569,0.16,0.1,57.6,44.11,44.75,71.8,84.9,57.8,2020
146,University of Exeter,21451,0.18,0.28,57.4,44.02,44.64,92.4,37.8,91.9,2020
147,Pohang University of Science and Technology (POSTECH),3215,0.1,0.03,57.4,43.94,44.53,72.2,99.6,32.9,2020
148,University of Sussex,14978,0.16,0.39,57.4,43.85,44.42,91.8,35.9,93.6,2020
149,University of Hamburg,30375,0.59,0.12,57.3,43.77,44.31,74.0,98.5,58.1,2020
150,Sant’Anna School of Advanced Studies – Pisa,776,0.12,0.19,57.3,43.68,44.2,82.5,84.7,56.0,2020
151,Technical University of Berlin,22622,0.61,0.24,57.3,43.6,44.09,62.3,92.7,66.2,2020
152,Université Catholique de Louvain,26235,0.39,0.2,57.2,43.52,43.98,75.7,53.7,80.5,2020
153,University of Nottingham,29699,0.15,0.29,57.2,43.44,43.87,80.3,39.4,87.5,2020
154,Scuola Normale Superiore di Pisa,558,0.07,0.11,57.2,43.35,43.77,79.2,35.9,52.8,2020
155,Arizona State University (Tempe),46683,0.21,0.21,57.1,43.27,43.66,81.6,38.5,61.8,2020
156,University of Leeds,30236,0.14,0.29,57.1,43.19,43.55,78.0,39.9,87.5,2020
157,Autonomous University of Barcelona,31877,0.13,0.16,56.9,43.11,43.45,92.9,44.8,64.3,2020
158,University of Cologne,36965,0.37,0.16,56.9,43.03,43.35,81.5,70.6,62.9,2020
159,University of Mannheim,10730,0.8,0.18,56.9,42.95,43.24,78.2,58.6,58.5,2020
160,University of Notre Dame,12104,0.14,0.12,56.9,42.87,43.14,73.5,38.1,55.3,2020
161,Shanghai Jiao Tong University,38853,0.11,0.13,56.9,42.8,43.04,47.9,99.9,49.8,2020
162,TU Dresden,32309,0.34,0.14,56.9,42.72,42.94,73.0,94.1,55.8,2020
163,University of Würzburg,24082,0.37,0.1,56.8,42.64,42.83,87.5,65.6,61.5,2020
164,Trinity College Dublin,16853,0.22,0.3,56.4,42.57,42.73,75.4,41.2,94.4,2020
165,University of Liverpool,23057,0.14,0.33,56.3,42.49,42.64,88.8,38.8,92.2,2020
166,Bielefeld University,24875,0.78,0.08,56.1,42.41,42.54,91.1,59.4,48.6,2020
167,University of Leicester,14645,0.14,0.32,56.1,42.34,42.44,96.2,38.1,90.7,2020
168,University of Aberdeen,12399,0.16,0.39,56.0,42.26,42.34,95.2,45.8,95.7,2020
169,University of Bologna,65819,0.24,0.12,56.0,42.19,42.24,83.8,45.1,50.7,2020
170,"Rutgers, the State University of New Jersey",44801,0.11,0.17,56.0,42.12,42.15,73.9,41.1,51.5,2020
171,Hong Kong Polytechnic University,20388,0.23,0.25,55.9,42.04,42.05,71.8,42.3,94.1,2020
172,University of Alabama at Birmingham,16927,0.17,0.06,55.7,41.97,41.95,97.3,74.8,37.4,2020
173,Northeastern University,19575,0.14,0.35,55.6,41.9,41.86,97.5,38.0,75.0,2020
174,University of Rochester,9824,0.04,0.31,55.6,41.82,41.77,91.4,40.9,67.2,2020
175,University of Florida,46642,0.17,0.1,55.4,41.75,41.67,61.9,57.9,40.0,2020
176,Karlsruhe Institute of Technology,27255,0.26,0.22,55.4,41.68,41.58,66.5,91.3,69.1,2020
177,Stockholm University,27185,0.2,0.14,55.4,41.61,41.48,85.0,36.6,81.3,2020
178,Texas A&M University,60818,0.25,0.08,55.3,41.54,41.39,62.8,45.3,54.3,2020
179,University of Auckland,32821,0.22,0.32,55.2,41.47,41.3,80.2,62.4,94.0,2020
180,"University of California, Santa Cruz",18783,0.23,0.1,55.2,41.4,41.21,97.7,39.1,60.6,2020
181,Korea University,22965,0.16,0.22,55.2,41.33,41.12,64.5,93.9,52.0,2020
182,Queensland University of Technology,34871,0.38,0.16,55.2,41.26,41.03,86.4,62.4,81.4,2020
183,University of Erlangen-Nuremberg,38111,0.57,0.12,54.9,41.19,40.94,75.2,89.6,52.9,2020
184,Aalto University,12195,0.19,0.26,54.8,41.12,40.85,76.7,48.3,82.3,2020
185,Technical University of Denmark,9265,0.07,0.25,54.8,41.06,40.76,73.8,71.6,92.8,2020
186,Eindhoven University of Technology,8917,0.21,0.19,54.7,40.99,40.67,61.0,99.8,78.3,2020
