rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,20775,11.1,41%,95.6,91,125.82,98.0,68.7,96.4,2021
2,Stanford University,16223,7.4,23%,94.9,92,114.6,99.9,90.1,79.5,2021
3,Harvard University,21261,9.3,25%,94.8,94,108.04,99.4,46.8,77.7,2021
4,California Institute of Technology,2238,6.3,33%,94.5,93,103.38,97.0,92.7,83.6,2021
5,Massachusetts Institute of Technology,11276,8.4,34%,94.4,91,99.76,99.7,90.4,90.0,2021
6,University of Cambridge,19370,11.0,38%,94.0,90,96.81,95.6,52.1,95.7,2021
7,"University of California, Berkeley",39918,19.8,17%,92.2,86,94.32,99.1,84.3,72.3,2021
8,Yale University,12910,6.0,20%,91.6,92,92.15,97.9,56.1,68.4,2021
9,Princeton University,8091,8.0,23%,91.5,89,90.25,98.9,58.0,80.2,2021
10,The University of Chicago,14292,5.9,31%,90.3,89,88.54,98.6,54.9,74.0,2021
11,Imperial College London,17175,11.6,58%,89.4,82,87.0,97.2,69.6,97.4,2021
12,Johns Hopkins University,16432,4.4,27%,89.2,82,85.59,97.7,93.4,73.9,2021
13,University of Pennsylvania,20771,6.4,21%,88.9,85,84.29,98.1,77.9,66.3,2021
14,ETH Zurich,19632,13.1,40%,87.9,80,83.09,90.5,62.8,98.0,2021
15,"University of California, Los Angeles",41673,10.0,17%,87.1,83,81.98,96.5,57.6,65.3,2021
16,UCL,34590,10.8,55%,86.9,77,80.93,96.2,42.1,96.5,2021
17,Columbia University,27384,5.7,39%,86.8,85,79.95,97.7,45.0,79.8,2021
18,University of Toronto,74502,20.0,22%,86.0,75,79.02,94.5,50.0,87.2,2021
19,Cornell University,23016,10.2,25%,85.3,79,78.15,97.2,36.3,73.7,2021
20,Duke University,15489,4.3,21%,84.8,81,77.32,96.9,99.7,65.5,2021
21,Tsinghua University,37484,11.6,13%,84.8,88,76.53,78.8,100.0,51.1,2021
22,University of Michigan-Ann Arbor,43873,8.3,17%,84.0,79,75.77,95.4,47.2,59.6,2021
23,Peking University,38583,11.1,16%,83.9,90,75.05,75.4,96.3,61.2,2021
24,Northwestern University,18529,13.0,19%,83.6,75,74.37,98.2,69.9,64.5,2021
25,National University of Singapore,30943,18.0,26%,83.5,76,73.7,81.5,77.8,94.8,2021
26,New York University,44474,8.8,34%,81.9,76,73.07,96.0,37.3,69.6,2021
27,London School of Economics and Political Science,10660,12.0,72%,81.4,69,72.46,94.3,34.1,92.8,2021
28,Carnegie Mellon University,14058,13.7,48%,81.0,65,71.87,98.9,53.3,80.5,2021
29,University of Washington,46258,10.7,17%,80.4,70,71.3,98.7,45.6,60.9,2021
30,University of Edinburgh,30650,12.1,42%,79.4,67,70.75,96.0,38.7,94.6,2021
31,University of Melbourne,50094,27.0,48%,78.9,67,70.22,90.1,74.2,93.9,2021
32,LMU Munich,34249,33.6,17%,78.2,69,69.71,87.9,100.0,68.1,2021
33,"University of California, San Diego",34232,12.0,30%,77.7,60,69.21,94.3,95.6,64.4,2021
34,University of British Columbia,53123,18.7,32%,76.4,62,68.73,90.0,44.7,94.7,2021
35,King’s College London,27400,12.4,46%,76.1,57,68.26,96.6,43.6,95.4,2021
36,Karolinska Institute,7696,8.8,26%,76.0,58,67.8,95.8,71.4,87.3,2021
37,The University of Tokyo,25935,10.6,13%,76.0,88,67.36,57.7,82.6,40.1,2021
38,Georgia Institute of Technology,26043,23.6,27%,75.8,60,66.92,91.1,65.8,78.9,2021
39,University of Hong Kong,18135,18.2,43%,75.2,68,66.5,80.3,57.4,99.0,2021
40,McGill University,31578,12.8,31%,75.1,64,66.09,86.4,43.7,91.3,2021
41,Technical University of Munich,32377,39.8,31%,74.8,64,65.69,85.0,100.0,74.4,2021
42,Universität Heidelberg,20020,14.5,18%,74.3,68,65.3,96.6,56.9,68.4,2021
43,École Polytechnique Fédérale de Lausanne,10942,12.2,60%,74.1,64,64.92,85.8,73.3,98.5,2021
44,University of Texas at Austin,49510,16.9,10%,74.0,68,64.55,90.5,46.2,39.4,2021
45,KU Leuven,45617,36.1,15%,73.7,59,64.19,86.1,97.2,72.7,2021
46,Paris Sciences et Lettres – PSL Research University Paris,20701,14.7,24%,73.6,71,63.83,75.9,61.7,80.6,2021
47,"Nanyang Technological University, Singapore",23902,14.8,25%,72.7,57,63.48,83.0,83.2,94.0,2021
48,University of Illinois at Urbana-Champaign,45980,17.8,24%,72.3,63,63.14,81.3,49.5,55.1,2021
49,University of Wisconsin-Madison,39451,9.8,13%,71.4,68,62.81,82.5,45.0,48.4,2021
50,Washington University in St Louis,13693,7.5,21%,71.1,61,62.48,99.0,40.4,59.1,2021
51,University of Manchester,36555,14.4,41%,70.9,57,62.16,85.6,49.2,91.7,2021
52,The University of Sydney,46453,19.4,43%,70.9,51,61.85,92.3,69.3,90.0,2021
53,University of Southern California,41953,13.0,23%,70.4,64,61.54,93.1,39.2,64.9,2021
54,Boston University,26510,11.1,28%,70.3,59,61.23,94.9,41.7,64.9,2021
55,Kyoto University,22935,9.3,11%,70.3,78,60.94,60.8,74.6,37.8,2021
56,Chinese University of Hong Kong,18675,19.3,33%,70.1,56,60.65,89.4,58.6,98.3,2021
57,The Hong Kong University of Science and Technology,9976,21.6,30%,70.1,52,60.36,88.9,63.6,97.4,2021
58,University of North Carolina at Chapel Hill,30956,8.2,8%,70.1,61,60.08,96.3,42.5,39.7,2021
59,Australian National University,18801,17.8,47%,69.8,49,59.8,88.4,43.0,96.2,2021
60,Seoul National University,26757,15.1,11%,69.7,72,59.53,68.8,97.8,37.4,2021
61,Brown University,9695,10.8,20%,69.5,62,59.26,94.0,36.1,62.3,2021
62,The University of Queensland,40389,35.5,38%,69.4,54,59.0,85.9,81.0,93.0,2021
63,Wageningen University & Research,14356,21.0,27%,69.4,48,58.74,97.3,100.0,83.7,2021
64,"University of California, Davis",36395,13.6,17%,68.9,61,58.48,81.9,50.4,66.9,2021
65,Monash University,57406,41.7,43%,68.9,53,58.23,86.2,73.9,90.3,2021
66,University of Amsterdam,24747,12.8,24%,68.8,49,57.99,92.8,39.9,87.4,2021
67,UNSW Sydney,46234,41.0,44%,68.2,51,57.74,85.3,66.8,94.7,2021
68,"University of California, Santa Barbara",24780,28.2,18%,67.9,46,57.5,96.7,81.8,70.0,2021
69,McMaster University,25285,30.5,18%,67.5,47,57.27,95.8,99.5,83.8,2021
70,Fudan University,32597,11.2,13%,66.7,66,57.03,73.3,67.1,47.7,2021
71,Leiden University,30178,19.0,18%,66.7,46,56.8,84.1,72.6,82.2,2021
72,Erasmus University Rotterdam,26453,26.8,22%,66.2,38,56.58,97.6,73.6,87.8,2021
73,University of Montreal,36774,20.2,21%,65.6,51,56.35,87.4,78.3,84.3,2021
74,University of Zurich,22960,14.8,21%,65.6,50,56.13,89.8,64.1,92.1,2021
75,Charité - Universitätsmedizin Berlin,7431,17.4,20%,65.4,48,55.92,97.4,92.1,66.6,2021
76,Utrecht University,32022,14.0,10%,65.4,43,55.7,89.9,65.7,74.1,2021
77,University of Warwick,21775,13.3,41%,65.3,47,55.49,90.1,41.6,94.0,2021
78,Delft University of Technology,19594,17.4,31%,65.2,54,55.28,60.0,98.9,92.8,2021
79,University of Tübingen,27590,36.6,14%,65.2,53,55.07,81.9,77.1,64.3,2021
80,University of Groningen,28392,23.9,23%,65.1,41,54.87,92.6,69.8,85.1,2021
81,Humboldt University of Berlin,33388,56.3,18%,65.1,61,54.67,68.3,37.6,68.3,2021
82,Ohio State University (Main campus),54650,12.1,13%,65.1,56,54.47,87.9,53.3,60.1,2021
83,University of Freiburg,14878,32.5,21%,64.7,48,54.27,87.3,100.0,77.8,2021
84,University of Copenhagen,30746,4.2,17%,63.8,49,54.08,90.4,50.5,86.4,2021
85,Emory University,12923,4.0,20%,63.7,54,53.89,98.7,46.7,59.2,2021
86,University of Minnesota,61994,12.4,11%,63.7,55,53.7,81.4,80.3,40.7,2021
87,École Polytechnique,2850,5.6,44%,63.4,61,53.51,68.2,72.1,96.1,2021
88,University of Science and Technology of China,16434,7.2,5%,63.4,64,53.33,72.3,75.2,33.0,2021
89,Sorbonne University,43585,12.8,20%,63.4,63,53.14,73.5,36.9,68.5,2021
90,"University of Maryland, College Park",33671,16.6,11%,63.1,47,52.96,90.2,38.9,42.9,2021
91,University of Bristol,22980,14.5,28%,63.0,40,52.78,95.6,39.8,88.2,2021
92,University of Basel,9229,12.3,30%,62.9,44,52.61,91.7,99.7,97.2,2021
93,University of Glasgow,26535,14.7,38%,62.9,41,52.43,94.3,39.9,92.8,2021
94,Purdue University West Lafayette,41573,16.3,22%,62.5,57,52.26,62.0,69.9,71.5,2021
95,Zhejiang University,33825,10.8,23%,62.5,66,52.09,52.3,100.0,65.1,2021
96,Korea Advanced Institute of Science and Technology (KAIST),9514,10.4,9%,62.4,64,51.92,57.9,100.0,36.6,2021
97,National Taiwan University (NTU),24880,9.9,12%,62.3,57,51.75,66.9,69.5,44.8,2021
98,"University of California, Irvine",35040,17.5,27%,62.1,44,51.58,93.5,53.2,72.4,2021
99,University of Helsinki,22137,15.9,5%,62.1,43,51.42,88.9,37.0,56.1,2021
100,Shanghai Jiao Tong University,38556,11.9,11%,61.8,61,51.26,53.7,100.0,52.0,2021
101,Dartmouth College,6336,7.6,15%,61.7,58,51.1,95.3,37.8,40.7,2021
102,Sungkyunkwan University (SKKU),23340,19.5,18%,61.7,56,50.94,67.8,98.1,55.0,2021
103,Ghent University,37587,36.1,11%,61.6,47,50.78,79.6,79.9,60.7,2021
104,Lund University,27443,11.3,19%,61.6,39,50.62,85.5,79.0,77.0,2021
105,Michigan State University,44618,16.1,15%,61.5,53,50.47,77.9,36.4,63.6,2021
106,Aarhus University,26318,13.8,10%,61.4,37,50.31,86.2,71.3,76.6,2021
107,University of Birmingham,30195,14.8,30%,61.3,40,50.16,92.6,40.1,90.2,2021
108,RWTH Aachen University,45256,58.4,23%,61.3,56,50.01,62.9,98.0,60.1,2021
109,University of Bern,11417,16.8,16%,61.2,45,49.86,87.4,84.7,87.1,2021
110,Queen Mary University of London,19365,13.6,45%,61.1,35,49.71,97.4,41.5,96.8,2021
111,Nanjing University,37475,17.5,9%,61.0,52,49.57,75.2,91.3,56.3,2021
112,Uppsala University,25112,15.8,18%,61.0,39,49.42,84.8,72.4,72.2,2021
113,Vanderbilt University,12139,3.0,15%,61.0,49,49.28,94.6,53.5,43.6,2021
114,University of Bonn,37439,70.2,13%,60.9,49,49.14,84.9,52.7,61.7,2021
115,Penn State (Main campus),46682,11.0,15%,60.9,53,48.99,76.9,36.9,46.9,2021
116,Vrije Universiteit Amsterdam,25443,18.0,13%,60.8,38,48.85,89.3,57.5,73.1,2021
117,University of Virginia (Main campus),24879,9.0,13%,60.6,52,48.72,90.7,41.9,50.2,2021
118,University of Adelaide,21054,30.7,29%,60.4,34,48.58,96.0,68.5,92.3,2021
119,Free University of Berlin,36380,59.2,22%,60.4,57,48.44,58.4,42.0,73.3,2021
120,Georgetown University,16451,8.5,19%,60.1,55,48.31,94.7,65.7,47.2,2021
121,Case Western Reserve University,10774,9.1,23%,60.0,47,48.17,95.0,40.7,53.5,2021
122,Maastricht University,17326,18.4,54%,60.0,40,48.04,79.7,82.1,98.0,2021
123,University of Sheffield,26765,15.5,35%,60.0,45,47.91,81.8,46.5,87.7,2021
124,University of Arizona,39635,18.0,9%,59.8,48,47.77,85.6,50.3,40.4,2021
125,Rice University,6805,9.2,28%,59.8,48,47.64,89.9,42.9,77.3,2021
126,City University of Hong Kong,9510,10.8,51%,59.7,44,47.52,78.6,50.3,99.8,2021
127,University of Oslo,20737,12.2,17%,59.4,40,47.39,91.5,40.4,78.1,2021
128,University of Southampton,23500,14.3,35%,59.4,39,47.26,89.0,41.2,94.5,2021
129,Hong Kong Polytechnic University,22778,25.4,27%,59.1,41,47.13,81.0,41.7,96.1,2021
130,University of Göttingen,30894,28.0,13%,59.0,48,47.01,82.1,36.4,61.8,2021
131,University of Alberta,32846,21.5,27%,58.9,46,46.89,72.4,60.0,88.2,2021
132,University of Colorado Boulder,34481,16.1,11%,58.9,44,46.76,91.3,42.0,47.5,2021
133,University of Pittsburgh-Pittsburgh campus,26761,5.7,11%,58.8,46,46.64,93.9,40.6,41.7,2021
134,University of York,16880,15.0,25%,58.8,39,46.52,87.9,35.2,86.0,2021
135,University of Hamburg,30649,58.7,12%,58.6,45,46.4,74.1,93.7,58.7,2021
136,Lancaster University,13045,12.4,37%,58.4,37,46.28,90.9,35.2,94.6,2021
137,Université Paris Cité,63219,17.7,18%,58.4,51,46.16,86.3,33.3,66.4,2021
138,Radboud University Nijmegen,20752,17.3,16%,58.4,34,46.04,88.6,48.0,73.9,2021
139,The University of Western Australia,18253,22.5,29%,58.3,32,45.93,90.4,59.1,94.6,2021
140,Indiana University,67054,15.0,15%,58.2,50,45.81,77.8,51.7,53.6,2021
141,University of Mannheim,10593,78.3,18%,58.2,41,45.69,82.7,58.8,60.6,2021
142,Technical University of Berlin,22695,60.8,26%,58.2,51,45.58,62.3,93.9,66.9,2021
143,Ulm University,10503,28.4,13%,58.2,40,45.47,94.9,82.0,57.4,2021
144,University of Würzburg,23887,38.2,10%,58.2,39,45.35,90.5,70.2,61.5,2021
145,University of Cologne,34630,35.0,18%,58.0,43,45.24,81.6,79.6,69.6,2021
146,University of Ottawa,35140,24.6,20%,58.0,41,45.13,87.1,46.0,79.9,2021
147,University of Auckland,32596,22.6,31%,57.8,31,45.02,87.5,75.4,94.5,2021
148,University of Rochester,10017,4.9,34%,57.8,45,44.91,91.2,41.4,69.8,2021
149,Durham University,17090,15.2,31%,57.6,45,44.8,71.2,37.3,92.7,2021
150,University of Geneva,17271,16.0,38%,57.6,35,44.69,80.6,72.8,98.3,2021
151,Pohang University of Science and Technology (POSTECH),3034,9.7,3%,57.5,54,44.58,70.4,97.9,30.7,2021
152,University of Florida,46632,16.1,9%,57.4,54,44.48,61.9,56.1,40.5,2021
153,Pompeu Fabra University,11914,22.9,13%,57.4,37,44.37,93.8,50.9,65.8,2021
154,TU Dresden,31103,32.9,15%,57.4,47,44.27,73.1,96.7,57.6,2021
155,University of Cape Town,21647,11.7,17%,57.3,30,44.16,90.9,89.0,81.6,2021
156,Trinity College Dublin,17154,21.4,32%,57.3,41,44.06,78.3,50.7,94.8,2021
157,Tufts University,11024,9.7,16%,57.3,47,43.95,95.5,38.5,50.0,2021
158,Bielefeld University,24890,71.5,8%,56.9,34,43.85,94.8,66.5,48.3,2021
159,University of Nottingham,30800,15.1,29%,56.9,42,43.75,80.0,38.7,87.8,2021
160,University of Leeds,31460,14.3,30%,56.8,43,43.65,74.7,38.5,88.5,2021
161,University of Sussex,16260,15.9,37%,56.8,33,43.55,92.3,35.1,93.9,2021
162,University of Technology Sydney,26529,41.7,36%,56.8,35,43.45,81.1,53.7,97.0,2021
163,University of Liverpool,25170,14.6,33%,56.7,35,43.35,89.5,37.9,92.6,2021
164,Université Catholique de Louvain,26462,39.7,20%,56.5,38,43.25,73.7,57.9,80.5,2021
165,University of Vienna,32650,38.5,28%,56.5,46,43.15,59.1,36.3,94.6,2021
166,Rutgers University – New Brunswick,44264,11.0,17%,56.4,47,43.05,75.8,40.4,52.5,2021
167,University of Bologna,67298,24.4,12%,56.3,51,42.95,83.6,44.1,51.6,2021
168,Korea University,22666,16.6,22%,56.3,49,42.86,67.6,96.2,53.4,2021
169,University of Alabama at Birmingham,18211,17.3,6%,56.2,38,42.76,97.4,78.6,38.4,2021
170,University of Antwerp,15272,31.2,17%,56.0,35,42.67,80.7,83.0,70.0,2021
171,University of Leicester,15550,14.7,32%,56.0,31,42.57,96.2,37.6,90.7,2021
172,University of Notre Dame,12149,10.9,12%,56.0,52,42.48,71.5,38.1,57.3,2021
173,Sant’Anna School of Advanced Studies – Pisa,661,10.0,20%,56.0,46,42.38,79.9,85.9,57.2,2021
174,University of Exeter,22005,16.9,28%,55.9,32,42.29,89.9,35.8,91.5,2021
175,"Northeastern University, US",20711,14.1,36%,55.8,37,42.2,98.2,36.5,76.0,2021
176,Ulsan National Institute of Science and Technology (UNIST),3983,14.3,8%,55.8,35,42.1,90.8,85.3,49.1,2021
177,University of Aberdeen,12860,16.6,42%,55.7,30,42.01,94.4,45.1,95.6,2021
178,Newcastle University,24090,14.6,27%,55.7,31,41.92,90.6,40.1,88.0,2021
179,Paris-Saclay University,28618,14.6,16%,55.7,37,41.83,80.4,34.5,65.1,2021
180,Scuola Normale Superiore di Pisa,557,6.7,11%,55.6,56,41.74,77.2,34.2,53.5,2021
181,Autonomous University of Barcelona,31284,12.5,17%,55.5,35,41.65,91.9,42.1,65.6,2021
182,Stockholm University,27200,19.1,10%,55.3,32,41.56,82.5,35.7,71.4,2021
183,Arizona State University (Tempe),45827,19.7,20%,55.2,38,41.47,79.1,37.1,62.8,2021
184,University of Canberra,10304,37.4,35%,55.2,26,41.38,99.7,41.2,89.8,2021
185,Queensland University of Technology,35555,42.0,17%,55.1,32,41.3,89.4,53.5,83.2,2021
186,Eindhoven University of Technology,9469,21.3,23%,54.9,47,41.21,57.9,99.8,82.3,2021
187,George Washington University,23788,13.4,17%,54.9,47,41.12,85.8,34.4,55.9,2021
188,Technical University of Denmark,9412,6.7,25%,54.9,40,41.04,72.4,78.4,92.7,2021
189,Yonsei University (Seoul campus),17745,14.7,22%,54.9,52,40.95,54.0,99.5,58.6,2021
190,Cardiff University,25900,14.1,28%,54.7,32,40.86,89.4,36.7,86.8,2021
191,University of Gothenburg,19616,9.8,13%,54.7,28,40.78,94.0,39.4,66.2,2021
192,University of Lausanne,12685,8.8,24%,54.7,33,40.7,76.1,71.3,92.6,2021
193,Tel Aviv University,22635,22.3,7%,54.7,40,40.61,73.0,41.1,56.2,2021
194,Macquarie University,29835,65.5,29%,54.6,39,40.53,73.7,58.6,87.1,2021
195,University of Münster,44580,42.9,8%,54.6,39,40.44,82.5,47.0,49.5,2021
196,Texas A&M University,62070,24.4,8%,54.5,47,40.36,64.8,44.9,56.1,2021
197,University of Barcelona,45494,15.0,11%,54.4,31,40.28,91.5,45.9,58.6,2021
198,University of Erlangen-Nuremberg,38052,57.3,12%,54.4,42,40.2,72.6,88.4,53.8,2021
