rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1.0,University of Oxford,96.0,111.78,128.61,99.1,67.0,96.3,20300,11.0,0.40,2019
2.0,University of Cambridge,94.8,102.33,116.77,97.1,52.9,94.3,18750,10.9,0.37,2019
3.0,Stanford University,94.7,96.8,109.85,99.9,64.6,79.3,15878,7.4,0.23,2019
4.0,Massachusetts Institute of Technology,94.2,92.88,104.93,99.9,87.6,89.0,11231,8.7,0.34,2019
5.0,California Institute of Technology,94.1,89.84,101.12,99.2,88.2,62.3,2255,6.5,0.29,2019
6.0,Harvard University,93.6,87.35,98.01,99.6,48.7,79.7,20595,9.1,0.26,2019
7.0,Princeton University,92.3,85.25,95.37,99.4,57.3,80.1,7996,8.2,0.24,2019
8.0,Yale University,91.3,83.43,93.09,97.8,51.5,68.3,12318,5.2,0.20,2019
9.0,Imperial College London,90.3,81.82,91.08,97.8,67.3,97.1,16425,11.6,0.56,2019
10.0,The University of Chicago,90.2,80.38,89.28,99.0,41.4,70.9,13562,6.1,0.25,2019
11.0,ETH Zurich,89.3,79.08,87.65,93.8,56.1,98.2,18171,12.3,0.39,2019
12.0,Johns Hopkins University,89.0,77.9,86.17,98.5,95.5,71.9,16146,4.6,0.25,2019
13.0,University of Pennsylvania,89.0,76.81,84.8,98.4,70.3,63.6,20443,6.4,0.20,2019
14.0,UCL,87.8,75.8,83.53,95.9,42.4,95.8,31695,10.6,0.51,2019
15.0,"University of California, Berkeley",87.7,74.85,82.35,99.7,49.3,69.8,36468,13.2,0.17,2019
16.0,Columbia University,87.2,73.97,81.25,98.8,44.8,79.0,26586,6.0,0.37,2019
17.0,"University of California, Los Angeles",86.4,73.15,80.22,97.8,49.4,62.1,39464,9.2,0.17,2019
18.0,Duke University,85.4,72.37,79.24,98.2,100.0,61.0,15037,4.4,0.18,2019
19.0,Cornell University,85.1,71.63,78.32,97.4,36.9,71.8,21904,9.8,0.25,2019
20.0,University of Michigan-Ann Arbor,84.1,70.93,77.44,96.0,45.9,58.0,41831,8.3,0.17,2019
21.0,University of Toronto,84.0,70.27,76.61,92.8,50.3,82.8,72202,19.0,0.19,2019
22.0,Tsinghua University,82.9,69.63,75.81,74.8,99.8,45.8,36912,11.9,0.11,2019
