rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
61.0,Pennsylvania State University,65.8,56.88,58.9,81.4,59.7,34.9,44501.0,12.4,0.12,2013
62.0,University of Sydney,65.7,56.6,58.57,62.9,69.2,83.0,41868.0,20.2,0.28,2013
63.0,École Polytechnique,65.7,56.33,58.24,80.7,75.8,83.0,2429.0,4.8,0.3,2013
64.0,Leiden University,65.1,56.06,57.92,78.4,46.1,54.8,21222.0,17.1,0.1,2013
65.0,Hong Kong University of Science and Technology,64.4,55.79,57.6,68.9,55.6,78.1,11385.0,23.8,0.36,2013
66.0,The University of Queensland,64.4,55.53,57.29,69.6,64,77.8,34718.0,32.7,0.27,2013
67.0,Utrecht University,64.1,55.27,56.98,82.4,82.6,47.3,30779.0,15.4,0.07,2013
68.0,Korea Advanced Institute of Science and Technology (KAIST),64.0,55.02,56.68,58.4,100,31.1,9027.0,10.0,0.09,2013
69.0,Purdue University,63.8,54.77,56.38,63.1,-,54.8,39256.0,18.1,0.22,2013
70.0,University of Göttingen,63.2,54.52,56.08,92.5,34.4,51.0,25581.0,25.6,0.12,2013
71.0,Wageningen University and Research Center,63.2,54.28,55.79,73.8,100,79.2,9248.0,17.0,0.21,2013
72.0,Erasmus University Rotterdam,62.9,54.04,55.51,80.2,62,62.8,20580.0,18.9,0.18,2013
73.0,University of Massachusetts,62.9,53.8,55.22,77.8,52.8,31.7,56959.0,13.0,0.11,2013
74.0,University of Bristol,62.5,53.57,54.94,85.4,38.7,71.9,17906.0,14.0,0.25,2013
75.0,Rice University,62.0,53.34,54.67,100.0,36.5,59.0,6333.0,9.0,0.26,2013
76.0,University of Pittsburgh,61.7,53.11,54.4,85.2,39.3,29.4,26485.0,5.8,0.1,2013
77.0,Delft University of Technology,61.6,52.89,54.13,45.1,99.9,67.7,15920.0,19.4,0.25,2013
78.0,Heidelberg University,61.4,52.66,53.87,75.5,40.7,61.3,28881.0,24.5,0.17,2013
79.0,Emory University,61.3,52.45,53.6,90.9,38.3,36.6,12338.0,4.5,0.18,2013
80.0,Durham University,60.7,52.23,53.35,93.3,34.3,77.7,15489.0,15.7,0.24,2013
81.0,Pierre and Marie Curie University,60.5,52.02,53.09,80.6,28.6,64.4,27862.0,8.7,0.18,2013
82.0,Lund University,60.3,51.81,52.84,77.1,34.2,64.4,28251.0,11.5,0.15,2013
83.0,University of Amsterdam,60.1,51.6,52.59,75.1,49,57.0,24570.0,14.4,0.11,2013
84.0,University of Montreal,59.8,51.39,52.35,60.9,95,74.6,38264.0,20.3,0.25,2013
85.0,University of New South Wales,59.6,51.19,52.1,56.7,50.5,84.8,38309.0,25.9,0.33,2013
86.0,Nanyang Technological University,59.4,50.99,51.87,54.5,99.5,90.5,25028.0,16.2,0.33,2013
87.0,Tufts University,59.1,50.79,51.63,94.8,39.4,39.6,10410.0,10.0,0.14,2013
88.0,McMaster University,59.0,50.6,51.39,81.7,98,66.9,23823.0,19.3,0.15,2013
89.0,University of Groningen,58.8,50.4,51.16,71.6,85.2,49.8,24556.0,25.6,0.12,2013
90.0,University of Zurich,58.8,50.21,50.93,80.0,38.3,84.1,26583.0,6.5,0.19,2013
91.0,University of Colorado Boulder,58.7,50.02,50.71,97.1,-,34.7,29325.0,16.1,0.08,2013
92.0,Paris-Sud University,58.6,49.83,50.48,82.9,28.4,63.9,27603.0,15.0,0.17,2013
93.0,Ghent University,58.4,49.65,50.26,71.3,95.9,49.1,32166.0,34.1,0.09,2013
94.0,Michigan State University,58.3,49.46,50.04,73.8,32.6,36.8,44750.0,15.7,0.15,2013
95.0,University of Notre Dame,58.3,49.28,49.83,93.5,29.8,41.6,11829.0,13.8,0.1,2013
96.0,"University of California, Irvine",58.2,49.1,49.61,90.3,42.1,35.2,26614.0,16.1,0.16,2013
97.0,"University of Maryland, College Park",57.9,48.93,49.4,83.9,32.1,40.4,31331.0,8.4,0.09,2013
98.0,University of Arizona,57.7,48.75,49.19,76.9,83.9,31.3,36429.0,12.7,0.08,2013
99.0,Humboldt University of Berlin,57.5,48.58,48.98,59.5,-,57.5,29987.0,52.5,0.16,2013
100.0,Monash University,57.5,48.4,48.77,60.9,70,66.4,50882.0,40.5,0.36,2013
101.0,"Rutgers, the State University of New Jersey",57.5,48.23,48.57,69.5,35.8,27.9,37032.0,17.3,0.08,2013
102.0,University of Rochester,57.2,48.06,48.37,92.3,39.6,45.9,9390.0,4.5,0.26,2013
103.0,University of York,57.1,47.9,48.17,83.4,38.4,71.9,nan,nan,nan,2013
104.0,Case Western Reserve University,56.9,47.73,47.97,80.4,-,34.2,9259.0,6.4,0.17,2013
105.0,Technical University of Munich,56.8,47.57,47.78,76.5,49.7,61.5,35565.0,31.5,0.2,2013
106.0,Uppsala University,56.6,47.41,47.58,58.2,44.1,56.3,25266.0,18.2,0.12,2013
107.0,Vanderbilt University,56.6,47.24,47.39,85.0,53,27.5,12161.0,3.6,0.1,2013
108.0,University of St Andrews,56.5,47.08,47.2,76.6,38.9,86.3,8338.0,12.7,0.47,2013
109.0,University of Helsinki,56.4,46.93,47.01,77.7,31.1,48.3,23505.0,15.1,0.06,2013
110.0,Trinity College Dublin,56.2,46.77,46.82,88.1,32.8,84.5,15521.0,18.0,0.25,2013
111.0,University of Sheffield,56.2,46.61,46.64,71.0,41.5,68.1,23311.0,15.5,0.31,2013
112.0,University of Sussex,56.2,46.46,46.45,91.1,32.1,76.7,12001.0,17.4,0.35,2013
113.0,University of Cape Town,55.8,46.31,46.27,79.7,87.3,75.1,20040.0,12.1,0.18,2013
114.0,Eindhoven University of Technology,55.6,46.16,46.09,63.8,100,69.8,8176.0,16.0,0.14,2013
115.0,Maastricht University,55.5,46.01,45.91,62.5,99.1,85.2,15626.0,18.9,0.48,2013
116.0,Aarhus University,55.3,45.86,45.73,71.6,69.7,66.4,23895.0,13.6,0.14,2013
117.0,Stockholm University,55.2,45.71,45.56,93.0,32,52.2,31715.0,23.7,0.08,2013
118.0,University of Virginia,55.0,45.57,45.38,73.5,48.6,27.9,23845.0,10.2,0.12,2013
119.0,"Royal Holloway, University of London",54.9,45.42,45.21,99.0,31.9,92.5,8747.0,15.9,0.37,2013
120.0,University of Nottingham,54.8,45.28,45.04,62.8,38.3,70.1,30144.0,15.0,0.27,2013
121.0,University of Alberta,54.7,45.14,44.87,56.6,50.6,67.6,36299.0,21.6,0.23,2013
122.0,"University of California, Santa Cruz",54.5,44.99,44.7,99.9,-,32.5,17404.0,22.7,0.01,2013
123.0,University of Florida,54.5,44.85,44.53,56.0,-,31.2,50095.0,18.7,0.09,2013
124.0,Chinese University of Hong Kong,54.4,44.72,44.37,45.1,44.5,62.6,17916.0,10.2,0.22,2013
125.0,Dartmouth College,54.4,44.58,44.2,87.0,38.6,31.5,6178.0,6.6,0.16,2013
126.0,University of Warwick,54.4,44.44,44.04,58.8,35.3,80.9,18529.0,16.6,0.37,2013
127.0,Radboud University Nijmegen,54.0,44.31,43.88,73.3,41.7,53.4,17713.0,13.0,0.1,2013
128.0,Free University of Berlin,53.7,44.17,43.72,51.5,32.8,60.9,33062.0,39.3,0.2,2013
129.0,Tokyo Institute of Technology,53.7,44.04,43.56,52.0,65.3,29.6,9586.0,7.3,0.13,2013
130.0,University of Copenhagen,53.6,43.91,43.4,74.3,39.7,73.5,27545.0,4.1,0.19,2013
131.0,University of Lausanne,53.6,43.77,43.24,76.2,45.8,82.7,11964.0,13.1,0.22,2013
132.0,University of Southampton,53.6,43.64,43.09,79.2,41.8,77.4,20925.0,13.5,0.29,2013
133.0,University of Geneva,53.5,43.51,42.93,73.1,32.4,95.3,15668.0,15.0,0.39,2013
134.0,Indiana University,53.2,43.39,42.78,72.5,-,36.0,62468.0,13.6,0.13,2013
135.0,National Taiwan University,53.2,43.26,42.63,45.5,44,24.6,31891.0,11.9,0.07,2013
136.0,University of Utah,53.2,43.13,42.47,81.0,63.3,25.2,25674.0,16.9,0.09,2013
137.0,Hebrew University of Jerusalem,53.1,43.01,42.32,57.0,33.6,50.3,17612.0,10.7,0.05,2013
138.0,Tohoku University,53.1,42.88,42.18,48.9,80.7,32.0,17200.0,5.0,0.07,2013
139.0,University of Glasgow,53.0,42.76,42.03,78.1,44.1,69.7,22616.0,16.0,0.29,2013
140.0,KTH Royal Institute of Technology,52.9,42.64,41.88,49.1,100,86.1,12062.0,14.6,0.21,2013
141.0,VU University Amsterdam,52.9,42.51,41.73,74.2,58.5,47.1,23280.0,16.3,0.06,2013
142.0,University of Basel,52.8,42.39,41.59,87.8,64.2,89.8,12551.0,17.3,0.24,2013
143.0,University of Leeds,52.8,42.27,41.45,65.8,41.3,66.6,27703.0,14.7,0.21,2013
144.0,University of Freiburg,52.3,42.15,41.3,72.4,81.1,54.9,26467.0,31.2,0.16,2013
145.0,Lancaster University,52.1,42.03,41.16,73.2,31.8,76.2,11512.0,14.9,0.33,2013
146.0,Queen Mary University of London,52.1,41.92,41.02,85.4,42.7,87.0,14260.0,14.0,0.4,2013
147.0,Osaka University,52.0,41.8,40.88,46.4,69.6,23.6,23144.0,7.8,0.09,2013
148.0,Arizona State University,51.9,41.68,40.74,79.9,31.8,27.4,83236.0,29.9,0.09,2013
149.0,Technical University of Denmark,51.7,41.57,40.6,76.9,98.7,77.0,9990.0,5.0,0.18,2013
150.0,Boston College,51.6,41.45,40.47,88.7,-,52.4,13216.0,17.4,0.19,2013
151.0,Karlsruhe Institute of Technology,51.5,41.34,40.33,63.4,82.9,64.5,25294.0,24.6,0.16,2013
152.0,University of Bern,51.5,41.23,40.2,69.7,42,77.3,14708.0,22.5,0.14,2013
153.0,University of Exeter,51.3,41.11,40.06,78.1,37.1,74.1,17755.0,18.8,0.28,2013
154.0,RWTH Aachen University,51.1,41.0,39.93,73.8,63.1,53.9,37917.0,27.6,0.16,2013
155.0,"University of California, Riverside",51.1,40.89,39.8,90.3,33.5,62.8,20626.0,22.0,0.12,2013
156.0,Texas A&M University,50.9,40.78,39.66,49.3,45.5,47.2,50657.0,21.4,0.09,2013
157.0,Yeshiva University,50.9,40.67,39.53,78.8,-,28.4,6753.0,5.5,0.07,2013
158.0,Tel Aviv University,50.5,40.56,39.4,43.7,49.2,39.5,23977.0,24.4,0.04,2013
159.0,University of Birmingham,50.5,40.45,39.27,56.3,38.4,69.7,25295.0,16.4,0.23,2013
160.0,University of São Paulo,50.5,40.35,39.14,30.2,40,24.5,81402.0,14.6,0.04,2013
161.0,University of Auckland,50.3,40.24,39.02,64.2,76.6,88.0,29787.0,18.9,0.28,2013
162.0,Stony Brook University,50.2,40.13,38.89,82.9,31.6,52.8,21908.0,10.9,0.24,2013
163.0,University of Vienna,50.2,40.03,38.76,52.4,29.1,86.3,34651.0,20.5,0.25,2013
164.0,Université Catholique de Louvain,50.0,39.92,38.64,68.8,34.5,64.3,28856.0,42.0,0.19,2013
165.0,University of Delaware,49.7,39.82,38.51,76.6,97.7,37.3,19262.0,15.9,0.1,2013
166.0,Paris Diderot University – Paris 7,49.6,39.72,38.39,87.9,-,66.8,27756.0,14.8,0.17,2013
167.0,University of Texas at Dallas,49.5,39.61,38.27,85.2,40,46.8,16306.0,22.8,0.23,2013
168.0,George Washington University,49.4,39.51,38.14,77.1,30,36.6,20541.0,12.0,0.16,2013
169.0,University of Iowa,49.3,39.41,38.02,65.7,-,26.4,27526.0,11.6,0.11,2013
170.0,École Normale Supérieure de Lyon,49.2,39.31,37.9,79.6,28.9,61.0,2218.0,8.0,0.14,2013
171.0,University of Bonn,49.0,39.21,37.78,80.4,-,54.0,32474.0,70.4,0.13,2013
172.0,University of Liverpool,49.0,39.11,37.66,64.8,46.4,73.7,18815.0,13.6,0.3,2013
173.0,University of Ottawa,49.0,39.01,37.54,63.1,43,58.1,36733.0,26.3,0.15,2013
174.0,Georgetown University,48.9,38.91,37.43,59.8,-,32.9,15408.0,8.5,0.14,2013
175.0,Rensselaer Polytechnic Institute,48.9,38.81,37.31,73.0,66.8,32.9,6671.0,15.0,0.16,2013
176.0,University of Aberdeen,48.8,38.71,37.19,71.5,48.9,84.1,12938.0,15.8,0.33,2013
177.0,University of Adelaide,48.8,38.62,37.08,55.9,63.2,82.2,20771.0,30.1,0.26,2013
178.0,University of East Anglia,48.8,38.52,36.96,85.5,30.7,68.9,14992.0,14.7,0.28,2013
179.0,University of Reading,48.8,38.42,36.85,61.3,35.2,72.4,12050.0,14.8,0.28,2013
180.0,Joseph Fourier University,48.6,38.33,36.73,81.8,36.3,56.3,16130.0,12.1,0.13,2013
181.0,Newcastle University,48.6,38.23,36.62,72.1,37.4,74.4,20174.0,15.2,0.29,2013
182.0,City University of Hong Kong,48.5,38.14,36.5,64.1,53.6,64.0,10015.0,7.1,0.28,2013
183.0,Yonsei University,48.2,38.04,36.39,48.6,56.1,33.4,24774.0,11.6,0.14,2013
184.0,Colorado School of Mines,48.0,37.95,36.28,94.3,66,51.2,5287.0,18.2,0.12,2013
185.0,University of Illinois at Chicago,48.0,37.86,36.17,52.9,40.4,29.1,24313.0,9.2,0.17,2013
186.0,William & Mary,48.0,37.76,36.06,87.1,29.9,25.8,7867.0,11.8,0.07,2013
187.0,University College Dublin,47.9,37.67,35.95,74.9,35.3,76.5,22193.0,24.5,0.23,2013
188.0,University of Twente,47.9,37.58,35.84,55.6,79.7,61.5,6631.0,12.0,0.26,2013
189.0,Medical University of South Carolina,47.7,37.49,35.73,59.7,77.1,27.7,nan,nan,nan,2013
190.0,University of Western Australia,47.3,37.4,35.62,55.7,60,88.4,20851.0,20.7,0.27,2013
191.0,Wake Forest University,47.3,37.31,35.52,89.1,48,19.0,7326.0,4.6,0.05,2013
192.0,University of Antwerp,47.1,37.22,35.41,64.8,100,58.5,12346.0,30.3,0.16,2013
