rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1.0,California Institute of Technology,94.8,123.7,136.09,99.9,97,56.0,2243.0,6.9,0.27,2012
2.0,Harvard University,93.9,111.81,122.21,99.8,35.9,67.5,20152.0,8.9,0.25,2012
3.0,Stanford University,93.9,104.85,114.09,99.8,63.8,57.2,15596.0,7.8,0.22,2012
4.0,University of Oxford,93.6,99.92,108.33,97.9,62.1,91.9,19919.0,11.6,0.34,2012
5.0,Princeton University,92.9,96.09,103.86,100.0,81,49.6,7929.0,8.4,0.27,2012
6.0,University of Cambridge,92.4,92.96,100.21,97.3,55.5,85.3,18812.0,11.8,0.34,2012
7.0,Massachusetts Institute of Technology,92.3,90.32,97.13,100.0,94.4,79.2,11074.0,9.0,0.33,2012
8.0,Imperial College London,90.7,88.03,94.45,93.9,93.1,92.2,15060.0,11.7,0.51,2012
9.0,University of Chicago,90.2,86.01,92.09,99.4,-,58.8,14221.0,6.9,0.21,2012
10.0,"University of California, Berkeley",89.8,84.2,89.98,99.4,62.5,50.4,36186.0,16.4,0.15,2012
11.0,Yale University,89.1,82.56,88.08,96.7,34.7,55.5,11751.0,4.4,0.2,2012
12.0,Columbia University,87.5,81.07,86.33,97.8,-,67.6,25055.0,5.9,0.28,2012
13.0,"University of California, Los Angeles",87.3,79.7,84.73,97.3,-,41.0,38206.0,10.3,0.15,2012
14.0,Johns Hopkins University,85.8,78.43,83.25,97.3,100,59.9,15128.0,3.6,0.23,2012
15.0,ETH Zurich – Swiss Federal Institute of Technology Zurich,85.0,77.24,81.87,87.2,-,97.5,18178.0,14.7,0.37,2012
16.0,University of Pennsylvania,84.9,76.14,80.57,97.9,41.9,34.3,20376.0,6.5,0.2,2012
17.0,University College London,83.2,75.1,79.36,89.0,41.4,91.8,26607.0,10.7,0.46,2012
18.0,University of Michigan,82.8,74.12,78.21,94.3,53.3,47.2,41786.0,9.0,0.16,2012
19.0,University of Toronto,81.6,73.19,77.13,86.5,44.9,69.0,66198.0,19.5,0.15,2012
20.0,Cornell University,80.5,72.31,76.11,93.5,-,53.4,21424.0,10.2,0.19,2012
21.0,Carnegie Mellon University,78.4,71.47,75.13,97.4,60.7,55.0,11885.0,13.1,0.35,2012
22.0,Duke University,77.4,70.67,74.2,97.4,100,46.9,15172.0,4.8,0.17,2012
23.0,University of British Columbia,77.4,69.91,73.31,85.2,40.6,88.7,50152.0,17.6,0.25,2012
24.0,Georgia Institute of Technology,77.0,69.18,72.45,91.9,99.2,65.0,19967.0,20.1,0.26,2012
25.0,University of Washington,76.5,68.48,71.64,98.2,31.8,36.9,44020.0,11.8,0.13,2012
26.0,Northwestern University,76.2,67.81,70.85,98.6,56.6,35.3,18334.0,13.8,0.15,2012
27.0,University of Wisconsin-Madison,75.8,67.16,70.1,90.6,55.3,23.8,39655.0,10.8,0.11,2012
28.0,McGill University,75.5,66.54,69.37,77.1,35.1,81.4,31326.0,13.7,0.23,2012
29.0,University of Texas at Austin,74.9,65.93,68.67,89.6,57.7,38.8,49427.0,17.4,0.09,2012
30.0,University of Tokyo,74.3,65.35,67.99,69.1,76.6,23.0,26199.0,5.7,0.1,2012
31.0,University of Illinois at Urbana-Champaign,74.2,64.79,67.33,81.5,-,50.7,42727.0,18.7,0.2,2012
32.0,Karolinska Institute,73.1,64.25,66.69,73.1,78.5,82.0,7774.0,11.5,0.22,2012
33.0,"University of California, San Diego",73.0,63.72,66.08,97.8,51.8,31.5,27233.0,6.5,0.11,2012
34.0,University of Hong Kong,72.3,63.21,65.48,60.5,64.1,83.7,19835.0,17.6,0.38,2012
35.0,"University of California, Santa Barbara",72.1,62.71,64.9,99.9,85,52.6,22020.0,27.3,0.11,2012
36.0,University of Edinburgh,72.0,62.22,64.34,92.3,41.3,79.8,25774.0,14.1,0.36,2012
37.0,University of Melbourne,71.9,61.75,63.79,80.7,44.4,82.5,40128.0,23.7,0.35,2012
38.0,Australian National University,71.2,61.3,63.25,72.6,41.7,93.8,14604.0,19.2,0.35,2012
39.0,"University of California, Davis",71.2,60.85,62.73,83.4,52.5,51.4,35364.0,13.9,0.13,2012
40.0,National University of Singapore,70.9,60.42,62.23,63.4,60.7,93.0,31592.0,15.5,0.34,2012
41.0,Washington University in St Louis,70.5,59.99,61.73,96.1,-,45.7,12528.0,5.7,0.17,2012
42.0,University of Minnesota,70.0,59.58,61.25,85.4,-,25.6,46825.0,18.0,0.13,2012
43.0,University of North Carolina at Chapel Hill,69.3,59.18,60.78,92.6,35.5,20.2,26518.0,7.3,0.08,2012
