rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1.0,California Institute of Technology,94.3,113.18,130.22,99.7,89.1,67.0,2243.0,6.9,0.27,2015
2.0,Harvard University,93.3,102.81,117.33,98.9,44,67.6,20152.0,8.9,0.25,2015
3.0,University of Oxford,93.2,96.75,109.79,95.5,72.9,90.7,19919.0,11.6,0.34,2015
4.0,Stanford University,92.9,92.45,104.44,99.1,63.1,69.0,15596.0,7.8,0.22,2015
5.0,University of Cambridge,92.0,89.11,100.29,95.2,51.1,87.8,18812.0,11.8,0.34,2015
6.0,Massachusetts Institute of Technology,91.9,86.39,96.9,100.0,95.7,84.3,11074.0,9.0,0.33,2015
7.0,Princeton University,90.9,84.08,94.03,99.6,82.7,61.2,7929.0,8.4,0.27,2015
8.0,"University of California, Berkeley",89.5,82.08,91.55,99.1,44.8,58.5,36186.0,16.4,0.15,2015
9.0,Imperial College London,87.5,80.32,89.35,89.4,72.7,92.7,15060.0,11.7,0.51,2015
10.0,Yale University,87.5,78.75,87.4,94.0,42,59.8,11751.0,4.4,0.2,2015
11.0,University of Chicago,87.1,77.32,85.62,97.3,36.8,65.2,14221.0,6.9,0.21,2015
12.0,"University of California, Los Angeles",85.5,76.02,84.0,95.3,-,49.2,38206.0,10.3,0.15,2015
13.0,ETH Zurich – Swiss Federal Institute of Technology Zurich,84.6,74.82,82.52,83.5,73.2,96.6,18178.0,14.7,0.37,2015
14.0,Columbia University,84.4,73.72,81.14,95.3,-,68.3,25055.0,5.9,0.28,2015
15.0,Johns Hopkins University,83.0,72.69,79.86,93.6,100,59.7,15128.0,3.6,0.23,2015
16.0,University of Pennsylvania,81.0,71.72,78.65,94.4,43,43.8,20376.0,6.5,0.2,2015
17.0,University of Michigan,80.9,70.81,77.53,88.9,55.7,49.8,41786.0,9.0,0.16,2015
18.0,Duke University,79.9,69.96,76.46,96.6,100,50.5,15172.0,4.8,0.17,2015
19.0,Cornell University,79.4,69.15,75.46,91.5,33.7,59.0,21424.0,10.2,0.19,2015
20.0,University of Toronto,79.3,68.38,74.51,83.0,46.1,71.2,66198.0,19.5,0.15,2015
21.0,Northwestern University,79.2,67.65,73.6,96.9,77,36.7,18334.0,13.8,0.15,2015
22.0,University College London,78.7,66.96,72.73,85.1,46.2,90.6,26607.0,10.7,0.46,2015
23.0,University of Tokyo,76.1,66.29,71.91,74.7,51.2,32.4,26199.0,5.7,0.1,2015
24.0,Carnegie Mellon University,74.3,65.66,71.11,92.0,53,59.3,11885.0,13.1,0.35,2015
25.0,National University of Singapore,73.3,65.05,70.36,66.0,53.4,94.9,31592.0,15.5,0.34,2015
26.0,University of Washington,73.2,64.46,69.63,95.0,44.7,47.9,44020.0,11.8,0.13,2015
27.0,Georgia Institute of Technology,72.8,63.9,68.92,85.8,72.3,68.9,19967.0,20.1,0.26,2015
28.0,University of Texas at Austin,72.3,63.35,68.25,91.5,58.1,33.1,49427.0,17.4,0.09,2015
29.0,LMU Munich,71.9,62.83,67.6,83.0,100,56.4,35691.0,15.5,0.13,2015
30.0,University of Illinois at Urbana-Champaign,71.9,62.32,66.96,77.8,51.7,43.9,42727.0,18.7,0.2,2015
31.0,University of Wisconsin-Madison,71.9,61.83,66.36,87.7,53.3,33.6,39655.0,10.8,0.11,2015
32.0,University of British Columbia,71.8,61.36,65.76,85.3,40.1,84.8,50152.0,17.6,0.25,2015
33.0,University of Melbourne,71.2,60.9,65.19,80.6,61.2,81.3,40128.0,23.7,0.35,2015
34.0,London School of Economics and Political Science,70.9,60.45,64.64,71.3,40.6,87.4,nan,nan,nan,2015
35.0,École Polytechnique Fédérale de Lausanne,70.9,60.02,64.1,95.0,61.9,98.8,9666.0,10.5,0.54,2015
36.0,University of Edinburgh,70.4,59.59,63.57,88.3,41.2,84.3,25774.0,14.1,0.36,2015
37.0,"University of California, Santa Barbara",70.0,59.18,63.06,99.2,87.1,64.3,22020.0,27.3,0.11,2015
38.0,New York University,69.9,58.79,62.57,89.5,30.2,41.2,42056.0,6.8,0.19,2015
39.0,McGill University,69.6,58.4,62.09,76.0,38.6,79.0,31326.0,13.7,0.23,2015
40.0,King’s College London,69.4,58.02,61.61,88.3,39,87.0,21394.0,11.4,0.37,2015
41.0,"University of California, San Diego",68.6,57.65,61.16,96.4,54.2,37.0,27233.0,6.5,0.11,2015
42.0,Washington University in St Louis,67.8,57.29,60.71,97.1,-,46.5,12528.0,5.7,0.17,2015
43.0,University of Hong Kong,67.5,56.94,60.27,65.1,56,81.9,19835.0,17.6,0.38,2015
44.0,Karolinska Institute,66.8,56.59,59.84,76.8,65.5,60.6,7774.0,11.5,0.22,2015
45.0,Australian National University,66.5,56.26,59.42,71.1,38.9,91.3,14604.0,19.2,0.35,2015
46.0,University of Minnesota,65.9,55.93,59.02,82.9,-,33.8,46825.0,18.0,0.13,2015
47.0,University of North Carolina at Chapel Hill,65.9,55.61,58.62,91.0,40.5,35.3,26518.0,7.3,0.08,2015
48.0,Peking University,65.2,55.29,58.22,63.7,100,53.7,40148.0,8.3,0.14,2015
49.0,Tsinghua University,65.1,54.98,57.84,65.0,99.7,44.6,39763.0,13.7,0.1,2015
50.0,Seoul National University,64.8,54.68,57.47,48.7,86.3,30.3,26389.0,13.9,0.1,2015
51.0,Hong Kong University of Science and Technology,64.7,54.39,57.1,72.9,57.6,77.8,11385.0,23.8,0.36,2015
52.0,Korea Advanced Institute of Science and Technology (KAIST),64.5,54.1,56.74,71.4,100,34.9,9027.0,10.0,0.09,2015
53.0,University of Manchester,64.5,53.81,56.38,74.3,39.4,82.0,34938.0,15.3,0.34,2015
54.0,Brown University,64.1,53.53,56.03,92.0,32.7,37.0,8653.0,10.1,0.19,2015
55.0,KU Leuven,63.7,53.26,55.69,71.8,99.9,62.3,42503.0,41.9,0.18,2015
56.0,"University of California, Davis",63.7,52.99,55.36,80.4,55.4,52.9,35364.0,13.9,0.13,2015
57.0,Boston University,63.6,52.72,55.03,94.4,30.3,47.8,24789.0,8.6,0.17,2015
58.0,Pennsylvania State University,62.9,52.46,54.71,76.0,60.4,37.4,44501.0,12.4,0.12,2015
59.0,Kyoto University,62.8,52.21,54.39,57.0,73.3,29.0,22809.0,5.6,0.07,2015
60.0,University of Sydney,62.7,51.96,54.07,69.0,67.3,83.6,41868.0,20.2,0.28,2015
61.0,Nanyang Technological University,62.2,51.71,53.77,75.9,100,92.5,25028.0,16.2,0.33,2015
62.0,École Polytechnique,62.2,51.47,53.46,79.9,76.8,94.5,2429.0,4.8,0.3,2015
63.0,Scuola Normale Superiore di Pisa,61.9,51.23,53.17,96.4,40.1,50.1,462.0,16.5,0.05,2015
64.0,Leiden University,61.3,50.99,52.87,82.3,47.3,59.5,21222.0,17.1,0.1,2015
65.0,The University of Queensland,61.2,50.76,52.59,74.2,66.2,80.4,34718.0,32.7,0.27,2015
