rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,20965,10.6,42%,96.4,,,99.0,74.9,96.2,2023
2,Harvard University,21887,9.6,25%,95.2,,,99.3,49.5,80.5,2023
3,University of Cambridge,20185,11.3,39%,94.8,,,97.0,54.2,95.8,2023
4,Stanford University,16164,7.1,24%,94.8,,,99.8,65.0,79.8,2023
5,Massachusetts Institute of Technology,11415,8.2,33%,94.2,,,99.8,90.9,89.3,2023
6,California Institute of Technology,2237,6.2,34%,94.1,,,97.3,89.8,83.6,2023
7,Princeton University,8279,8.0,23%,92.4,,,99.1,66.0,80.3,2023
8,"University of California, Berkeley",40921,18.4,24%,92.1,,,99.0,76.8,78.4,2023
9,Yale University,13482,5.9,21%,91.4,,,97.0,55.0,70.9,2023
10,Imperial College London,18545,11.2,61%,90.4,,,98.3,59.8,97.5,2023
11,Columbia University,21781,4.5,38%,89.4,,,97.1,44.8,79.9,2023
12,ETH Zurich,21665,14.8,41%,89.4,,,90.7,59.1,97.7,2023
13,The University of Chicago,15366,6.0,36%,88.9,,,97.7,56.2,74.2,2023
14,University of Pennsylvania,21453,6.3,23%,88.8,,,97.0,75.8,71.5,2023
15,Johns Hopkins University,17584,4.7,29%,88.3,,,97.0,89.5,75.3,2023
16,Tsinghua University,38324,11.6,10%,88.2,,,88.0,100.0,40.3,2023
17,Peking University,31994,10.3,19%,88.1,,,80.4,91.8,65.0,2023
18,University of Toronto,77468,25.8,26%,87.4,,,92.8,65.5,89.7,2023
19,National University of Singapore,32337,19.8,25%,87.1,,,90.2,87.0,94.0,2023
20,Cornell University,24027,10.3,26%,85.9,,,97.3,40.4,76.9,2023
21,"University of California, Los Angeles",42434,9.7,16%,85.8,,,95.4,58.8,65.0,2023
22,UCL,36790,10.3,60%,85.7,,,97.9,44.5,96.7,2023
23,University of Michigan-Ann Arbor,45912,8.2,17%,82.9,,,93.6,48.7,59.2,2023
24,New York University,36337,9.8,42%,82.7,,,95.0,44.6,74.7,2023
25,Duke University,16091,4.2,24%,82.6,,,95.7,99.6,68.0,2023
26,Northwestern University,19175,13.2,20%,82.1,,,97.5,85.0,67.0,2023
27,University of Washington,47727,10.8,18%,82.1,,,98.9,53.9,63.0,2023
28,Carnegie Mellon University,14305,12.9,47%,81.1,,,98.7,55.2,80.1,2023
29,University of Edinburgh,32845,11.8,47%,79.8,,,97.1,40.9,95.6,2023
30,Technical University of Munich,33960,40.6,36%,79.3,,,84.5,100.0,77.7,2023
31,University of Hong Kong,18087,18.2,43%,78.5,,,92.4,60.6,98.7,2023
32,"University of California, San Diego",37030,11.3,28%,78.1,,,98.2,93.0,67.8,2023
33,LMU Munich,35003,34.2,19%,77.7,,,87.4,100.0,70.5,2023
34,University of Melbourne,49588,23.8,47%,77.6,,,85.8,78.1,93.6,2023
35,King’s College London,28965,11.8,52%,77.1,,,98.2,45.6,96.1,2023
36,"Nanyang Technological University, Singapore",24651,15.1,25%,77.0,,,87.2,84.5,94.5,2023
37,London School of Economics and Political Science,11120,11.9,73%,76.5,,,95.1,37.8,92.8,2023
38,Georgia Institute of Technology,28826,24.7,40%,76.0,,,91.4,64.9,81.2,2023
39,The University of Tokyo,26112,10.5,15%,75.9,,,55.5,86.7,43.3,2023
40,University of British Columbia,56452,18.9,34%,75.7,,,88.8,47.9,94.8,2023
41,École Polytechnique Fédérale de Lausanne,11641,12.3,62%,75.4,,,84.5,71.7,98.0,2023
42,KU Leuven,47663,36.5,18%,74.6,,,86.7,99.2,76.8,2023
43,Universität Heidelberg,19347,13.5,21%,74.1,,,96.0,55.7,71.2,2023
44,Monash University,58725,42.5,41%,73.6,,,90.4,78.4,91.0,2023
45,Chinese University of Hong Kong,18468,19.0,21%,73.2,,,95.7,60.9,92.5,2023
46,McGill University,32309,12.5,30%,73.0,,,82.5,43.5,91.0,2023
47,Paris Sciences et Lettres – PSL Research University Paris,16218,15.0,22%,72.9,,,75.5,78.8,76.3,2023
48,University of Illinois at Urbana-Champaign,48674,17.4,22%,72.7,,,78.1,50.1,56.2,2023
49,Karolinska Institute,8021,9.9,27%,72.4,,,94.0,66.4,87.3,2023
50,University of Texas at Austin,49171,17.4,10%,72.3,,,87.5,51.3,40.1,2023
51,Fudan University,36318,11.9,9%,72.0,,,74.5,77.3,45.2,2023
52,Shanghai Jiao Tong University,37478,11.5,8%,71.2,,,59.9,100.0,43.7,2023
53,The University of Queensland,41372,34.2,41%,71.1,,,84.3,82.0,93.2,2023
54,University of Manchester,37035,14.2,44%,70.9,,,91.3,45.3,92.7,2023
55,The University of Sydney,45853,19.0,45%,70.9,,,88.5,73.2,90.6,2023
56,Seoul National University,26209,15.1,10%,70.8,,,67.6,96.6,35.9,2023
57,Washington University in St Louis,14420,7.8,24%,70.6,,,98.2,47.5,64.0,2023
58,The Hong Kong University of Science and Technology,9864,21.0,32%,70.5,,,87.7,95.0,97.7,2023
59,Wageningen University & Research,15404,18.6,27%,70.3,,,93.2,100.0,88.8,2023
60,University of Amsterdam,29157,14.5,32%,69.6,,,93.3,44.4,91.9,2023
61,Brown University,10037,10.1,21%,69.3,,,89.5,39.0,63.3,2023
62,Australian National University,16758,14.6,51%,69.0,,,81.8,45.6,96.0,2023
63,"University of California, Davis",37639,13.1,18%,68.5,,,80.9,52.4,68.7,2023
64,"University of California, Santa Barbara",25860,28.5,20%,68.4,,,96.2,80.1,76.0,2023
65,University of Southern California,40549,12.6,22%,68.3,,,90.4,43.8,63.7,2023
66,Utrecht University,32532,17.1,13%,68.2,,,91.2,72.7,78.8,2023
67,Zhejiang University,46124,12.0,16%,68.1,,,62.8,100.0,55.1,2023
68,Kyoto University,22269,9.2,12%,68.0,,,52.3,88.6,40.5,2023
69,University of North Carolina at Chapel Hill,31080,7.9,8%,67.8,,,93.3,46.0,41.7,2023
70,Delft University of Technology,20299,16.1,31%,67.7,,,59.1,93.4,94.2,2023
71,Boston University,27243,10.8,31%,67.5,,,92.9,41.1,65.9,2023
72,UNSW Sydney,45133,36.3,40%,67.5,,,85.9,63.5,95.1,2023
73,Charité - Universitätsmedizin Berlin,8429,18.0,21%,67.2,,,98.8,87.1,69.3,2023
74,University of Science and Technology of China,18573,8.1,6%,67.1,,,78.8,69.4,36.9,2023
75,University of Groningen,30009,24.4,28%,66.6,,,90.4,75.8,89.8,2023
76,University of Bristol,25680,14.6,31%,66.5,,,98.6,43.5,89.4,2023
77,Leiden University,33648,19.3,20%,66.4,,,86.6,68.4,85.4,2023
78,Yonsei University (Seoul campus),19481,14.7,17%,66.3,,,63.9,94.8,52.8,2023
79,Hong Kong Polytechnic University,19046,28.9,30%,65.8,,,86.7,56.0,97.6,2023
80,Erasmus University Rotterdam,31668,33.9,22%,65.7,,,95.6,64.4,89.7,2023
81,University of Wisconsin-Madison,40701,10.0,14%,65.5,,,78.7,48.4,51.8,2023
82,Emory University,13190,4.2,20%,65.3,,,98.0,48.6,59.8,2023
83,University of Glasgow,28540,13.5,41%,65.3,,,96.5,41.9,93.8,2023
84,University of Zurich,25003,13.7,22%,65.3,,,87.5,57.6,93.0,2023
85,McMaster University,26403,29.0,20%,65.1,,,94.6,89.9,84.7,2023
86,Humboldt University of Berlin,34399,53.2,17%,64.9,,,75.6,42.8,70.5,2023
87,University of Tübingen,20620,27.5,13%,64.9,,,84.5,79.9,64.1,2023
88,University of Adelaide,23102,32.8,32%,64.7,,,92.2,65.3,93.6,2023
89,University of Bonn,27210,47.5,17%,64.6,,,86.0,55.0,68.7,2023
90,Sorbonne University,41443,13.9,21%,64.5,,,76.6,40.0,72.3,2023
91,Free University of Berlin,26497,41.9,23%,64.2,,,74.8,41.7,76.4,2023
92,Korea Advanced Institute of Science and Technology (KAIST),9946,10.7,9%,64.2,,,65.7,100.0,38.2,2023
