rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1.0,California Institute of Technology,95.2,109.21,132.68,99.8,97.8,64.0,2243.0,6.9,0.27,2016
2.0,University of Oxford,94.2,99.75,119.94,98.8,73.1,94.4,19919.0,11.6,0.34,2016
3.0,Stanford University,93.9,94.22,112.49,99.9,63.3,76.3,15596.0,7.8,0.22,2016
4.0,University of Cambridge,92.8,90.29,107.21,97.0,55,91.5,18812.0,11.8,0.34,2016
5.0,Massachusetts Institute of Technology,92.0,87.25,103.11,99.7,95.4,84.0,11074.0,9.0,0.33,2016
6.0,Harvard University,91.6,84.76,99.76,99.8,45.2,77.2,20152.0,8.9,0.25,2016
7.0,Princeton University,90.1,82.66,96.92,99.3,52.1,78.5,7929.0,8.4,0.27,2016
8.0,Imperial College London,89.1,80.84,94.47,96.7,53.7,96.0,15060.0,11.7,0.51,2016
9.0,ETH Zurich – Swiss Federal Institute of Technology Zurich,88.3,79.23,92.31,91.1,80,97.9,18178.0,14.7,0.37,2016
10.0,University of Chicago,87.9,77.79,90.37,99.2,36.6,65.0,14221.0,6.9,0.21,2016
11.0,Johns Hopkins University,87.6,76.49,88.62,98.2,100,70.0,15128.0,3.6,0.23,2016
12.0,Yale University,87.4,75.31,87.02,97.2,43.3,64.3,11751.0,4.4,0.2,2016
13.0,"University of California, Berkeley",87.2,74.21,85.55,99.7,47.9,61.9,36186.0,16.4,0.15,2016
14.0,University College London,87.1,73.2,84.19,94.2,40.5,94.4,26607.0,10.7,0.46,2016
15.0,Columbia University,86.1,72.26,82.92,98.1,-,73.5,25055.0,5.9,0.28,2016
16.0,"University of California, Los Angeles",85.8,71.38,81.73,98.5,47.9,56.4,38206.0,10.3,0.15,2016
17.0,University of Pennsylvania,85.2,70.56,80.62,98.6,47.9,49.5,20376.0,6.5,0.2,2016
18.0,Cornell University,84.0,69.78,79.57,97.2,33.7,63.9,21424.0,10.2,0.19,2016
19.0,University of Toronto,83.9,69.04,78.58,90.9,49.1,77.8,66198.0,19.5,0.15,2016
20.0,Duke University,82.7,68.34,77.63,99.0,100,56.5,15172.0,4.8,0.17,2016
21.0,University of Michigan,82.4,67.67,76.74,94.4,56.3,53.7,41786.0,9.0,0.16,2016
22.0,Carnegie Mellon University,82.3,67.04,75.88,99.1,57.5,57.1,11885.0,13.1,0.35,2016
23.0,London School of Economics and Political Science,81.3,66.43,75.07,94.3,32.2,93.6,nan,nan,nan,2016
24.0,University of Edinburgh,80.3,65.85,74.28,96.3,36.1,89.8,25774.0,14.1,0.36,2016
25.0,Northwestern University,79.5,65.29,73.53,96.5,81.2,53.9,18334.0,13.8,0.15,2016
26.0,National University of Singapore,79.2,64.76,72.81,79.4,49.8,96.2,31592.0,15.5,0.34,2016
27.0,King’s College London,78.2,64.24,72.12,93.8,40.1,93.8,21394.0,11.4,0.37,2016
28.0,Karolinska Institute,77.5,63.75,71.45,92.2,75.8,73.1,7774.0,11.5,0.22,2016
29.0,LMU Munich,77.3,63.27,70.81,85.7,100,62.8,35691.0,15.5,0.13,2016
30.0,New York University,77.2,62.81,70.18,95.3,30.4,49.3,42056.0,6.8,0.19,2016
31.0,École Polytechnique Fédérale de Lausanne,76.1,62.36,69.58,94.6,65.4,98.6,9666.0,10.5,0.54,2016
32.0,University of Washington,75.6,61.93,69.0,98.6,43.1,51.2,44020.0,11.8,0.13,2016
33.0,University of Melbourne,75.4,61.51,68.43,86.6,64.6,87.1,40128.0,23.7,0.35,2016
34.0,University of British Columbia,75.3,61.1,67.88,91.5,42.6,90.5,50152.0,17.6,0.25,2016
35.0,KU Leuven,74.8,60.7,67.35,87.3,100,68.6,42503.0,41.9,0.18,2016
36.0,University of Illinois at Urbana-Champaign,74.5,60.32,66.83,86.8,52.8,45.8,42727.0,18.7,0.2,2016
37.0,Heidelberg University,74.4,59.95,66.33,88.2,68.2,62.8,28881.0,24.5,0.17,2016
38.0,McGill University,72.6,59.58,65.84,78.9,40.3,85.5,31326.0,13.7,0.23,2016
39.0,"University of California, San Diego",72.2,59.23,65.36,98.7,56.7,42.9,27233.0,6.5,0.11,2016
40.0,"University of California, Santa Barbara",72.2,58.88,64.9,99.2,90.4,61.5,22020.0,27.3,0.11,2016
41.0,Georgia Institute of Technology,72.1,58.55,64.44,86.0,73.7,71.5,19967.0,20.1,0.26,2016
42.0,Peking University,72.0,58.22,64.0,69.1,100,49.2,40148.0,8.3,0.14,2016
43.0,University of Tokyo,71.1,57.9,63.57,60.9,50.8,30.3,26199.0,5.7,0.1,2016
44.0,"University of California, Davis",71.0,57.58,63.15,84.3,57.3,58.4,35364.0,13.9,0.13,2016
45.0,University of Hong Kong,71.0,57.28,62.73,70.1,53.7,99.5,19835.0,17.6,0.38,2016
46.0,University of Texas at Austin,70.3,56.98,62.33,92.2,63.1,31.7,49427.0,17.4,0.09,2016
47.0,Tsinghua University,70.0,56.68,61.93,58.8,100,39.5,39763.0,13.7,0.1,2016
48.0,Wageningen University and Research Center,70.0,56.4,61.55,87.8,100,70.3,9248.0,17.0,0.21,2016
49.0,Humboldt University of Berlin,69.9,56.11,61.17,73.6,36.1,62.6,29987.0,52.5,0.16,2016
50.0,University of Wisconsin-Madison,69.7,55.84,60.8,86.6,48.5,33.0,39655.0,10.8,0.11,2016
51.0,Brown University,69.6,55.57,60.43,96.4,31.4,57.8,8653.0,10.1,0.19,2016
52.0,Australian National University,69.5,55.3,60.08,72.3,48,93.3,14604.0,19.2,0.35,2016
53.0,Technical University of Munich,69.4,55.04,59.73,80.1,99.2,63.8,35565.0,31.5,0.2,2016
54.0,École Normale Supérieure,69.0,54.79,59.38,87.1,37.1,85.5,2400.0,7.9,0.2,2016
55.0,Nanyang Technological University,68.2,54.54,59.05,85.6,99.9,94.6,25028.0,16.2,0.33,2016
56.0,University of Manchester,68.1,54.29,58.71,77.3,42,87.0,34938.0,15.3,0.34,2016
57.0,University of Sydney,68.1,54.05,58.39,77.5,72.4,84.4,41868.0,20.2,0.28,2016
58.0,University of Amsterdam,67.8,53.81,58.07,87.4,62.8,66.5,24570.0,14.4,0.11,2016
59.0,Hong Kong University of Science and Technology,67.2,53.58,57.76,82.6,68.1,80.5,11385.0,23.8,0.36,2016
60.0,The University of Queensland,67.0,53.35,57.45,82.4,76.7,89.3,34718.0,32.7,0.27,2016
61.0,Washington University in St Louis,67.0,53.13,57.14,99.2,33.5,44.9,12528.0,5.7,0.17,2016
62.0,Utrecht University,66.6,52.9,56.84,88.1,89.1,55.8,30779.0,15.4,0.07,2016
63.0,University of North Carolina at Chapel Hill,66.4,52.69,56.55,95.9,39.4,39.0,26518.0,7.3,0.08,2016
64.0,Boston University,66.1,52.47,56.26,97.7,30.3,51.0,24789.0,8.6,0.17,2016
65.0,Delft University of Technology,65.9,52.26,55.98,61.5,100,84.0,15920.0,19.4,0.25,2016
66.0,University of Minnesota,65.9,52.05,55.7,88.0,98.5,35.3,46825.0,18.0,0.13,2016
67.0,Leiden University,65.7,51.85,55.42,85.2,49.8,64.3,21222.0,17.1,0.1,2016
68.0,University of Southern California,65.5,51.64,55.15,93.0,38,56.3,36534.0,12.9,0.2,2016
69.0,University of Bristol,64.3,51.44,54.88,91.2,40,82.4,17906.0,14.0,0.25,2016
70.0,Durham University,63.6,51.25,54.61,87.7,34.4,86.4,15489.0,15.7,0.24,2016
71.0,Erasmus University Rotterdam,63.5,51.05,54.35,95.6,54.6,76.1,20580.0,18.9,0.18,2016
72.0,Free University of Berlin,63.2,50.86,54.1,60.2,35.1,69.2,33062.0,39.3,0.2,2016
73.0,Monash University,62.5,50.68,53.84,73.3,79.7,87.6,50882.0,40.5,0.36,2016
74.0,University of Groningen,62.4,50.49,53.59,84.0,92.4,63.9,24556.0,25.6,0.12,2016
75.0,Pennsylvania State University,62.3,50.31,53.35,80.5,56.2,40.8,44501.0,12.4,0.12,2016
76.0,University of Glasgow,61.9,50.13,53.1,92.3,31.6,85.8,22616.0,16.0,0.29,2016
77.0,University of Helsinki,61.9,49.95,52.86,82.1,31.6,51.8,23505.0,15.1,0.06,2016
78.0,University of Tübingen,61.7,49.77,52.63,79.3,59.2,58.2,28327.0,38.9,0.12,2016
79.0,University of Pittsburgh,61.5,49.6,52.39,92.3,39.3,33.9,26485.0,5.8,0.1,2016
80.0,University of Warwick,61.3,49.43,52.16,78.2,37.7,90.3,18529.0,16.6,0.37,2016
81.0,Uppsala University,61.2,49.26,51.93,80.9,39.5,59.6,25266.0,18.2,0.12,2016
82.0,University of Copenhagen,61.0,49.09,51.71,86.2,45,83.3,27545.0,4.1,0.19,2016
83.0,University of New South Wales,61.0,48.92,51.48,82.1,50,89.5,38309.0,25.9,0.33,2016
84.0,University of Freiburg,60.7,48.76,51.26,80.5,100,60.3,26467.0,31.2,0.16,2016
85.0,Seoul National University,60.5,48.6,51.05,50.0,85.4,30.9,26389.0,13.9,0.1,2016
86.0,University of St Andrews,60.4,48.44,50.83,78.8,30.6,92.3,8338.0,12.7,0.47,2016
87.0,Vanderbilt University,60.1,48.28,50.62,95.7,63.2,29.1,12161.0,3.6,0.1,2016
88.0,Kyoto University,59.9,48.13,50.41,46.6,79,26.1,22809.0,5.6,0.07,2016
89.0,Maastricht University,59.9,47.97,50.2,82.7,95.4,95.5,15626.0,18.9,0.48,2016
90.0,Emory University,59.7,47.82,50.0,96.7,48.9,51.0,12338.0,4.5,0.18,2016
91.0,Lund University,59.7,47.67,49.79,81.3,70.4,74.1,28251.0,11.5,0.15,2016
92.0,Ohio State University,59.7,47.52,49.59,83.2,53.1,53.0,51462.0,13.4,0.12,2016
93.0,University of Exeter,59.5,47.37,49.39,94.3,31.9,87.3,17755.0,18.8,0.28,2016
94.0,University of Bonn,58.8,47.23,49.2,85.3,-,63.6,32474.0,70.4,0.13,2016
95.0,Georgetown University,58.8,47.08,49.0,82.5,80.7,52.7,15408.0,8.5,0.14,2016
96.0,McMaster University,58.8,46.94,48.81,84.9,88,76.1,23823.0,19.3,0.15,2016
97.0,University of Sheffield,58.6,46.8,48.62,80.1,43.4,81.9,23311.0,15.5,0.31,2016
98.0,Queen Mary University of London,58.5,46.66,48.43,93.3,36.8,93.5,14260.0,14.0,0.4,2016
99.0,University of Göttingen,58.0,46.52,48.25,72.7,31.8,56.4,25581.0,25.6,0.12,2016
100.0,Michigan State University,58.0,46.38,48.06,76.8,32.2,56.4,44750.0,15.7,0.15,2016
101.0,University of Basel,57.9,46.25,47.88,88.3,99.9,94.7,12551.0,17.3,0.24,2016
102.0,École Polytechnique,57.9,46.11,47.7,64.7,82.3,92.8,2429.0,4.8,0.3,2016
103.0,Rice University,57.9,45.98,47.52,99.7,41.7,66.6,6333.0,9.0,0.26,2016
104.0,Dartmouth College,57.8,45.85,47.34,93.3,40.8,38.3,6178.0,6.6,0.16,2016
105.0,University of Zurich,57.8,45.72,47.16,85.4,44,90.4,26583.0,6.5,0.19,2016
106.0,Aarhus University,57.7,45.59,46.99,79.8,68.3,76.8,23895.0,13.6,0.14,2016
107.0,"University of California, Irvine",57.7,45.46,46.82,91.6,48.9,59.2,26614.0,16.1,0.16,2016
108.0,University of Mannheim,57.7,45.33,46.65,86.9,85.3,64.6,11761.0,85.8,0.15,2016
109.0,University of Notre Dame,57.6,45.21,46.48,81.7,33.7,47.6,11829.0,13.8,0.1,2016
110.0,University of Western Australia,57.5,45.08,46.31,83.6,64.5,92.6,20851.0,20.7,0.27,2016
111.0,RWTH Aachen University,57.2,44.96,46.14,63.2,98.1,54.1,37917.0,27.6,0.16,2016
112.0,University of Southampton,57.2,44.84,45.98,82.0,37.5,88.4,20925.0,13.5,0.29,2016
113.0,Scuola Normale Superiore di Pisa,57.1,44.72,45.81,67.2,52,46.3,462.0,16.5,0.05,2016
114.0,University of Montreal,57.0,44.59,45.65,69.6,92.6,84.2,38264.0,20.3,0.25,2016
115.0,Pierre and Marie Curie University,57.0,44.48,45.49,82.9,37.4,74.1,27862.0,8.7,0.18,2016
116.0,Purdue University,57.0,44.36,45.33,63.2,-,66.4,39256.0,18.1,0.22,2016
117.0,Pohang University of Science and Technology,56.9,44.24,45.18,76.7,100,33.7,3055.0,10.1,0.04,2016
118.0,"University of Maryland, College Park",56.7,44.12,45.02,88.2,32.3,43.5,31331.0,8.4,0.09,2016
119.0,Ghent University,56.6,44.01,44.86,71.2,88.3,54.2,32166.0,34.1,0.09,2016
120.0,University of Birmingham,56.2,43.9,44.71,82.7,34.7,82.0,25295.0,16.4,0.23,2016
121.0,University of Bern,56.1,43.78,44.56,76.6,82.9,83.7,14708.0,22.5,0.14,2016
122.0,University of Cape Town,56.1,43.67,44.41,85.6,92.7,80.2,20040.0,12.1,0.18,2016
123.0,University of Florida,56.1,43.56,44.26,67.7,-,33.3,50095.0,18.7,0.09,2016
124.0,University of Erlangen-Nuremberg,56.0,43.45,44.11,75.2,99.4,47.0,36146.0,53.9,0.09,2016
125.0,"Rutgers, the State University of New Jersey",56.0,43.34,43.96,75.4,35.9,34.7,37032.0,17.3,0.08,2016
126.0,University of Münster,55.9,43.23,43.81,85.6,58.2,46.3,39838.0,46.1,0.08,2016
127.0,Radboud University Nijmegen,55.9,43.12,43.67,84.9,39.2,60.9,17713.0,13.0,0.1,2016
128.0,University of Colorado Boulder,55.8,43.01,43.52,96.4,35.7,36.6,29325.0,16.1,0.08,2016
129.0,Tufts University,55.8,42.91,43.38,90.1,60.7,49.4,10410.0,10.0,0.14,2016
130.0,"Royal Holloway, University of London",55.7,42.8,43.24,91.2,34.4,92.7,8747.0,15.9,0.37,2016
131.0,Lancaster University,55.6,42.7,43.1,85.3,33.6,87.0,11512.0,14.9,0.33,2016
132.0,University of Geneva,55.4,42.59,42.96,78.5,72.4,98.5,15668.0,15.0,0.39,2016
133.0,University of York,55.4,42.49,42.82,73.1,31.1,83.5,nan,nan,nan,2016
134.0,Case Western Reserve University,55.3,42.39,42.68,92.0,34.1,40.5,9259.0,6.4,0.17,2016
135.0,University of Leeds,55.3,42.29,42.55,79.2,36.7,77.4,27703.0,14.7,0.21,2016
136.0,University of Oslo,55.1,42.19,42.41,75.5,38.3,68.2,27139.0,18.8,0.18,2016
137.0,Stockholm University,54.8,42.09,42.28,82.5,31.1,48.5,31715.0,23.7,0.08,2016
138.0,University of Alberta,54.7,41.99,42.14,63.6,47.4,80.7,36299.0,21.6,0.23,2016
139.0,Chinese University of Hong Kong,54.5,41.89,42.01,68.4,37.5,81.1,17916.0,10.2,0.22,2016
140.0,Karlsruhe Institute of Technology,54.5,41.79,41.88,73.8,99.5,56.7,25294.0,24.6,0.16,2016
141.0,University of Sussex,54.4,41.7,41.75,86.1,30.6,88.3,12001.0,17.4,0.35,2016
142.0,University of Massachusetts,54.3,41.6,41.62,88.1,52.2,48.9,56959.0,13.0,0.11,2016
143.0,University of Vienna,54.2,41.5,41.49,63.6,30.2,92.6,34651.0,20.5,0.25,2016
144.0,University of Nottingham,54.1,41.41,41.36,77.5,39.8,80.6,30144.0,15.0,0.27,2016
145.0,"University of California, Santa Cruz",53.9,41.31,41.23,99.9,36.1,45.6,17404.0,22.7,0.01,2016
146.0,University of Lausanne,53.9,41.22,41.11,76.2,56,89.2,11964.0,13.1,0.22,2016
147.0,Autonomous University of Barcelona,53.8,41.13,40.98,83.8,34.9,50.3,30538.0,12.3,0.1,2016
148.0,University of Virginia,53.3,41.03,40.86,87.3,37.9,43.4,23845.0,10.2,0.12,2016
149.0,Korea Advanced Institute of Science and Technology (KAIST),53.0,40.94,40.73,75.9,100,33.9,9027.0,10.0,0.09,2016
150.0,University of Adelaide,52.9,40.85,40.61,72.4,79.3,85.1,20771.0,30.1,0.26,2016
151.0,University of East Anglia,52.9,40.76,40.49,92.7,28.5,83.5,14992.0,14.7,0.28,2016
152.0,University of Twente,52.9,40.67,40.37,68.8,91.2,80.1,6631.0,12.0,0.26,2016
153.0,Sungkyunkwan University (SKKU),52.8,40.58,40.25,53.8,97.5,36.7,24365.0,20.3,0.09,2016
