rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun,year
1001+,Meiji University,"33,449",11.7,5%,10.3–25.0,19.0,8.4,11.0,34.9,27.2,2021.0,
1001+,Meijo University,"15,437",31.8,1%,10.3–25.0,17.0,10.5,13.5,34.5,27.3,2021.0,
1001+,Mendel University in Brno,"8,459",17.7,19%,10.3–25.0,18.0,16.5,8.1,35.1,45.9,2021.0,
1001+,Menoufia University,"94,466",36.6,1%,10.3–25.0,15.0,7.9,32.9,35.2,36.8,2021.0,
1001+,M’Hamed Bougara University of Boumerdès,"31,889",21.6,1%,10.3–25.0,15.0,7.2,13.2,33.4,29.3,2021.0,
1001+,Universidad Michoacana de San Nicolás de Hidalgo,"39,861",28.7,1%,10.3–25.0,15.0,9.9,9.6,34.3,29.3,2021.0,
1001+,Mie University,"7,247",8.6,4%,10.3–25.0,22.0,10.5,17.0,42.4,23.7,2021.0,
1001+,Ming Chuan University,"18,423",22.4,9%,10.3–25.0,15.0,11.9,12.7,34.1,29.1,2021.0,
1001+,Minia University,"72,328",18.5,1%,10.3–25.0,15.0,7.3,30.5,33.5,44.9,2021.0,
1001+,University of Miskolc,"9,322",18.0,4%,10.3–25.0,15.0,8.9,14.4,34.9,28.7,2021.0,
1001+,University of Miyazaki,"5,524",7.7,3%,10.3–25.0,22.0,10.2,21.1,36.1,23.7,2021.0,
1001+,Mohammed V University of Rabat,"83,521",33.4,5%,10.3–25.0,27.0,10.3,14.8,41.6,27.9,2021.0,
1001+,University of Monastir,"18,876",9.4,1%,10.3–25.0,19.0,9.0,16.5,33.4,43.5,2021.0,
1001+,University of Montenegro,"18,275",26.4,2%,10.3–25.0,13.0,10.4,13.8,33.4,44.5,2021.0,
1001+,Morgan State University,"7,120",13.8,13%,10.3–25.0,18.0,10.0,35.7,33.4,48.7,2021.0,
1001+,Multimedia University,"9,519",11.6,8%,10.3–25.0,18.0,9.5,20.3,36.9,37.2,2021.0,
1001+,University of Mumbai,"12,167",22.2,0%,10.3–25.0,27.0,24.8,14.1,35.0,15.2,2021.0,
1001+,University of Murcia,"27,120",15.7,8%,10.3–25.0,19.0,14.9,35.3,35.5,42.0,2021.0,
1001+,Muroran Institute of Technology,"3,334",18.4,4%,10.3–25.0,16.0,9.9,38.6,38.7,32.1,2021.0,
1001+,University of Mysore,"7,950",21.5,10%,10.3–25.0,31.0,8.3,11.4,33.8,32.9,2021.0,
1001+,Universidad Nacional del Litoral,"45,401",30.2,0%,10.3–25.0,13.0,8.4,16.1,34.7,27.1,2021.0,
1001+,Nagaoka University of Technology,"2,301",11.2,12%,10.3–25.0,23.0,14.8,9.7,44.0,33.6,2021.0,
1001+,Nagasaki University,"9,090",7.1,4%,10.3–25.0,26.0,14.7,24.4,40.5,30.6,2021.0,
1001+,Nagoya City University,"4,412",7.4,2%,10.3–25.0,25.0,15.5,25.2,45.0,19.4,2021.0,
1001+,Nagoya Institute of Technology,"5,711",16.3,4%,10.3–25.0,18.0,19.1,10.6,49.4,24.0,2021.0,
1001+,Nanjing University of Aeronautics and Astronautics,"29,583",16.3,3%,10.3–25.0,21.0,22.4,21.1,76.9,19.7,2021.0,
1001+,Nara Medical University,"1,252",3.4,1%,10.3–25.0,27.0,11.0,27.6,42.2,15.8,2021.0,
1001+,Naresuan University,"22,184",15.1,1%,10.3–25.0,18.0,8.2,14.1,42.8,35.9,2021.0,
1001+,National Changhua University of Education,"8,333",22.6,4%,10.3–25.0,20.0,19.3,9.8,36.8,21.4,2021.0,
1001+,National Chiayi University,"12,143",24.2,3%,10.3–25.0,16.0,12.1,10.0,65.7,18.3,2021.0,
1001+,National Chi Nan University,"6,143",15.6,12%,10.3–25.0,18.0,15.4,5.5,48.0,31.1,2021.0,
1001+,National Chin-Yi University of Technology,"7,316",24.1,5%,10.3–25.0,15.0,22.8,5.9,46.4,20.0,2021.0,
1001+,National Chung Cheng University,"10,195",15.1,5%,10.3–25.0,20.0,19.5,13.9,38.6,22.8,2021.0,
1001+,National Chung Hsing University,"15,184",16.6,7%,10.3–25.0,23.0,21.1,20.5,50.1,27.9,2021.0,
1001+,National University of Colombia,"52,166",22.0,1%,10.3–25.0,19.0,14.3,35.2,33.9,36.3,2021.0,
1001+,National University of Córdoba,"80,219",12.9,2%,10.3–25.0,19.0,9.5,20.1,33.9,34.7,2021.0,
1001+,National University of Cuyo,"38,253",7.9,3%,10.3–25.0,20.0,7.3,24.7,33.4,38.7,2021.0,
1001+,National Ilan University,"5,470",23.3,3%,10.3–25.0,15.0,11.8,16.9,34.2,32.4,2021.0,
1001+,"National Institute of Technology, Tiruchirappalli","5,848",17.3,8%,10.3–25.0,23.0,14.5,36.9,36.9,22.5,2021.0,
1001+,National University of Kaohsiung,"5,565",23.3,4%,10.3–25.0,14.0,15.0,6.0,38.4,26.7,2021.0,
1001+,National University of San Martín,"15,841",15.8,5%,10.3–25.0,17.0,9.8,28.6,34.0,40.5,2021.0,
1001+,National Taipei University,"8,636",16.5,4%,10.3–25.0,20.0,14.1,23.0,34.4,27.2,2021.0,
1001+,National Taiwan Ocean University,"8,655",21.5,9%,10.3–25.0,19.0,22.2,18.5,53.8,31.2,2021.0,
1001+,National Technical University Kharkiv Polytechnic Institute,"12,141",8.0,9%,10.3–25.0,21.0,7.8,9.4,34.0,26.4,2021.0,
1001+,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,"21,072",10.4,3%,10.3–25.0,19.0,8.6,10.7,33.4,21.0,2021.0,
1001+,National Yunlin University of Science and Technology,"9,200",25.2,5%,10.3–25.0,21.0,27.6,8.0,99.4,21.3,2021.0,
1001+,Nicolaus Copernicus University in Toruń,"21,990",11.3,3%,10.3–25.0,20.0,11.7,22.5,34.7,27.2,2021.0,
1001+,University of Nigeria Nsukka,"42,785",14.6,1%,10.3–25.0,23.0,8.9,22.1,34.2,27.2,2021.0,
1001+,Slovak University of Agriculture in Nitra,"5,707",12.8,3%,10.3–25.0,19.0,9.7,10.4,35.4,39.5,2021.0,
1001+,University of North Carolina Wilmington,"14,865",18.8,2%,10.3–25.0,16.0,8.2,28.1,34.4,27.5,2021.0,
1001+,North China Electric Power University,"36,362",18.3,3%,10.3–25.0,18.0,12.8,30.9,55.8,17.6,2021.0,
1001+,"University of the North, Colombia","14,861",20.4,4%,10.3–25.0,15.0,10.7,21.5,35.1,52.6,2021.0,
1001+,Northwest University,"23,351",13.4,5%,10.3–25.0,20.0,11.8,37.6,40.7,23.9,2021.0,
1001+,University of Novi Sad,"48,101",14.9,3%,10.3–25.0,16.0,9.5,13.6,35.6,34.0,2021.0,
1001+,Oakland University,"15,441",18.1,4%,10.3–25.0,27.0,13.9,27.5,33.8,30.8,2021.0,
1001+,Obafemi Awolowo University,"29,423",23.5,0%,10.3–25.0,18.0,9.3,13.7,36.3,33.3,2021.0,
1001+,Ochanomizu University,"2,802",14.8,5%,10.3–25.0,24.0,12.6,10.6,37.4,24.1,2021.0,
1001+,Oita University,"5,645",9.0,1%,10.3–25.0,20.0,9.4,27.4,37.1,18.8,2021.0,
1001+,Ondokuz Mayis University,"37,333",28.1,10%,10.3–25.0,16.0,8.8,7.9,37.2,27.5,2021.0,
1001+,Osaka City University,"8,019",8.7,3%,10.3–25.0,26.0,14.4,28.2,41.5,24.7,2021.0,
1001+,Osaka Institute of Technology,"7,120",26.1,1%,10.3–25.0,15.0,10.9,22.0,36.0,22.0,2021.0,
1001+,Osaka Medical College,"1,224",2.7,1%,10.3–25.0,28.0,10.2,14.7,35.9,16.1,2021.0,
1001+,Osaka Prefecture University,"7,710",12.2,4%,10.3–25.0,22.0,16.5,16.1,42.2,21.7,2021.0,
1001+,University of Ostrava,"8,796",17.7,9%,10.3–25.0,17.0,14.4,24.9,33.5,40.7,2021.0,
1001+,Universitas Padjadjaran,"42,928",15.3,1%,10.3–25.0,23.0,8.6,14.5,40.5,22.0,2021.0,
1001+,University of Pardubice,"6,961",13.1,8%,10.3–25.0,19.0,16.4,7.4,34.5,29.6,2021.0,
1001+,Paris Nanterre University,"32,742",35.6,17%,10.3–25.0,23.0,18.2,12.8,33.6,51.2,2021.0,
1001+,University of Patras,"25,636",27.3,5%,10.3–25.0,17.0,12.3,39.9,39.2,37.8,2021.0,
1001+,Pavol Jozef Šafárik University in Košice,"6,802",10.1,22%,10.3–25.0,39.0,9.5,16.0,33.5,63.9,2021.0,
1001+,PMAS Arid Agriculture University Rawalpindi,"12,023",48.3,0%,10.3–25.0,15.0,9.3,23.2,33.3,38.3,2021.0,
1001+,Polytechnic Institute of Porto,"18,259",16.8,6%,10.3–25.0,14.0,9.4,44.6,33.5,34.9,2021.0,
1001+,Polytechnic University of Bucharest,"29,699",23.1,3%,10.3–25.0,16.0,11.1,11.8,33.9,21.3,2021.0,
1001+,Polytechnic University of Timişoara,"12,762",20.6,2%,10.3–25.0,15.0,8.2,13.8,34.3,19.3,2021.0,
1001+,Pondicherry University,"6,940",20.1,1%,10.3–25.0,37.0,20.3,16.7,33.4,14.8,2021.0,
1001+,Pontifical Catholic University of Minas Gerais,"65,117",39.5,0%,10.3–25.0,15.0,8.3,7.0,33.7,20.7,2021.0,
1001+,Pontifical Catholic University of Peru,"25,807",7.4,2%,10.3–25.0,21.0,8.9,36.6,34.7,45.4,2021.0,
1001+,Pontifical Catholic University of Valparaíso,"16,511",24.1,1%,10.3–25.0,17.0,16.0,17.2,47.4,48.9,2021.0,
1001+,Universidad Pontificia Bolivariana (UPB),"15,400",14.0,2%,10.3–25.0,17.0,9.2,7.9,33.7,37.3,2021.0,
1001+,Pontifícia Universidade Católica do Paraná,"16,353",18.1,1%,10.3–25.0,19.0,11.3,30.9,36.3,27.8,2021.0,
1001+,Port Said University,"22,163",27.7,0%,10.3–25.0,14.0,7.2,19.6,33.4,42.3,2021.0,
1001+,Prince of Songkla University,"37,788",15.6,2%,10.3–25.0,18.0,11.2,18.8,37.8,31.5,2021.0,
1001+,PSG College of Technology,"8,563",13.8,0%,10.3–25.0,17.0,8.9,12.2,34.0,14.2,2021.0,
1001+,Public University of Navarre,"7,481",11.7,8%,10.3–25.0,19.0,12.7,36.1,35.9,45.3,2021.0,
1001+,University of the Punjab,"27,907",24.8,0%,10.3–25.0,20.0,11.2,34.8,34.2,33.8,2021.0,
1001+,Qassim University,"64,042",15.5,3%,10.3–25.0,17.0,7.4,13.2,34.5,73.6,2021.0,
1001+,Razi University,"12,266",29.3,1%,10.3–25.0,25.0,14.3,30.5,35.4,17.6,2021.0,
1001+,Recep Tayyip Erdoğan University,"12,365",23.3,3%,10.3–25.0,15.0,8.6,8.2,33.4,18.4,2021.0,
1001+,University Rey Juan Carlos,"43,273",23.5,9%,10.3–25.0,15.0,10.5,41.0,35.5,43.7,2021.0,
1001+,Riga Technical University,"11,134",31.0,12%,10.3–25.0,21.0,18.1,18.3,57.2,46.0,2021.0,
1001+,Ritsumeikan University,"35,401",18.3,8%,10.3–25.0,19.0,12.6,16.4,35.9,36.8,2021.0,
1001+,Robert Gordon University,"9,685",20.2,23%,10.3–25.0,17.0,11.3,22.8,34.3,76.8,2021.0,
1001+,Ryukoku University,"16,124",33.4,2%,10.3–25.0,16.0,10.2,12.1,34.3,21.5,2021.0,
1001+,University of the Ryukyus,"7,658",10.0,2%,10.3–25.0,20.0,12.0,15.9,41.3,29.2,2021.0,
1001+,University of La Sabana,"11,904",18.8,3%,10.3–25.0,16.0,9.6,5.0,33.8,40.5,2021.0,
1001+,Saga University,"6,761",9.7,2%,10.3–25.0,22.0,12.7,20.1,49.6,23.8,2021.0,
1001+,Saitama University,"8,484",14.1,5%,10.3–25.0,19.0,13.0,17.5,35.6,32.9,2021.0,
1001+,Saitama Medical University,"1,904",1.5,0%,10.3–25.0,23.0,8.8,30.7,37.1,15.3,2021.0,
1001+,Sakarya University,"51,273",31.7,5%,10.3–25.0,14.0,9.0,17.6,35.1,20.9,2021.0,
1001+,San Sebastián University,"17,617",9.2,0%,10.3–25.0,18.0,7.6,7.5,33.4,44.0,2021.0,
1001+,"University of Santiago, Chile (USACH)","23,469",25.4,3%,10.3–25.0,16.0,15.3,12.2,35.9,47.4,2021.0,
1001+,Sapporo Medical University,"1,305",3.3,0%,10.3–25.0,29.0,11.7,27.8,42.9,15.4,2021.0,
1001+,University of Sargodha,"20,999",23.3,0%,10.3–25.0,25.0,9.0,15.6,35.1,40.5,2021.0,
1001+,SASTRA University,"9,160",12.0,0%,10.3–25.0,18.0,9.5,37.9,41.8,15.1,2021.0,
1001+,Satbayev University,"8,610",16.0,2%,10.3–25.0,18.0,10.0,21.0,44.0,43.4,2021.0,
1001+,Sathyabama Institute of Science and Technology,"12,715",14.7,2%,10.3–25.0,20.0,9.6,13.8,34.0,16.6,2021.0,
1001+,Saveetha Institute of Medical and Technical Sciences,"9,409",6.5,1%,10.3–25.0,22.0,7.7,1.9,35.2,27.9,2021.0,
1001+,University of Sciences and Technology Houari Boumediene,"42,174",23.1,0%,10.3–25.0,16.0,8.3,8.1,33.5,35.5,2021.0,
1001+,University of Science and Technology of Oran Mohamed-Boudiaf,"21,290",11.1,2%,10.3–25.0,19.0,7.2,6.4,33.6,36.0,2021.0,
1001+,Selçuk University,"46,791",21.9,4%,10.3–25.0,16.0,8.4,24.6,33.8,21.5,2021.0,
1001+,Semnan University,"14,773",14.6,1%,10.3–25.0,21.0,9.2,43.9,34.0,17.3,2021.0,
1001+,University of Seoul,"9,461",17.2,6%,10.3–25.0,24.0,18.2,27.0,40.1,28.8,2021.0,
1001+,Seoul National University of Science and Technology (SeoulTech),"11,299",17.9,6%,10.3–25.0,20.0,14.2,16.7,37.9,23.4,2021.0,
1001+,University of Sfax,"30,923",12.8,1%,10.3–25.0,26.0,11.1,16.4,33.4,41.8,2021.0,
1001+,Shahed University,"6,371",19.1,0%,10.3–25.0,26.0,14.3,16.5,37.8,14.9,2021.0,
1001+,Shahid Bahonar University of Kerman,"14,705",23.5,0%,10.3–25.0,18.0,15.2,18.5,43.1,16.7,2021.0,
1001+,​Shahid Chamran University of Ahvaz,"13,149",22.3,1%,10.3–25.0,28.0,17.2,16.2,70.8,16.1,2021.0,
1001+,Shahid Rajaee Teacher Training University,"9,738",45.9,0%,10.3–25.0,16.0,18.6,25.4,69.0,19.2,2021.0,
1001+,Shahrekord University,"7,166",22.4,0%,10.3–25.0,18.0,11.3,44.3,34.4,16.5,2021.0,
1001+,Shahrood University of Technology,"8,056",22.7,1%,10.3–25.0,24.0,15.0,35.1,35.0,21.2,2021.0,
1001+,Shibaura Institute of Technology,"8,864",26.3,5%,10.3–25.0,18.0,14.8,10.3,39.7,31.2,2021.0,
1001+,Shiga University of Medical Science,"1,146",3.1,2%,10.3–25.0,27.0,10.6,37.0,44.9,19.8,2021.0,
1001+,Shimane University,"6,106",7.5,2%,10.3–25.0,22.0,11.7,15.4,36.5,22.8,2021.0,
1001+,Shinshu University,"10,768",10.3,3%,10.3–25.0,23.0,14.7,30.7,41.4,25.6,2021.0,
1001+,Shiraz University of Medical Sciences,"10,465",10.8,2%,10.3–25.0,34.0,9.6,31.8,34.4,17.4,2021.0,
1001+,Shizuoka University,"9,949",13.9,3%,10.3–25.0,18.0,14.0,12.2,39.3,30.0,2021.0,
1001+,University of Shizuoka,"3,099",11.6,3%,10.3–25.0,21.0,11.8,13.6,36.5,20.9,2021.0,
1001+,Showa University,"3,724",2.0,0%,10.3–25.0,30.0,8.9,22.3,34.9,16.5,2021.0,
1001+,Siksha ‘O’ Anusandhan,"12,143",9.7,0%,10.3–25.0,21.0,8.4,20.1,38.3,13.5,2021.0,
1001+,University of Silesia in Katowice,"24,535",13.3,3%,10.3–25.0,19.0,9.4,15.6,33.4,26.3,2021.0,
1001+,Silesian University of Technology,"17,892",11.9,2%,10.3–25.0,18.0,11.4,23.6,37.7,18.2,2021.0,
1001+,Silpakorn University,"24,138",21.3,1%,10.3–25.0,17.0,9.2,12.3,41.3,24.9,2021.0,
1001+,Simón Bolívar University,"8,373",23.6,0%,10.3–25.0,17.0,10.6,16.9,66.3,46.8,2021.0,
1001+,University of Sistan and Baluchestan,"24,331",52.8,0%,10.3–25.0,18.0,10.7,14.0,35.1,15.8,2021.0,
1001+,Slovak University of Technology in Bratislava,"11,194",11.3,4%,10.3–25.0,21.0,12.1,9.6,36.6,28.9,2021.0,
1001+,Sofia University,"21,735",7.1,6%,10.3–25.0,22.0,9.4,14.7,34.3,42.2,2021.0,
1001+,University of Sonora,"30,218",18.3,1%,10.3–25.0,15.0,7.5,8.2,33.4,27.9,2021.0,
1001+,Soongsil University,"15,979",19.9,9%,10.3–25.0,22.0,11.4,14.5,35.2,29.5,2021.0,
1001+,Sophia University,"13,511",24.8,11%,10.3–25.0,22.0,12.1,11.2,35.1,43.5,2021.0,
1001+,University of Sousse,"25,594",11.2,1%,10.3–25.0,23.0,8.1,13.7,33.4,37.4,2021.0,
1001+,University of South Africa,"222,065",179.7,6%,10.3–25.0,23.0,22.8,25.2,34.4,34.5,2021.0,
1001+,University of South China,"26,083",11.0,1%,10.3–25.0,17.0,9.3,15.9,41.0,16.7,2021.0,
1001+,South Valley University,"47,430",58.1,0%,10.3–25.0,15.0,9.2,39.8,33.6,44.7,2021.0,
1001+,University of South Wales,"15,480",15.4,19%,10.3–25.0,16.0,9.8,36.1,33.7,66.7,2021.0,
1001+,Southwest Jiaotong University,"41,878",17.1,2%,10.3–25.0,19.0,17.2,25.2,88.8,25.5,2021.0,
1001+,Srinakharinwirot University,"22,649",17.2,0%,10.3–25.0,18.0,8.5,9.7,33.6,19.3,2021.0,
1001+,SRM Institute of Science and Technology,"51,528",15.6,2%,10.3–25.0,18.0,8.7,20.1,33.5,18.9,2021.0,
1001+,Staffordshire University,"8,730",15.5,11%,10.3–25.0,17.0,10.5,40.0,33.6,48.9,2021.0,
1001+,State University of Ponta Grossa,"8,549",8.8,0%,10.3–25.0,21.0,9.6,24.6,33.4,21.5,2021.0,
1001+,State University of Santa Cruz,"6,718",8.6,1%,10.3–25.0,24.0,8.6,11.0,33.4,25.2,2021.0,
1001+,St Marianna University School of Medicine,848,0.9,1%,10.3–25.0,27.0,7.9,37.4,33.4,16.7,2021.0,
1001+,Süleyman Demirel University,"37,150",41.1,3%,10.3–25.0,17.0,8.4,15.8,33.6,19.1,2021.0,
1001+,Suranaree University of Technology,"14,329",30.9,1%,10.3–25.0,19.0,13.2,22.1,50.2,31.4,2021.0,
1001+,SWPS University of Social Sciences and Humanities,"13,561",35.3,9%,10.3–25.0,16.0,12.8,27.5,33.4,53.4,2021.0,
1001+,Szent István University,"13,198",17.9,11%,10.3–25.0,18.0,9.9,18.3,35.1,44.1,2021.0,
1001+,University of Talca,"11,310",15.7,1%,10.3–25.0,16.0,11.0,27.2,37.8,50.8,2021.0,
1001+,Tamil Nadu Agricultural University,"6,393",8.5,0%,10.3–25.0,23.0,9.4,2.0,39.1,15.9,2021.0,
1001+,Tamkang University,"25,343",24.5,8%,10.3–25.0,17.0,12.5,14.5,35.5,33.2,2021.0,
1001+,Tanta University,"115,169",21.8,1%,10.3–25.0,15.0,7.5,45.0,33.6,41.0,2021.0,
1001+,University of Tarapacá,"8,703",27.4,2%,10.3–25.0,14.0,15.9,13.8,35.3,51.9,2021.0,
1001+,Taras Shevchenko National University of Kyiv,"23,687",8.9,4%,10.3–25.0,23.0,9.8,8.3,33.8,31.7,2021.0,
1001+,Technical University of Cluj-Napoca,"19,136",19.4,2%,10.3–25.0,15.0,10.4,17.6,35.5,22.1,2021.0,
1001+,Technical University of Košice,"9,110",12.0,13%,10.3–25.0,20.0,13.5,11.4,44.5,35.0,2021.0,
1001+,Technical University of Liberec,"5,129",11.2,12%,10.3–25.0,20.0,13.1,6.1,41.2,37.4,2021.0,
1001+,"University of Technology, Iraq","10,417",6.7,0%,10.3–25.0,21.0,7.1,30.7,33.5,29.5,2021.0,
1001+,Universidade Tecnológica Federal do Paraná (UTFPR),"31,943",12.7,1%,10.3–25.0,17.0,9.4,9.9,36.8,20.3,2021.0,
1001+,Universiti Teknikal Malaysia Melaka,"12,678",16.1,6%,10.3–25.0,15.0,9.0,14.8,33.5,29.7,2021.0,
1001+,Universiti Teknologi MARA,"56,945",17.8,0%,10.3–25.0,20.0,14.2,10.8,33.8,18.9,2021.0,
1001+,Institut Teknologi Sepuluh Nopember,"14,941",10.4,5%,10.3–25.0,20.0,12.1,17.5,61.9,38.2,2021.0,
1001+,Telkom University,"23,042",21.9,0%,10.3–25.0,13.0,8.5,22.2,33.8,15.5,2021.0,
1001+,Texas State University,"31,872",19.4,1%,10.3–25.0,18.0,16.5,27.1,36.4,32.4,2021.0,
1001+,Tezpur University,"4,278",13.6,2%,10.3–25.0,29.0,12.2,26.2,41.8,16.6,2021.0,
1001+,Thammasat University,"28,359",10.9,1%,10.3–25.0,20.0,13.3,11.2,39.0,34.4,2021.0,
1001+,TOBB University of Economics and Technology,"5,839",14.7,0%,10.3–25.0,18.0,10.6,24.0,37.6,25.9,2021.0,
1001+,Toho University,"5,306",13.8,0%,10.3–25.0,20.0,13.9,30.9,40.7,18.1,2021.0,
1001+,Tokai University,"29,644",13.1,3%,10.3–25.0,20.0,10.4,22.8,35.5,24.9,2021.0,
1001+,Tokat Gaziosmanpaşa University,"18,471",16.2,3%,10.3–25.0,15.0,7.7,20.7,33.5,18.5,2021.0,
1001+,Tokushima University,"7,553",9.2,3%,10.3–25.0,23.0,18.5,15.4,59.0,23.5,2021.0,
1001+,Tokyo University of Agriculture,"12,468",33.4,2%,10.3–25.0,16.0,9.5,13.4,35.6,19.3,2021.0,
1001+,Tokyo University of Agriculture and Technology,"5,767",15.2,6%,10.3–25.0,27.0,24.1,15.4,48.2,28.2,2021.0,
1001+,Tokyo City University,"7,389",14.6,1%,10.3–25.0,17.0,10.8,8.8,43.6,20.0,2021.0,
1001+,Tokyo Denki University,"9,262",25.0,2%,10.3–25.0,15.0,9.3,2.6,38.9,17.7,2021.0,
1001+,Tokyo University of Marine Science and Technology,"2,641",10.7,8%,10.3–25.0,24.0,14.1,11.4,49.0,33.4,2021.0,
1001+,Tokyo University of Science,"18,578",24.8,2%,10.3–25.0,21.0,23.6,16.1,41.1,22.2,2021.0,
1001+,Tomas Bata University in Zlín,"8,389",18.8,11%,10.3–25.0,20.0,18.3,12.7,36.3,44.4,2021.0,
1001+,Tottori University,"6,040",7.6,2%,10.3–25.0,22.0,11.2,12.1,36.1,20.7,2021.0,
1001+,University of Toyama,"9,120",12.0,4%,10.3–25.0,21.0,13.6,26.9,46.5,28.3,2021.0,
1001+,Toyo University,"31,588",26.5,6%,10.3–25.0,15.0,9.1,7.2,34.4,32.9,2021.0,
1001+,Toyohashi University of Technology (TUT),"2,059",8.8,9%,10.3–25.0,22.0,17.6,14.2,53.1,29.2,2021.0,
1001+,Transilvania University of Brașov,"19,123",21.5,1%,10.3–25.0,14.0,9.8,19.3,34.4,26.3,2021.0,
1001+,University of Trás-os-Montes and Alto Douro,"6,515",11.4,4%,10.3–25.0,19.0,15.4,32.9,33.4,41.0,2021.0,
1001+,Tshwane University of Technology,"40,869",35.2,3%,10.3–25.0,15.0,11.5,41.7,38.3,44.4,2021.0,
1001+,Tunghai University,"16,080",22.6,7%,10.3–25.0,15.0,11.5,12.6,37.8,32.7,2021.0,
1001+,University of Tunis El Manar,"30,817",8.9,2%,10.3–25.0,26.0,10.1,18.5,33.5,41.1,2021.0,
1001+,Tzu Chi University,"3,524",9.9,12%,10.3–25.0,20.0,13.9,13.3,38.8,27.9,2021.0,
1001+,Umm Al-Qura University,"30,043",8.3,10%,10.3–25.0,29.0,10.0,13.2,61.6,81.4,2021.0,
1001+,Unisinos University,"12,040",19.9,1%,10.3–25.0,23.0,12.7,27.8,50.4,21.1,2021.0,
1001+,Urmia University,"14,834",30.5,0%,10.3–25.0,20.0,14.2,24.0,42.9,16.5,2021.0,
1001+,Utsunomiya University,"4,847",13.4,4%,10.3–25.0,19.0,10.3,3.8,36.4,23.1,2021.0,
1001+,University of Valladolid,"22,420",11.9,7%,10.3–25.0,22.0,12.4,23.7,37.8,39.2,2021.0,
1001+,University of Valparaíso,"16,682",18.8,4%,10.3–25.0,17.0,10.0,17.9,33.5,48.8,2021.0,
1001+,"University of Veterinary and Animal Sciences, Lahore","6,578",31.3,0%,10.3–25.0,17.0,11.4,14.8,58.7,43.6,2021.0,
1001+,Vietnam National University (Ho Chi Minh City),"61,531",21.1,1%,10.3–25.0,16.0,9.4,20.1,40.3,39.4,2021.0,
1001+,"Visvesvaraya National Institute of Technology, Nagpur","4,303",17.2,3%,10.3–25.0,22.0,13.2,31.5,51.6,16.3,2021.0,
1001+,V.N. Karazin Kharkiv National University,"17,113",8.8,27%,10.3–25.0,21.0,9.0,10.2,33.5,48.4,2021.0,
1001+,VSB - Technical University of Ostrava,"11,845",13.9,13%,10.3–25.0,20.0,14.5,8.8,43.1,39.4,2021.0,
1001+,Vytautas Magnus University,"8,269",14.6,15%,10.3–25.0,16.0,12.1,10.0,33.5,68.7,2021.0,
1001+,Warsaw University of Life Sciences – SGGW,"16,838",13.2,5%,10.3–25.0,17.0,9.5,22.3,35.3,23.5,2021.0,
1001+,Warsaw University of Technology,"24,376",10.9,6%,10.3–25.0,20.0,12.3,23.8,38.4,26.0,2021.0,
1001+,Wenzhou Medical University,"16,757",11.8,5%,10.3–25.0,17.0,14.6,32.0,36.0,25.3,2021.0,
1001+,University of West Bohemia,"11,730",15.9,4%,10.3–25.0,17.0,17.7,12.9,38.0,28.8,2021.0,
1001+,Western Michigan University,"19,273",21.8,7%,10.3–25.0,20.0,15.4,25.8,33.6,34.6,2021.0,
1001+,West University of Timişoara,"14,027",19.5,5%,10.3–25.0,18.0,9.3,11.9,34.4,27.5,2021.0,
1001+,Wrocław University of Environmental and Life Sciences,"8,540",12.2,6%,10.3–25.0,17.0,9.7,21.7,35.9,24.0,2021.0,
1001+,Wrocław University of Science and Technology,"26,064",30.9,4%,10.3–25.0,18.0,16.0,16.3,43.0,22.3,2021.0,
1001+,University of Wrocław,"22,175",13.9,6%,10.3–25.0,20.0,11.6,25.7,33.7,40.1,2021.0,
1001+,Xiangtan University,"31,743",21.3,2%,10.3–25.0,15.0,11.7,45.1,37.7,21.4,2021.0,
1001+,Yamagata University,"8,905",8.6,2%,10.3–25.0,22.0,11.9,17.3,50.0,24.0,2021.0,
1001+,Yamaguchi University,"10,693",10.9,6%,10.3–25.0,21.0,12.3,14.1,42.2,27.3,2021.0,
1001+,University of Yamanashi,"4,692",6.4,4%,10.3–25.0,25.0,11.2,23.4,36.1,22.2,2021.0,
1001+,Yanshan University,"35,554",16.4,1%,10.3–25.0,17.0,11.9,17.4,51.3,16.7,2021.0,
1001+,Yarmouk University,"33,270",28.8,9%,10.3–25.0,22.0,9.1,8.7,34.3,47.2,2021.0,
1001+,Yazd University,"14,289",30.1,1%,10.3–25.0,20.0,14.1,16.8,35.3,18.2,2021.0,
1001+,Yeditepe University,"19,415",35.2,2%,10.3–25.0,18.0,11.8,10.6,68.2,21.5,2021.0,
1001+,Yıldız Technical University,"34,336",36.8,5%,10.3–25.0,18.0,24.9,21.1,52.8,22.2,2021.0,
1001+,Yokohama National University,"9,859",12.4,7%,10.3–25.0,22.0,16.9,14.8,50.5,28.2,2021.0,
1001+,Yuan Ze University,"8,188",19.7,7%,10.3–25.0,19.0,14.1,19.7,50.1,30.9,2021.0,
1001+,Yuriy Fedkovych Chernivtsi National University,"12,616",10.7,0%,10.3–25.0,18.0,7.7,5.3,33.4,22.2,2021.0,
1001+,Zagazig University,"156,270",24.4,2%,10.3–25.0,14.0,7.4,42.3,33.4,40.6,2021.0,
