rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1,University of Oxford,20300,0.11,0.4,96.0,91.8,99.5,99.1,67.0,96.3,2019,1.0,0.97,1.0,0.99,0.67,0.96,0.01,0.01,0.48
2,University of Cambridge,18750,0.11,0.37,94.8,92.1,98.8,97.1,52.9,94.3,2019,0.99,0.97,0.99,0.97,0.53,0.94,0.01,0.01,0.44
3,Stanford University,15878,0.07,0.23,94.7,93.6,96.8,99.9,64.6,79.3,2019,0.99,0.99,0.97,1.0,0.65,0.79,0.01,0.01,0.27
4,Massachusetts Institute of Technology,11231,0.09,0.34,94.2,91.9,92.7,99.9,87.6,89.0,2019,0.98,0.97,0.93,1.0,0.88,0.89,0.01,0.01,0.4
5,California Institute of Technology,2255,0.06,0.29,94.1,94.5,97.2,99.2,88.2,62.3,2019,0.98,1.0,0.98,0.99,0.88,0.62,0.0,0.01,0.35
6,Harvard University,20595,0.09,0.26,93.6,90.1,98.4,99.6,48.7,79.7,2019,0.98,0.95,0.99,1.0,0.49,0.8,0.01,0.01,0.31
7,Princeton University,7996,0.08,0.24,92.3,89.9,93.6,99.4,57.3,80.1,2019,0.96,0.95,0.94,0.99,0.57,0.8,0.01,0.01,0.29
8,Yale University,12318,0.05,0.2,91.3,91.6,93.5,97.8,51.5,68.3,2019,0.95,0.97,0.94,0.98,0.52,0.68,0.01,0.01,0.24
9,Imperial College London,16425,0.12,0.56,90.3,85.8,87.7,97.8,67.3,97.1,2019,0.94,0.91,0.88,0.98,0.67,0.97,0.01,0.01,0.67
10,The University of Chicago,13562,0.06,0.25,90.2,90.2,90.1,99.0,41.4,70.9,2019,0.94,0.95,0.91,0.99,0.41,0.71,0.01,0.01,0.3
11,ETH Zurich,18171,0.12,0.39,89.3,83.3,91.4,93.8,56.1,98.2,2019,0.93,0.88,0.92,0.94,0.56,0.98,0.01,0.01,0.46
12,Johns Hopkins University,16146,0.05,0.25,89.0,81.9,90.5,98.5,95.5,71.9,2019,0.93,0.87,0.91,0.98,0.96,0.72,0.01,0.01,0.3
13,University of Pennsylvania,20443,0.06,0.2,89.0,87.4,89.2,98.4,70.3,63.6,2019,0.93,0.92,0.9,0.98,0.7,0.64,0.01,0.01,0.24
