rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1.0,California Institute of Technology,95.2,95.6,97.6,99.8,97.8,64.0,2243.0,0.07,0.27,2016,1.0,1.0,0.99,1.0,0.98,0.64,0.01,0.04,0.33
2.0,University of Oxford,94.2,86.5,98.9,98.8,73.1,94.4,19919.0,0.12,0.34,2016,0.99,0.9,1.0,0.99,0.73,0.94,0.05,0.07,0.41
3.0,Stanford University,93.9,92.5,96.2,99.9,63.3,76.3,15596.0,0.08,0.22,2016,0.99,0.97,0.97,1.0,0.63,0.76,0.04,0.05,0.27
4.0,University of Cambridge,92.8,88.2,96.7,97.0,55.0,91.5,18812.0,0.12,0.34,2016,0.97,0.92,0.98,0.97,0.55,0.92,0.05,0.07,0.41
5.0,Massachusetts Institute of Technology,92.0,89.4,88.6,99.7,95.4,84.0,11074.0,0.09,0.33,2016,0.97,0.94,0.89,1.0,0.95,0.84,0.03,0.06,0.4
6.0,Harvard University,91.6,83.6,99.0,99.8,45.2,77.2,20152.0,0.09,0.25,2016,0.96,0.87,1.0,1.0,0.45,0.77,0.05,0.06,0.3
7.0,Princeton University,90.1,85.1,91.9,99.3,52.1,78.5,7929.0,0.08,0.27,2016,0.95,0.89,0.93,0.99,0.52,0.79,0.02,0.05,0.33
8.0,Imperial College London,89.1,83.3,88.5,96.7,53.7,96.0,15060.0,0.12,0.51,2016,0.94,0.87,0.89,0.97,0.54,0.96,0.04,0.07,0.62
9.0,ETH Zurich – Swiss Federal Institute of Technology Zurich,88.3,77.0,95.0,91.1,80.0,97.9,18178.0,0.15,0.37,2016,0.93,0.81,0.96,0.91,0.8,0.98,0.05,0.09,0.45
10.0,University of Chicago,87.9,85.7,88.9,99.2,36.6,65.0,14221.0,0.07,0.21,2016,0.92,0.9,0.9,0.99,0.37,0.65,0.04,0.04,0.26
11.0,Johns Hopkins University,87.6,77.6,90.4,98.2,100.0,70.0,15128.0,0.04,0.23,2016,0.92,0.81,0.91,0.98,1.0,0.7,0.04,0.02,0.28
12.0,Yale University,87.4,86.5,87.8,97.2,43.3,64.3,11751.0,0.04,0.2,2016,0.92,0.9,0.89,0.97,0.43,0.64,0.03,0.02,0.24
