rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1,University of Oxford,19720,0.11,0.35,95.0,89.6,99.1,99.2,62.5,94.5,2017,1.0,0.94,1.0,0.99,0.62,0.95,0.01,0.02,0.42
2,California Institute of Technology,2181,0.07,0.27,94.3,95.5,95.7,99.8,90.8,63.4,2017,0.99,1.0,0.97,1.0,0.91,0.63,0.0,0.01,0.32
3,Stanford University,15658,0.08,0.22,93.8,92.6,95.9,99.9,60.9,76.5,2017,0.99,0.97,0.97,1.0,0.61,0.77,0.01,0.01,0.26
4,University of Cambridge,18605,0.11,0.35,93.6,90.6,97.2,96.8,50.4,92.4,2017,0.99,0.95,0.98,0.97,0.5,0.92,0.01,0.02,0.42
5,Massachusetts Institute of Technology,11192,0.09,0.33,93.4,90.3,92.3,99.9,88.4,85.6,2017,0.98,0.95,0.93,1.0,0.88,0.86,0.01,0.02,0.39
6,Harvard University,19890,0.09,0.25,92.7,87.5,98.3,99.7,47.3,77.9,2017,0.98,0.92,0.99,1.0,0.47,0.78,0.01,0.02,0.3
7,Princeton University,7925,0.08,0.23,90.2,89.5,88.4,99.2,49.9,77.2,2017,0.95,0.94,0.89,0.99,0.5,0.77,0.01,0.01,0.27
8,Imperial College London,15235,0.11,0.52,90.0,86.4,86.6,97.3,67.5,96.5,2017,0.95,0.9,0.87,0.97,0.68,0.97,0.01,0.02,0.62
9,ETH Zurich,18616,0.15,0.37,89.3,81.5,93.7,92.5,63.7,98.1,2017,0.94,0.85,0.95,0.92,0.64,0.98,0.01,0.03,0.44
10,"University of California, Berkeley",34834,0.12,0.16,88.9,82.4,96.1,99.8,37.6,59.6,2017,0.94,0.86,0.97,1.0,0.38,0.6,0.02,0.02,0.19
11,The University of Chicago,13486,0.06,0.24,88.9,88.1,89.1,99.1,37.7,67.8,2017,0.94,0.92,0.9,0.99,0.38,0.68,0.01,0.01,0.29
12,Yale University,11946,0.04,0.21,88.2,88.5,87.8,97.8,44.5,64.3,2017,0.93,0.93,0.89,0.98,0.44,0.64,0.01,0.01,0.25
