rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1,University of Oxford,20664,0.11,0.41,95.4,90.5,99.6,98.4,65.5,96.4,2020,1.0,0.98,1.0,0.98,0.66,0.97,0.02,0.02,0.49
2,California Institute of Technology,2240,0.06,0.3,94.5,92.1,97.2,97.9,88.0,82.5,2020,0.99,0.99,0.98,0.98,0.88,0.83,0.0,0.01,0.36
3,University of Cambridge,18978,0.11,0.37,94.4,91.4,98.7,95.8,59.3,95.0,2020,0.99,0.98,0.99,0.96,0.59,0.95,0.02,0.02,0.45
4,Stanford University,16135,0.07,0.23,94.3,92.8,96.4,99.9,66.2,79.5,2020,0.99,1.0,0.97,1.0,0.66,0.8,0.02,0.01,0.28
5,Massachusetts Institute of Technology,11247,0.09,0.34,93.6,90.5,92.4,99.5,86.9,89.0,2020,0.98,0.98,0.93,1.0,0.87,0.89,0.01,0.02,0.41
6,Princeton University,7983,0.08,0.25,93.2,90.3,96.3,98.8,58.6,81.1,2020,0.98,0.97,0.97,0.99,0.59,0.81,0.01,0.02,0.3
7,Harvard University,20823,0.09,0.24,93.0,89.2,98.6,99.1,47.3,76.3,2020,0.97,0.96,0.99,0.99,0.47,0.77,0.03,0.02,0.29
8,Yale University,12402,0.05,0.2,91.7,92.0,94.8,97.3,52.4,68.7,2020,0.96,0.99,0.95,0.97,0.52,0.69,0.01,0.01,0.24
9,University of Chicago,13833,0.06,0.28,90.2,89.1,91.4,96.7,52.7,76.0,2020,0.95,0.96,0.92,0.97,0.53,0.76,0.02,0.01,0.34
10,Imperial College London,16760,0.12,0.56,89.8,84.5,87.6,97.0,69.9,97.1,2020,0.94,0.91,0.88,0.97,0.7,0.97,0.02,0.02,0.67
11,University of Pennsylvania,20578,0.07,0.21,89.6,87.5,90.4,98.2,74.0,65.0,2020,0.94,0.94,0.91,0.98,0.74,0.65,0.02,0.01,0.25
12,Johns Hopkins University,16171,0.05,0.26,89.2,81.7,91.4,98.3,91.3,73.2,2020,0.94,0.88,0.92,0.98,0.91,0.73,0.02,0.01,0.31
13,"University of California, Berkeley",41081,0.14,0.17,88.3,83.0,90.6,99.2,46.1,70.4,2020,0.93,0.89,0.91,0.99,0.46,0.71,0.05,0.03,0.2
14,ETH Zurich,18956,0.13,0.39,88.3,81.8,92.8,90.3,56.8,98.2,2020,0.93,0.88,0.93,0.9,0.57,0.98,0.02,0.03,0.47
15,UCL,32665,0.11,0.52,87.1,77.8,88.7,96.1,42.7,96.2,2020,0.91,0.84,0.89,0.96,0.43,0.96,0.04,0.02,0.63
16,Columbia University,26586,0.06,0.37,87.0,85.6,82.6,98.2,44.8,79.3,2020,0.91,0.92,0.83,0.98,0.45,0.8,0.03,0.01,0.45
17,"University of California, Los Angeles",41066,0.09,0.17,86.8,83.1,88.6,97.3,51.3,64.1,2020,0.91,0.9,0.89,0.97,0.51,0.64,0.05,0.02,0.2
18,University of Toronto,73370,0.2,0.21,85.5,76.6,89.5,93.6,50.5,84.7,2020,0.9,0.83,0.9,0.94,0.5,0.85,0.09,0.04,0.25
19,Cornell University,22319,0.1,0.25,85.1,79.7,86.0,96.6,37.1,73.4,2020,0.89,0.86,0.86,0.97,0.37,0.74,0.03,0.02,0.3
20,Duke University,15309,0.04,0.19,84.0,82.4,76.8,97.0,99.9,61.5,2020,0.88,0.89,0.77,0.97,1.0,0.62,0.02,0.01,0.23
21,University of Michigan-Ann Arbor,42982,0.08,0.17,83.8,79.4,86.1,94.9,47.7,59.2,2020,0.88,0.86,0.86,0.95,0.48,0.59,0.05,0.02,0.2
22,Northwestern University,17951,0.13,0.2,83.5,74.2,83.8,97.8,78.4,64.1,2020,0.88,0.8,0.84,0.98,0.78,0.64,0.02,0.03,0.24
23,Tsinghua University,38783,0.12,0.11,82.6,86.6,94.0,74.6,100.0,47.4,2020,0.87,0.93,0.94,0.75,1.0,0.48,0.05,0.02,0.13
24,Peking University,39575,0.12,0.15,82.3,89.1,90.0,73.2,86.6,59.6,2020,0.86,0.96,0.9,0.73,0.87,0.6,0.05,0.02,0.18
