rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1,University of Oxford,20835,0.11,0.42,95.7,91.0,99.6,98.0,74.4,96.3,2022,1.0,0.96,1.0,0.98,0.74,0.96,0.05,0.05,0.46
2,California Institute of Technology,2233,0.06,0.34,95.0,93.6,96.9,97.8,90.4,83.8,2022,0.99,0.99,0.97,0.98,0.9,0.84,0.01,0.03,0.37
3,Harvard University,21574,0.1,0.24,95.0,94.5,98.9,99.2,48.9,79.8,2022,0.99,1.0,0.99,0.99,0.49,0.8,0.05,0.05,0.26
4,Stanford University,16319,0.07,0.23,94.9,92.3,96.8,99.9,91.0,79.7,2022,0.99,0.98,0.97,1.0,0.91,0.8,0.04,0.03,0.25
5,University of Cambridge,19680,0.11,0.39,94.6,90.9,99.5,96.2,56.7,95.8,2022,0.99,0.96,1.0,0.96,0.57,0.96,0.05,0.05,0.43
6,Massachusetts Institute of Technology,11459,0.08,0.33,94.6,90.9,94.4,99.7,93.7,89.9,2022,0.99,0.96,0.95,1.0,0.94,0.9,0.03,0.04,0.36
7,Princeton University,7753,0.08,0.23,93.6,89.5,96.0,99.0,88.8,80.7,2022,0.98,0.95,0.96,0.99,0.89,0.81,0.02,0.04,0.25
8,"University of California, Berkeley",40306,0.19,0.23,92.2,85.7,96.0,99.1,84.7,77.6,2022,0.96,0.91,0.96,0.99,0.85,0.78,0.09,0.09,0.25
9,Yale University,13317,0.06,0.21,90.8,90.7,93.0,97.0,56.2,69.9,2022,0.95,0.96,0.93,0.97,0.56,0.7,0.03,0.03,0.23
10,The University of Chicago,14895,0.06,0.33,89.8,87.2,90.6,98.3,56.3,74.4,2022,0.94,0.92,0.91,0.98,0.56,0.74,0.03,0.03,0.36
11,Columbia University,21608,0.05,0.35,89.6,87.8,89.6,97.3,48.0,79.8,2022,0.94,0.93,0.9,0.97,0.48,0.8,0.05,0.02,0.38
12,Imperial College London,17715,0.11,0.59,89.3,81.4,88.3,97.6,70.8,97.5,2022,0.93,0.86,0.89,0.98,0.71,0.98,0.04,0.05,0.65
13,Johns Hopkins University,16552,0.04,0.28,88.4,80.0,90.8,97.2,93.7,74.6,2022,0.92,0.85,0.91,0.97,0.94,0.75,0.04,0.02,0.31
14,University of Pennsylvania,21211,0.06,0.22,88.4,84.5,89.2,97.1,77.6,69.7,2022,0.92,0.89,0.9,0.97,0.78,0.7,0.05,0.03,0.24
15,ETH Zurich,20428,0.14,0.41,88.2,81.3,92.4,90.7,62.5,97.9,2022,0.92,0.86,0.93,0.91,0.62,0.98,0.05,0.07,0.45
16,Peking University,31606,0.1,0.19,87.5,91.4,94.6,81.7,93.1,65.1,2022,0.91,0.97,0.95,0.82,0.93,0.65,0.07,0.05,0.21
17,Tsinghua University,38221,0.12,0.13,87.5,88.1,95.7,86.8,100.0,50.6,2022,0.91,0.93,0.96,0.87,1.0,0.51,0.09,0.06,0.14
18,University of Toronto,75821,0.26,0.25,87.2,77.6,93.0,92.6,61.2,89.1,2022,0.91,0.82,0.93,0.93,0.61,0.89,0.18,0.13,0.27
19,UCL,35760,0.11,0.57,87.2,76.8,88.9,96.9,44.7,96.7,2022,0.91,0.81,0.89,0.97,0.45,0.97,0.08,0.05,0.63
20,"University of California, Los Angeles",42054,0.1,0.17,86.7,82.1,89.8,96.0,56.5,65.1,2022,0.91,0.87,0.9,0.96,0.56,0.65,0.1,0.05,0.19
21,National University of Singapore,31819,0.19,0.25,85.2,76.3,90.6,87.3,75.4,94.4,2022,0.89,0.81,0.91,0.87,0.75,0.94,0.07,0.09,0.27
22,Cornell University,23600,0.1,0.25,85.0,78.6,85.4,97.2,38.3,75.4,2022,0.89,0.83,0.86,0.97,0.38,0.75,0.06,0.05,0.27
23,Duke University,15785,0.04,0.22,83.5,79.2,78.6,95.6,99.0,66.6,2022,0.87,0.84,0.79,0.96,0.99,0.67,0.04,0.02,0.24
24,University of Michigan-Ann Arbor,44663,0.08,0.17,83.1,78.6,85.4,94.0,48.9,59.5,2022,0.87,0.83,0.86,0.94,0.49,0.6,0.1,0.04,0.19
25,Northwestern University,18735,0.13,0.19,83.1,74.3,82.1,97.6,81.6,65.3,2022,0.87,0.79,0.82,0.98,0.82,0.65,0.04,0.06,0.21
26,New York University,45424,0.11,0.35,82.4,75.4,83.1,94.7,41.4,72.3,2022,0.86,0.8,0.83,0.95,0.41,0.72,0.11,0.05,0.38
27,London School of Economics and Political Science,10910,0.12,0.72,80.8,68.0,80.8,94.4,35.8,92.7,2022,0.84,0.72,0.81,0.94,0.36,0.93,0.03,0.06,0.79
28,Carnegie Mellon University,14163,0.14,0.47,80.6,64.7,80.0,99.0,59.0,80.8,2022,0.84,0.68,0.8,0.99,0.59,0.81,0.03,0.07,0.52
29,University of Washington,52059,0.12,0.17,79.8,68.8,78.8,99.0,46.3,61.7,2022,0.83,0.73,0.79,0.99,0.46,0.62,0.12,0.06,0.19
30,University of Edinburgh,31630,0.12,0.44,78.9,66.1,74.2,95.6,40.2,95.2,2022,0.82,0.7,0.74,0.96,0.4,0.95,0.07,0.06,0.48
31,University of Hong Kong,18037,0.18,0.43,78.9,66.2,72.2,95.0,58.5,98.8,2022,0.82,0.7,0.72,0.95,0.58,0.99,0.04,0.09,0.47
32,LMU Munich,34274,0.34,0.18,78.6,68.1,77.9,90.3,100.0,69.1,2022,0.82,0.72,0.78,0.9,1.0,0.69,0.08,0.17,0.2
33,University of Melbourne,52098,0.26,0.5,77.8,67.5,73.8,88.4,74.9,94.0,2022,0.81,0.71,0.74,0.88,0.75,0.94,0.12,0.13,0.55
34,"University of California, San Diego",36256,0.12,0.29,77.7,60.5,75.6,97.9,96.6,68.1,2022,0.81,0.64,0.76,0.98,0.97,0.68,0.08,0.06,0.32
35,King’s College London,28250,0.12,0.49,76.0,57.6,71.2,96.9,43.7,95.9,2022,0.79,0.61,0.71,0.97,0.44,0.96,0.07,0.06,0.54
36,The University of Tokyo,25959,0.11,0.14,76.0,86.9,90.3,58.2,88.1,42.0,2022,0.79,0.92,0.91,0.58,0.88,0.42,0.06,0.05,0.15
