rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1.0,California Institute of Technology,94.8,95.7,98.2,99.9,97.0,56.0,2243.0,0.07,0.27,2012,1.0,1.0,0.99,1.0,0.97,0.57,0.02,0.1,0.5
2.0,Harvard University,93.9,95.8,97.4,99.8,35.9,67.5,20152.0,0.09,0.25,2012,0.99,1.0,0.98,1.0,0.36,0.68,0.16,0.12,0.46
3.0,Stanford University,93.9,94.8,98.9,99.8,63.8,57.2,15596.0,0.08,0.22,2012,0.99,0.99,0.99,1.0,0.64,0.58,0.12,0.11,0.41
4.0,University of Oxford,93.6,89.5,96.6,97.9,62.1,91.9,19919.0,0.12,0.34,2012,0.99,0.93,0.97,0.98,0.62,0.93,0.16,0.17,0.63
5.0,Princeton University,92.9,91.5,99.1,100.0,81.0,49.6,7929.0,0.08,0.27,2012,0.98,0.96,1.0,1.0,0.81,0.5,0.06,0.11,0.5
6.0,University of Cambridge,92.4,90.5,94.2,97.3,55.5,85.3,18812.0,0.12,0.34,2012,0.97,0.94,0.95,0.97,0.56,0.86,0.15,0.17,0.63
7.0,Massachusetts Institute of Technology,92.3,92.7,87.4,100.0,94.4,79.2,11074.0,0.09,0.33,2012,0.97,0.97,0.88,1.0,0.94,0.8,0.09,0.12,0.61
8.0,Imperial College London,90.7,88.8,88.7,93.9,93.1,92.2,15060.0,0.12,0.51,2012,0.96,0.93,0.89,0.94,0.93,0.93,0.12,0.17,0.94
9.0,University of Chicago,90.2,89.4,90.8,99.4,46.95,58.8,14221.0,0.07,0.21,2012,0.95,0.93,0.91,0.99,0.47,0.59,0.11,0.1,0.39
10.0,"University of California, Berkeley",89.8,82.8,99.4,99.4,62.5,50.4,36186.0,0.16,0.15,2012,0.95,0.86,1.0,0.99,0.62,0.51,0.28,0.22,0.28
