rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
185,Queensland University of Technology,35555,0.42,0.17,55.1,31.7,37.4,89.4,53.5,83.2,2021,0.58,0.34,0.38,0.89,0.54,0.83,0.07,0.12,0.2
186,Eindhoven University of Technology,9469,0.21,0.23,54.9,46.5,49.7,57.9,99.8,82.3,2021,0.57,0.49,0.5,0.58,1.0,0.82,0.02,0.06,0.27
187,George Washington University,23788,0.13,0.17,54.9,46.9,33.3,85.8,34.4,55.9,2021,0.57,0.5,0.33,0.86,0.34,0.56,0.05,0.04,0.2
188,Technical University of Denmark,9412,0.07,0.25,54.9,39.8,41.2,72.4,78.4,92.7,2021,0.57,0.42,0.41,0.72,0.78,0.93,0.02,0.02,0.3
189,Yonsei University (Seoul campus),17745,0.15,0.22,54.9,52.2,53.7,54.0,99.5,58.6,2021,0.57,0.55,0.54,0.54,1.0,0.59,0.03,0.04,0.26
190,Cardiff University,25900,0.14,0.28,54.7,32.4,35.6,89.4,36.7,86.8,2021,0.57,0.34,0.36,0.89,0.37,0.87,0.05,0.04,0.33
191,University of Gothenburg,19616,0.1,0.13,54.7,27.7,40.8,94.0,39.4,66.2,2021,0.57,0.29,0.41,0.94,0.39,0.66,0.04,0.03,0.15
192,University of Lausanne,12685,0.09,0.24,54.7,33.1,44.1,76.1,71.3,92.6,2021,0.57,0.35,0.44,0.76,0.71,0.93,0.02,0.03,0.29
193,Tel Aviv University,22635,0.22,0.07,54.7,40.1,52.0,73.0,41.1,56.2,2021,0.57,0.42,0.52,0.73,0.41,0.56,0.04,0.06,0.08
194,Macquarie University,29835,0.66,0.29,54.6,38.5,43.1,73.7,58.6,87.1,2021,0.57,0.41,0.43,0.74,0.59,0.87,0.06,0.19,0.35
195,University of Münster,44580,0.43,0.08,54.6,39.2,43.8,82.5,47.0,49.5,2021,0.57,0.42,0.44,0.82,0.47,0.5,0.09,0.13,0.1
196,Texas A&M University,62070,0.24,0.08,54.5,47.4,51.6,64.8,44.9,56.1,2021,0.57,0.5,0.52,0.65,0.45,0.56,0.12,0.07,0.1
197,University of Barcelona,45494,0.15,0.11,54.4,31.0,40.2,91.5,45.9,58.6,2021,0.57,0.33,0.4,0.92,0.46,0.59,0.09,0.04,0.13
198,University of Erlangen-Nuremberg,38052,0.57,0.12,54.4,41.6,46.2,72.6,88.4,53.8,2021,0.57,0.44,0.46,0.73,0.88,0.54,0.07,0.17,0.14
199,University of Calgary,31863,0.18,0.21,54.3,33.7,36.1,87.0,51.3,80.2,2021,0.57,0.36,0.36,0.87,0.51,0.8,0.06,0.05,0.25
200,University of East Anglia,15755,0.14,0.27,54.3,27.8,31.4,97.1,34.5,87.9,2021,0.57,0.29,0.32,0.97,0.34,0.88,0.03,0.04,0.32
201,Queen’s University Belfast,18440,0.17,0.36,54.3,31.5,38.1,84.0,38.4,96.7,2021,0.57,0.33,0.38,0.84,0.38,0.97,0.04,0.05,0.43
202,Aalborg University,16227,0.13,0.14,54.82,27.6,38.6,85.6,49.1,74.5,2021,0.57,0.29,0.39,0.86,0.49,0.74,0.03,0.04,0.17
203,Aalto University,12506,0.19,0.24,54.76,39.8,38.8,70.7,50.0,82.7,2021,0.57,0.42,0.39,0.71,0.5,0.83,0.02,0.06,0.29
204,University of Bath,14410,0.16,0.33,54.71,30.0,32.2,80.5,36.5,91.8,2021,0.57,0.32,0.32,0.8,0.36,0.92,0.03,0.05,0.39
205,University of Bergen,14297,0.12,0.13,54.65,28.3,29.0,94.4,36.3,78.3,2021,0.57,0.3,0.29,0.94,0.36,0.78,0.03,0.04,0.15
206,Brandeis University,5346,0.13,0.27,54.6,28.1,24.4,99.9,34.7,55.8,2021,0.57,0.3,0.24,1.0,0.35,0.56,0.01,0.04,0.32
207,"University of California, Santa Cruz",19457,0.24,0.12,54.54,31.4,31.9,96.2,38.9,63.6,2021,0.57,0.33,0.32,0.96,0.39,0.64,0.04,0.07,0.14
208,Chalmers University of Technology,8325,0.12,0.17,54.49,38.8,42.6,61.6,78.9,84.0,2021,0.57,0.41,0.43,0.62,0.79,0.84,0.02,0.04,0.2
209,Copenhagen Business School,16312,0.31,0.25,54.44,25.7,33.1,86.2,42.4,93.3,2021,0.57,0.27,0.33,0.86,0.42,0.93,0.03,0.09,0.3
210,Curtin University,30130,0.2,0.32,54.38,24.1,30.5,86.9,42.1,95.0,2021,0.57,0.26,0.31,0.87,0.42,0.95,0.06,0.06,0.38
