rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
95.0,University of Rochester,53.6,42.8,29.9,89.7,41.4,50.7,9390.0,0.04,0.26,2014,0.56,0.45,0.3,0.9,0.41,0.52,0.08,0.06,0.48
96.0,Pierre and Marie Curie University,53.5,50.2,26.7,82.3,34.4,65.5,27862.0,0.09,0.18,2014,0.56,0.53,0.27,0.82,0.34,0.67,0.23,0.12,0.33
97.0,University of Colorado Boulder,53.4,34.2,33.3,97.3,50.82,40.5,29325.0,0.16,0.08,2014,0.56,0.36,0.34,0.97,0.51,0.41,0.24,0.22,0.15
98.0,Maastricht University,52.9,33.1,47.1,65.8,98.2,89.1,15626.0,0.19,0.48,2014,0.56,0.35,0.48,0.66,0.98,0.91,0.13,0.26,0.89
99.0,University of Groningen,52.9,36.0,48.6,71.1,87.6,53.0,24556.0,0.26,0.12,2014,0.56,0.38,0.49,0.71,0.88,0.54,0.2,0.36,0.22
100.0,University of Helsinki,52.6,35.5,46.5,77.8,30.7,51.3,23505.0,0.15,0.06,2014,0.55,0.37,0.47,0.78,0.31,0.52,0.19,0.21,0.11
101.0,University of York,52.6,31.7,33.2,89.4,33.3,73.6,23499.91,0.19,0.16,2014,0.55,0.33,0.34,0.89,0.33,0.75,0.19,0.26,0.3
102.0,"Royal Holloway, University of London",52.5,30.4,21.2,97.5,33.1,92.6,8747.0,0.16,0.37,2014,0.55,0.32,0.22,0.98,0.33,0.94,0.07,0.22,0.69
103.0,"Rutgers, the State University of New Jersey",52.4,43.4,50.1,70.4,35.4,31.4,37032.0,0.17,0.08,2014,0.55,0.46,0.51,0.7,0.35,0.32,0.31,0.24,0.15
104.0,Stockholm University,52.4,28.6,41.4,88.7,31.5,53.4,31715.0,0.24,0.08,2014,0.55,0.3,0.42,0.89,0.32,0.54,0.26,0.33,0.15
105.0,University of Arizona,52.4,39.4,44.4,74.6,82.3,38.0,36429.0,0.13,0.08,2014,0.55,0.41,0.45,0.75,0.82,0.39,0.3,0.18,0.15
106.0,Eindhoven University of Technology,52.3,37.3,47.9,63.6,100.0,68.7,8176.0,0.16,0.14,2014,0.55,0.39,0.49,0.64,1.0,0.7,0.07,0.22,0.26
107.0,University of Montreal,52.3,45.7,42.9,59.3,90.9,75.6,38264.0,0.2,0.25,2014,0.55,0.48,0.44,0.59,0.91,0.77,0.32,0.28,0.46
108.0,"University of Maryland, College Park",52.2,39.0,37.2,84.4,32.1,42.4,31331.0,0.08,0.09,2014,0.55,0.41,0.38,0.84,0.32,0.43,0.26,0.11,0.17
109.0,Chinese University of Hong Kong,52.0,45.5,54.7,52.4,46.4,66.9,17916.0,0.1,0.22,2014,0.55,0.48,0.56,0.52,0.46,0.68,0.15,0.14,0.41
110.0,University of Alberta,52.0,44.6,47.8,59.3,46.8,70.1,36299.0,0.22,0.23,2014,0.55,0.47,0.49,0.59,0.47,0.71,0.3,0.31,0.43
111.0,Uppsala University,51.9,38.9,49.7,66.4,40.5,57.8,25266.0,0.18,0.12,2014,0.55,0.41,0.5,0.66,0.4,0.59,0.21,0.25,0.22
112.0,University of Sheffield,51.8,40.6,38.1,72.4,42.7,71.6,23311.0,0.16,0.31,2014,0.55,0.43,0.39,0.72,0.43,0.73,0.19,0.22,0.57
113.0,University of Virginia,51.8,49.7,33.9,77.5,49.4,30.2,23845.0,0.1,0.12,2014,0.55,0.52,0.34,0.78,0.49,0.31,0.2,0.14,0.22
114.0,Paris-Sud University,51.7,35.9,32.1,86.3,28.8,62.0,27603.0,0.15,0.17,2014,0.54,0.38,0.33,0.86,0.29,0.63,0.23,0.21,0.31
115.0,Queen Mary University of London,51.7,31.0,29.2,87.0,37.7,88.0,14260.0,0.14,0.4,2014,0.54,0.33,0.3,0.87,0.38,0.9,0.12,0.19,0.74
116.0,University of New South Wales,51.7,38.8,50.1,58.0,52.6,83.5,38309.0,0.26,0.33,2014,0.54,0.41,0.51,0.58,0.53,0.85,0.32,0.36,0.61
117.0,KTH Royal Institute of Technology,51.6,45.0,41.6,55.6,100.0,86.2,12062.0,0.15,0.21,2014,0.54,0.47,0.42,0.56,1.0,0.88,0.1,0.21,0.39
