rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1,University of Oxford,20410,0.11,0.38,94.3,86.7,99.5,99.1,63.7,95.0,2018,1.0,0.96,1.0,0.99,0.64,0.95,0.01,0.01,0.45
2,University of Cambridge,18390,0.11,0.35,93.2,87.8,97.8,97.5,51.5,93.0,2018,0.99,0.97,0.98,0.98,0.52,0.93,0.01,0.01,0.42
3,California Institute of Technology,2209,0.06,0.27,93.0,90.3,97.5,99.5,92.6,59.7,2018,0.99,1.0,0.98,1.0,0.93,0.6,0.0,0.01,0.32
4,Stanford University,15845,0.08,0.22,93.0,89.1,96.7,99.9,60.5,77.6,2018,0.99,0.99,0.97,1.0,0.6,0.78,0.01,0.01,0.26
5,Massachusetts Institute of Technology,11177,0.09,0.34,92.5,87.3,91.9,100.0,88.4,87.6,2018,0.98,0.97,0.92,1.0,0.88,0.88,0.01,0.01,0.4
6,Harvard University,20326,0.09,0.26,91.8,84.2,98.4,99.7,46.4,79.7,2018,0.97,0.93,0.99,1.0,0.46,0.8,0.01,0.01,0.31
7,Princeton University,7955,0.08,0.24,91.1,85.7,93.9,99.6,58.0,78.7,2018,0.97,0.95,0.94,1.0,0.58,0.79,0.0,0.01,0.29
8,Imperial College London,15855,0.11,0.55,89.2,81.7,88.7,96.7,71.6,96.6,2018,0.95,0.9,0.89,0.97,0.72,0.97,0.01,0.01,0.65
9,The University of Chicago,13525,0.06,0.25,88.6,85.3,90.1,99.4,39.8,69.6,2018,0.94,0.94,0.91,0.99,0.4,0.7,0.01,0.01,0.3
10,ETH Zurich,19233,0.15,0.38,87.7,76.4,92.0,94.3,60.3,98.1,2018,0.93,0.85,0.92,0.94,0.6,0.98,0.01,0.02,0.45
11,University of Pennsylvania,20361,0.06,0.2,87.7,83.7,90.1,98.5,56.9,61.3,2018,0.93,0.93,0.91,0.98,0.57,0.61,0.01,0.01,0.24
12,Yale University,12155,0.04,0.21,87.6,86.7,87.0,98.4,45.1,64.6,2018,0.93,0.96,0.87,0.98,0.45,0.65,0.01,0.0,0.25
13,Johns Hopkins University,15498,0.04,0.24,86.5,76.1,88.1,98.4,95.8,70.6,2018,0.92,0.84,0.89,0.98,0.96,0.71,0.01,0.0,0.29
14,Columbia University,26587,0.06,0.32,86.0,82.2,83.3,98.8,41.3,76.6,2018,0.91,0.91,0.84,0.99,0.41,0.77,0.01,0.01,0.38
15,"University of California, Los Angeles",39279,0.1,0.17,85.7,80.7,88.1,97.9,48.6,59.5,2018,0.91,0.89,0.89,0.98,0.49,0.6,0.02,0.01,0.2
16,UCL,30305,0.1,0.49,85.3,74.4,88.2,94.6,41.2,94.6,2018,0.9,0.82,0.89,0.95,0.41,0.95,0.02,0.01,0.58
17,Duke University,15256,0.04,0.22,85.1,80.7,80.6,98.3,100.0,62.5,2018,0.9,0.89,0.81,0.98,1.0,0.63,0.01,0.0,0.26
18,"University of California, Berkeley",36182,0.13,0.17,84.3,77.4,84.5,99.8,37.5,64.5,2018,0.89,0.86,0.85,1.0,0.38,0.65,0.02,0.02,0.2
19,Cornell University,21850,0.1,0.24,84.2,76.2,86.6,97.6,34.6,69.2,2018,0.89,0.84,0.87,0.98,0.35,0.69,0.01,0.01,0.29
20,Northwestern University,17466,0.13,0.18,83.3,72.6,86.7,96.9,78.2,59.2,2018,0.88,0.8,0.87,0.97,0.78,0.59,0.01,0.02,0.21
21,University of Michigan-Ann Arbor,41818,0.09,0.16,83.1,77.2,86.3,95.7,46.2,55.8,2018,0.88,0.85,0.87,0.96,0.46,0.56,0.02,0.01,0.19
22,National University of Singapore,30602,0.17,0.3,82.8,77.4,88.2,81.3,61.9,95.8,2018,0.88,0.86,0.89,0.81,0.62,0.96,0.02,0.02,0.36
23,University of Toronto,69427,0.19,0.17,82.8,74.6,84.8,92.6,46.5,80.1,2018,0.88,0.83,0.85,0.93,0.46,0.8,0.04,0.02,0.2
24,Carnegie Mellon University,12676,0.14,0.45,81.9,65.8,83.7,99.7,50.4,79.1,2018,0.87,0.73,0.84,1.0,0.5,0.79,0.01,0.02,0.54
25,London School of Economics and Political Science,10065,0.12,0.71,79.4,71.8,72.0,94.9,33.7,92.2,2018,0.84,0.8,0.72,0.95,0.34,0.92,0.01,0.01,0.85
26,University of Washington,44945,0.11,0.16,79.4,67.9,79.9,99.0,47.3,56.5,2018,0.84,0.75,0.8,0.99,0.47,0.57,0.02,0.01,0.19
27,University of Edinburgh,26760,0.12,0.4,79.2,66.8,74.2,97.0,36.3,92.0,2018,0.84,0.74,0.75,0.97,0.36,0.92,0.01,0.01,0.48
28,New York University,43860,0.1,0.26,79.2,73.7,77.4,96.5,37.0,53.4,2018,0.84,0.82,0.78,0.96,0.37,0.54,0.02,0.01,0.31
29,Peking University,42136,0.09,0.16,79.2,83.0,85.1,74.2,100.0,53.0,2018,0.84,0.92,0.86,0.74,1.0,0.53,0.02,0.01,0.19
30,Tsinghua University,42089,0.14,0.09,79.0,80.2,93.2,71.4,99.8,41.0,2018,0.84,0.89,0.94,0.71,1.0,0.41,0.02,0.02,0.11
31,"University of California, San Diego",29633,0.13,0.17,78.7,62.9,79.8,98.6,96.5,51.9,2018,0.83,0.7,0.8,0.99,0.96,0.52,0.02,0.02,0.2
32,University of Melbourne,42116,0.27,0.4,77.5,64.9,74.2,90.3,70.1,92.7,2018,0.82,0.72,0.75,0.9,0.7,0.93,0.02,0.03,0.48
33,Georgia Institute of Technology,20773,0.21,0.27,77.0,59.7,78.9,94.3,60.2,75.0,2018,0.82,0.66,0.79,0.94,0.6,0.75,0.01,0.02,0.32
34,University of British Columbia,51889,0.18,0.29,76.2,61.8,72.2,93.4,42.6,92.2,2018,0.81,0.68,0.73,0.93,0.43,0.92,0.03,0.02,0.35
35,LMU Munich,36091,0.16,0.15,76.2,65.4,72.3,91.3,100.0,66.3,2018,0.81,0.72,0.73,0.91,1.0,0.66,0.02,0.02,0.18
36,King’s College London,23205,0.12,0.41,75.6,59.3,71.2,94.4,43.9,94.5,2018,0.8,0.66,0.72,0.94,0.44,0.95,0.01,0.01,0.49
37,University of Illinois at Urbana-Champaign,43402,0.23,0.23,75.4,65.8,78.9,88.9,56.0,52.8,2018,0.8,0.73,0.79,0.89,0.56,0.53,0.02,0.03,0.27
38,École Polytechnique Fédérale de Lausanne,9928,0.11,0.55,75.3,58.8,66.8,94.2,76.0,98.7,2018,0.8,0.65,0.67,0.94,0.76,0.99,0.01,0.01,0.65
39,Karolinska Institute,7424,0.11,0.19,75.3,57.0,74.4,95.9,71.4,70.3,2018,0.8,0.63,0.75,0.96,0.71,0.7,0.0,0.01,0.23
40,University of Hong Kong,18364,0.18,0.42,75.1,68.8,77.9,74.2,54.0,99.5,2018,0.8,0.76,0.78,0.74,0.54,1.0,0.01,0.02,0.5
41,Technical University of Munich,38689,0.54,0.23,73.5,60.3,71.2,88.4,100.0,66.8,2018,0.78,0.67,0.72,0.88,1.0,0.67,0.02,0.06,0.27
42,McGill University,30940,0.13,0.26,73.2,63.4,70.8,84.7,39.8,87.5,2018,0.78,0.7,0.71,0.85,0.4,0.88,0.02,0.02,0.31
43,University of Wisconsin-Madison,38960,0.11,0.12,73.1,68.4,73.9,86.5,45.8,43.4,2018,0.78,0.76,0.74,0.86,0.46,0.43,0.02,0.01,0.14
44,The Hong Kong University of Science and Technology,10214,0.23,0.31,72.7,55.2,68.4,93.1,58.1,83.4,2018,0.77,0.61,0.69,0.93,0.58,0.84,0.01,0.03,0.37
45,Universität Heidelberg,28876,0.23,0.17,72.3,63.6,62.2,94.2,56.0,64.7,2018,0.77,0.7,0.63,0.94,0.56,0.65,0.02,0.03,0.2
46,The University of Tokyo,26000,0.07,0.1,72.2,79.5,85.2,63.7,52.7,32.2,2018,0.77,0.88,0.86,0.64,0.53,0.32,0.01,0.01,0.12
47,KU Leuven,44412,0.37,0.15,71.8,54.2,70.9,88.7,99.9,68.3,2018,0.76,0.6,0.71,0.89,1.0,0.68,0.02,0.04,0.18
48,Australian National University,15986,0.19,0.35,71.6,52.7,72.0,85.5,61.1,94.3,2018,0.76,0.58,0.72,0.86,0.61,0.94,0.01,0.02,0.42
49,University of Texas at Austin,48561,0.17,0.1,71.4,60.9,68.3,95.7,48.2,36.7,2018,0.76,0.67,0.69,0.96,0.48,0.37,0.03,0.02,0.12
50,Brown University,8898,0.11,0.2,70.8,63.8,57.9,96.7,34.1,59.0,2018,0.75,0.71,0.58,0.97,0.34,0.59,0.0,0.01,0.24
51,Washington University in St Louis,12600,0.08,0.17,70.8,60.8,59.7,99.4,36.9,52.1,2018,0.75,0.67,0.6,0.99,0.37,0.52,0.01,0.01,0.2
52,"Nanyang Technological University, Singapore",25499,0.16,0.31,70.5,49.5,63.0,90.7,94.0,95.9,2018,0.75,0.55,0.63,0.91,0.94,0.96,0.01,0.02,0.37
53,"University of California, Santa Barbara",23054,0.28,0.14,70.0,50.0,61.5,98.8,82.0,65.4,2018,0.74,0.55,0.62,0.99,0.82,0.66,0.01,0.03,0.17
54,"University of California, Davis",37365,0.14,0.1,69.5,60.9,64.5,86.0,53.4,63.7,2018,0.74,0.67,0.65,0.86,0.53,0.64,0.02,0.02,0.12
55,University of Manchester,35320,0.15,0.38,69.5,56.3,65.3,84.3,44.1,88.7,2018,0.74,0.62,0.66,0.84,0.44,0.89,0.02,0.02,0.45
56,University of Minnesota,60949,0.17,0.11,69.0,57.6,67.9,87.5,90.4,37.7,2018,0.73,0.64,0.68,0.88,0.9,0.38,0.03,0.02,0.13
57,University of North Carolina at Chapel Hill,34684,0.1,0.08,69.0,57.9,61.8,96.7,39.2,41.5,2018,0.73,0.64,0.62,0.97,0.39,0.42,0.02,0.01,0.1
58,Chinese University of Hong Kong,18072,0.17,0.31,68.5,57.0,64.4,80.6,56.8,86.6,2018,0.73,0.63,0.65,0.81,0.57,0.87,0.01,0.02,0.37
59,University of Amsterdam,23495,0.12,0.12,68.4,51.3,62.6,91.9,49.9,72.2,2018,0.73,0.57,0.63,0.92,0.5,0.72,0.01,0.01,0.14
60,Purdue University West Lafayette,38770,0.17,0.23,68.2,62.3,68.9,73.4,63.5,69.9,2018,0.72,0.69,0.69,0.73,0.64,0.7,0.02,0.02,0.27
61,The University of Sydney,44553,0.22,0.32,67.8,50.2,63.1,85.9,67.9,84.6,2018,0.72,0.56,0.63,0.86,0.68,0.85,0.02,0.03,0.38
62,Humboldt University of Berlin,32172,0.56,0.17,67.4,61.9,67.1,76.1,38.6,65.6,2018,0.71,0.69,0.67,0.76,0.39,0.66,0.02,0.06,0.2
63,Delft University of Technology,17057,0.2,0.27,67.3,53.4,72.0,68.5,99.8,88.5,2018,0.71,0.59,0.72,0.68,1.0,0.89,0.01,0.02,0.32
64,Wageningen University & Research,12326,0.2,0.29,67.2,46.6,53.6,95.2,100.0,80.6,2018,0.71,0.52,0.54,0.95,1.0,0.81,0.01,0.02,0.35
65,The University of Queensland,38968,0.36,0.26,67.0,47.6,59.4,87.8,76.2,88.8,2018,0.71,0.53,0.6,0.88,0.76,0.89,0.02,0.04,0.31
66,University of Southern California,38380,0.13,0.23,66.8,49.8,58.4,95.6,37.9,63.0,2018,0.71,0.55,0.59,0.96,0.38,0.63,0.02,0.02,0.27
67,Leiden University,24825,0.18,0.12,66.0,44.6,63.2,87.8,78.8,70.5,2018,0.7,0.49,0.64,0.88,0.79,0.71,0.01,0.02,0.14
68,Utrecht University,31522,0.15,0.07,65.8,45.5,63.1,89.9,72.6,59.6,2018,0.7,0.5,0.63,0.9,0.73,0.6,0.02,0.02,0.08
69,"University of Maryland, College Park",31772,0.16,0.1,65.7,49.6,63.0,93.5,38.4,39.0,2018,0.7,0.55,0.63,0.94,0.38,0.39,0.02,0.02,0.12
70,Boston University,24833,0.09,0.25,65.4,57.1,45.9,97.2,34.0,60.0,2018,0.69,0.63,0.46,0.97,0.34,0.6,0.01,0.01,0.3
71,Ohio State University (Main campus),53190,0.13,0.13,65.4,55.5,56.2,88.0,52.0,56.4,2018,0.69,0.61,0.56,0.88,0.52,0.57,0.03,0.02,0.15
72,Erasmus University Rotterdam,22047,0.2,0.2,65.2,38.9,57.2,96.7,51.7,80.6,2018,0.69,0.43,0.57,0.97,0.52,0.81,0.01,0.02,0.24
73,Paris Sciences et Lettres – PSL Research University Paris,19978,0.1,0.25,65.2,57.0,52.0,85.0,48.2,76.7,2018,0.69,0.63,0.52,0.85,0.48,0.77,0.01,0.01,0.3
