rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
74,Kyoto University,22481,0.09,0.08,64.9,71.8,78.6,50.9,93.8,28.8,2018,0.69,0.8,0.79,0.51,0.94,0.29,0.01,0.01,0.1
75,Seoul National University,26470,0.13,0.11,64.9,69.3,71.2,60.6,79.8,34.1,2018,0.69,0.77,0.72,0.61,0.8,0.34,0.01,0.02,0.13
76,University of Bristol,19995,0.14,0.27,64.8,45.7,51.2,94.7,39.3,84.8,2018,0.69,0.51,0.51,0.95,0.39,0.85,0.01,0.02,0.32
77,Penn State (Main campus),45411,0.15,0.14,64.6,53.6,64.8,81.6,50.0,44.3,2018,0.69,0.59,0.65,0.82,0.5,0.44,0.02,0.02,0.17
78,McMaster University,23693,0.25,0.15,63.4,45.6,48.8,89.9,89.8,78.1,2018,0.67,0.5,0.49,0.9,0.9,0.78,0.01,0.03,0.18
79,RWTH Aachen University,43721,0.58,0.18,63.3,53.4,62.4,72.8,99.7,56.4,2018,0.67,0.59,0.63,0.73,1.0,0.57,0.02,0.07,0.21
80,University of Glasgow,23390,0.15,0.36,63.2,43.4,48.9,92.6,38.6,90.4,2018,0.67,0.48,0.49,0.93,0.39,0.91,0.01,0.02,0.43
81,Monash University,46846,0.34,0.28,63.2,47.4,55.4,80.9,71.5,83.8,2018,0.67,0.52,0.56,0.81,0.72,0.84,0.03,0.04,0.33
82,University of Freiburg,20871,0.4,0.19,62.9,47.1,54.3,83.1,100.0,67.2,2018,0.67,0.52,0.55,0.83,1.0,0.67,0.01,0.05,0.23
83,University of Groningen,26197,0.24,0.17,62.8,40.7,54.8,89.0,77.2,74.4,2018,0.67,0.45,0.55,0.89,0.77,0.75,0.01,0.03,0.2
84,Michigan State University,44556,0.17,0.17,62.8,55.1,53.3,82.6,35.7,61.2,2018,0.67,0.61,0.54,0.83,0.36,0.61,0.02,0.02,0.2
85,UNSW Sydney,40133,0.27,0.34,62.5,40.9,57.5,82.8,49.8,91.4,2018,0.66,0.45,0.58,0.83,0.5,0.92,0.02,0.03,0.4
86,Rice University,6441,0.09,0.28,62.2,45.1,41.9,98.7,42.4,72.7,2018,0.66,0.5,0.42,0.99,0.42,0.73,0.0,0.01,0.33
87,Uppsala University,25174,0.17,0.11,62.2,42.9,56.1,84.6,79.5,68.8,2018,0.66,0.48,0.56,0.85,0.8,0.69,0.01,0.02,0.13
88,Free University of Berlin,34114,0.57,0.21,62.1,58.7,66.5,60.6,39.8,71.8,2018,0.66,0.65,0.67,0.61,0.4,0.72,0.02,0.07,0.25
89,Dartmouth College,6100,0.07,0.15,62.0,58.5,41.9,93.4,37.9,39.1,2018,0.66,0.65,0.42,0.93,0.38,0.39,0.0,0.01,0.18
90,University of Helsinki,22532,0.16,0.06,61.7,45.7,56.6,86.9,35.5,53.3,2018,0.65,0.51,0.57,0.87,0.36,0.53,0.01,0.02,0.07
91,University of Warwick,18425,0.13,0.39,61.6,46.6,52.0,80.4,41.0,91.9,2018,0.65,0.52,0.52,0.8,0.41,0.92,0.01,0.02,0.46
92,Technical University of Berlin,22390,0.64,0.2,61.5,49.0,58.0,74.2,97.8,62.4,2018,0.65,0.54,0.58,0.74,0.98,0.63,0.01,0.07,0.24
93,Lund University,28663,0.12,0.16,61.3,40.8,52.6,85.9,70.9,76.1,2018,0.65,0.45,0.53,0.86,0.71,0.76,0.02,0.01,0.19
94,University of Tübingen,27844,0.38,0.13,61.2,45.7,55.4,83.0,55.4,60.8,2018,0.65,0.51,0.56,0.83,0.55,0.61,0.02,0.04,0.15
95,University of Basel,12729,0.18,0.27,60.9,39.8,39.9,91.0,99.9,95.9,2018,0.65,0.44,0.4,0.91,1.0,0.96,0.01,0.02,0.32
96,Korea Advanced Institute of Science and Technology (KAIST),9464,0.11,0.09,60.9,56.3,59.2,70.4,100.0,35.6,2018,0.65,0.62,0.59,0.7,1.0,0.36,0.01,0.01,0.11
97,Durham University,16310,0.15,0.29,60.8,44.8,47.9,84.6,36.8,89.0,2018,0.64,0.5,0.48,0.85,0.37,0.89,0.01,0.02,0.35
98,Emory University,12649,0.04,0.19,60.7,47.1,40.4,98.1,42.3,53.3,2018,0.64,0.52,0.41,0.98,0.42,0.53,0.01,0.0,0.23
99,"University of California, Irvine",30419,0.17,0.21,60.6,43.4,44.9,93.6,43.9,65.2,2018,0.64,0.48,0.45,0.94,0.44,0.65,0.02,0.02,0.25
100,University of Bonn,35619,0.78,0.13,60.5,47.3,41.6,91.3,83.5,58.4,2018,0.64,0.52,0.42,0.91,0.84,0.59,0.02,0.09,0.15
101,University of Colorado Boulder,30780,0.16,0.1,60.5,44.8,45.8,97.4,37.5,42.4,2018,0.64,0.5,0.46,0.97,0.38,0.42,0.02,0.02,0.12
102,University of Pittsburgh-Pittsburgh campus,26367,0.06,0.1,60.5,45.7,48.7,94.9,39.9,36.8,2018,0.64,0.51,0.49,0.95,0.4,0.37,0.01,0.01,0.12
103,Maastricht University,16727,0.18,0.5,60.4,40.2,49.7,79.9,87.6,96.7,2018,0.64,0.45,0.5,0.8,0.88,0.97,0.01,0.02,0.6
104,University of Sheffield,24580,0.15,0.36,60.1,42.9,45.7,86.8,43.7,85.4,2018,0.64,0.48,0.46,0.87,0.44,0.86,0.01,0.02,0.43
105,University of Bern,10449,0.16,0.15,60.0,42.7,43.6,85.4,81.0,85.7,2018,0.64,0.47,0.44,0.85,0.81,0.86,0.01,0.02,0.18
106,Vanderbilt University,12011,0.03,0.13,60.0,47.7,41.4,96.9,52.8,38.9,2018,0.64,0.53,0.42,0.97,0.53,0.39,0.01,0.0,0.15
107,Ghent University,35909,0.36,0.1,59.8,44.4,56.2,77.6,84.3,56.8,2018,0.63,0.49,0.56,0.78,0.84,0.57,0.02,0.04,0.12
108,University of Montreal,41017,0.22,0.22,59.6,44.5,48.9,79.0,65.3,83.2,2018,0.63,0.49,0.49,0.79,0.65,0.83,0.02,0.03,0.26
109,Aarhus University,25167,0.14,0.12,59.4,37.3,53.6,82.7,67.6,75.3,2018,0.63,0.41,0.54,0.83,0.68,0.75,0.01,0.02,0.14
110,University of Copenhagen,30395,0.04,0.14,59.4,44.0,39.7,90.6,44.6,79.3,2018,0.63,0.49,0.4,0.91,0.45,0.79,0.02,0.0,0.17
111,Sungkyunkwan University (SKKU),24055,0.2,0.12,59.3,54.1,55.1,69.5,93.7,44.7,2018,0.63,0.6,0.55,0.7,0.94,0.45,0.01,0.02,0.14
112,The University of Western Australia,18787,0.22,0.25,59.3,33.5,46.1,90.6,54.5,91.9,2018,0.63,0.37,0.46,0.91,0.55,0.92,0.01,0.03,0.3
113,University of Göttingen,28554,0.28,0.12,59.2,47.1,50.3,82.4,33.7,58.6,2018,0.63,0.52,0.51,0.82,0.34,0.59,0.02,0.03,0.14
114,University of Virginia (Main campus),24055,0.1,0.12,59.2,52.4,40.7,89.3,40.6,46.5,2018,0.63,0.58,0.41,0.89,0.41,0.47,0.01,0.01,0.14
115,École Polytechnique,2799,0.05,0.36,59.1,54.4,38.2,75.1,70.8,93.4,2018,0.63,0.6,0.38,0.75,0.71,0.94,0.0,0.01,0.43
116,Fudan University,32859,0.12,0.1,58.9,59.5,57.5,65.1,53.0,38.7,2018,0.62,0.66,0.58,0.65,0.53,0.39,0.02,0.01,0.12
117,Indiana University,66835,0.14,0.15,58.7,50.5,46.5,81.9,51.5,50.5,2018,0.62,0.56,0.47,0.82,0.52,0.51,0.04,0.02,0.18
118,Trinity College Dublin,16157,0.23,0.27,58.7,45.3,44.8,79.0,41.2,92.1,2018,0.62,0.5,0.45,0.79,0.41,0.92,0.01,0.03,0.32
119,University of Alberta,32435,0.22,0.26,58.6,47.2,51.2,70.5,63.4,84.8,2018,0.62,0.52,0.51,0.7,0.63,0.85,0.02,0.03,0.31
120,City University of Hong Kong,9240,0.11,0.35,58.6,40.8,48.6,79.4,65.9,84.4,2018,0.62,0.45,0.49,0.79,0.66,0.85,0.01,0.01,0.42
121,Queen Mary University of London,15405,0.13,0.45,58.5,32.8,38.2,96.7,39.1,95.5,2018,0.62,0.36,0.38,0.97,0.39,0.96,0.01,0.02,0.54
122,Radboud University Nijmegen,19358,0.19,0.12,58.4,33.9,50.4,89.4,44.8,68.8,2018,0.62,0.38,0.51,0.89,0.45,0.69,0.01,0.02,0.14
123,Georgetown University,15956,0.09,0.17,58.3,51.8,37.2,87.5,66.3,49.6,2018,0.62,0.57,0.37,0.88,0.66,0.5,0.01,0.01,0.2
124,Pierre and Marie Curie University,25117,0.12,0.2,58.3,49.5,39.8,85.7,31.8,66.6,2018,0.62,0.55,0.4,0.86,0.32,0.67,0.01,0.01,0.24
125,University of Mannheim,10995,0.74,0.16,58.2,41.8,53.0,80.5,57.8,55.9,2018,0.62,0.46,0.53,0.8,0.58,0.56,0.01,0.09,0.19
126,Arizona State University (Tempe),44475,0.2,0.19,58.1,41.5,48.3,87.1,35.7,55.2,2018,0.62,0.46,0.49,0.87,0.36,0.55,0.02,0.02,0.23
127,Charité - Universitätsmedizin Berlin,6792,0.16,0.18,58.1,43.3,39.2,88.6,87.5,60.7,2018,0.62,0.48,0.39,0.89,0.88,0.61,0.0,0.02,0.21
128,University of Southampton,21670,0.12,0.33,58.1,37.9,43.7,86.0,38.5,92.0,2018,0.62,0.42,0.44,0.86,0.38,0.92,0.01,0.01,0.39
129,Université Catholique de Louvain,24451,0.38,0.19,58.0,38.9,52.2,78.6,54.0,76.7,2018,0.62,0.43,0.52,0.79,0.54,0.77,0.01,0.04,0.23
130,University of Exeter,19160,0.18,0.28,57.8,34.5,39.3,93.7,34.6,88.8,2018,0.61,0.38,0.39,0.94,0.35,0.89,0.01,0.02,0.33
131,University of Geneva,16085,0.15,0.4,57.8,35.8,43.6,82.9,68.7,98.2,2018,0.61,0.4,0.44,0.83,0.69,0.98,0.01,0.02,0.48
132,University of Science and Technology of China,16032,0.08,0.03,57.7,52.7,49.1,76.9,81.7,27.9,2018,0.61,0.58,0.49,0.77,0.82,0.28,0.01,0.01,0.04
133,Karlsruhe Institute of Technology,25824,0.26,0.18,57.6,44.6,47.7,75.7,97.9,62.9,2018,0.61,0.49,0.48,0.76,0.98,0.63,0.01,0.03,0.21
134,University of Adelaide,21241,0.34,0.26,57.5,35.9,43.1,85.3,67.3,86.6,2018,0.61,0.4,0.43,0.85,0.67,0.87,0.01,0.04,0.31
135,Stockholm University,33156,0.25,0.08,57.5,33.1,48.4,89.1,34.5,72.7,2018,0.61,0.37,0.49,0.89,0.34,0.73,0.02,0.03,0.1
136,University of Zurich,26363,0.06,0.2,57.4,42.0,36.0,87.0,43.2,90.8,2018,0.61,0.47,0.36,0.87,0.43,0.91,0.01,0.01,0.24
137,Pohang University of Science and Technology (POSTECH),3046,0.1,0.04,57.3,47.9,49.8,76.4,99.8,34.3,2018,0.61,0.53,0.5,0.76,1.0,0.34,0.0,0.01,0.05
138,University of York,14960,0.15,0.27,57.3,40.5,44.9,81.6,34.1,85.3,2018,0.61,0.45,0.45,0.82,0.34,0.85,0.01,0.02,0.32
139,University of Leeds,27995,0.15,0.26,57.1,42.2,46.7,77.8,38.8,82.1,2018,0.61,0.47,0.47,0.78,0.39,0.82,0.02,0.02,0.31
140,Pompeu Fabra University,11172,0.21,0.12,56.9,34.7,38.9,97.1,40.0,62.3,2018,0.6,0.38,0.39,0.97,0.4,0.62,0.01,0.02,0.14
141,University of Birmingham,27060,0.15,0.27,56.8,36.5,38.3,89.7,37.2,86.3,2018,0.6,0.4,0.38,0.9,0.37,0.86,0.01,0.02,0.32
142,Eindhoven University of Technology,7637,0.19,0.17,56.8,41.3,49.0,72.3,100.0,73.9,2018,0.6,0.46,0.49,0.72,1.0,0.74,0.0,0.02,0.2
143,University of Florida,46346,0.18,0.09,56.6,52.8,51.2,68.4,80.7,37.9,2018,0.6,0.58,0.51,0.68,0.81,0.38,0.03,0.02,0.11
144,University of St Andrews,9005,0.13,0.48,56.6,42.9,42.5,76.6,33.6,95.5,2018,0.6,0.48,0.43,0.77,0.34,0.96,0.0,0.02,0.57
145,University of Cologne,45087,0.51,0.1,56.4,39.8,42.7,84.8,76.8,57.1,2018,0.6,0.44,0.43,0.85,0.77,0.57,0.02,0.06,0.12
146,University of Oslo,27730,0.19,0.19,56.3,36.0,42.8,86.8,41.9,73.4,2018,0.6,0.4,0.43,0.87,0.42,0.74,0.02,0.02,0.23
147,Autonomous University of Barcelona,32309,0.13,0.16,56.2,43.3,36.1,89.5,42.1,60.1,2018,0.6,0.48,0.36,0.9,0.42,0.6,0.02,0.02,0.19
148,University of Nottingham,29175,0.14,0.3,56.2,40.5,41.9,80.5,38.5,84.4,2018,0.6,0.45,0.42,0.8,0.38,0.85,0.02,0.02,0.36
149,University of Sussex,12385,0.15,0.38,56.2,34.1,38.1,89.5,33.3,91.5,2018,0.6,0.38,0.38,0.9,0.33,0.92,0.01,0.02,0.45
150,Lancaster University,11635,0.13,0.38,55.9,37.0,40.5,83.2,33.7,91.1,2018,0.59,0.41,0.41,0.83,0.34,0.91,0.01,0.02,0.45
151,University of Notre Dame,11912,0.13,0.11,55.9,49.8,37.9,83.0,35.3,50.7,2018,0.59,0.55,0.38,0.83,0.35,0.51,0.01,0.02,0.13
152,University of Lausanne,13065,0.14,0.25,55.7,30.4,47.4,78.5,78.4,90.8,2018,0.59,0.34,0.48,0.78,0.78,0.91,0.01,0.02,0.3
153,University of Rochester,9636,0.04,0.29,55.6,41.7,34.2,90.2,39.5,63.7,2018,0.59,0.46,0.34,0.9,0.4,0.64,0.01,0.0,0.35
154,Technical University of Denmark,8548,0.06,0.24,55.6,35.9,39.5,81.6,63.8,91.6,2018,0.59,0.4,0.4,0.82,0.64,0.92,0.0,0.01,0.29
155,Sant’Anna School of Advanced Studies – Pisa,690,0.12,0.14,55.5,41.6,36.0,88.0,87.8,48.3,2018,0.59,0.46,0.36,0.88,0.88,0.48,0.0,0.01,0.17
156,TU Dresden,34514,0.36,0.13,55.5,42.8,46.9,74.2,95.0,52.6,2018,0.59,0.47,0.47,0.74,0.95,0.53,0.02,0.04,0.15
157,Ulm University,10657,0.28,0.13,55.5,37.1,37.4,90.0,77.3,56.5,2018,0.59,0.41,0.38,0.9,0.77,0.57,0.01,0.03,0.15
158,Case Western Reserve University,10130,0.07,0.19,55.2,44.4,34.9,90.1,36.7,46.1,2018,0.59,0.49,0.35,0.9,0.37,0.46,0.01,0.01,0.23
159,University of Leicester,14635,0.14,0.38,55.0,32.2,34.5,91.4,35.2,89.9,2018,0.58,0.36,0.35,0.91,0.35,0.9,0.01,0.02,0.45
160,Texas A&M University,56245,0.24,0.09,55.0,50.4,56.3,60.2,41.2,52.0,2018,0.58,0.56,0.57,0.6,0.41,0.52,0.03,0.03,0.11
161,University of Arizona,38334,0.13,0.09,54.9,44.3,38.7,85.4,46.1,43.3,2018,0.58,0.49,0.39,0.85,0.46,0.43,0.02,0.02,0.11
