rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1.0,California Institute of Technology,95.5,96.3,99.4,99.7,95.6,59.8,2243.0,0.07,0.27,2013,1.0,1.0,1.0,1.0,0.96,0.61,0.02,0.1,0.5
2.0,Stanford University,93.7,95.0,98.8,99.3,62.4,56.6,15596.0,0.08,0.22,2013,0.98,0.99,0.99,0.99,0.62,0.57,0.11,0.11,0.41
3.0,University of Oxford,93.7,89.7,98.1,95.6,79.8,88.7,19919.0,0.12,0.34,2013,0.98,0.93,0.99,0.96,0.8,0.9,0.14,0.17,0.63
4.0,Harvard University,93.6,94.9,98.6,99.2,39.9,63.7,20152.0,0.09,0.25,2013,0.98,0.99,0.99,0.99,0.4,0.64,0.15,0.12,0.46
5.0,Massachusetts Institute of Technology,93.1,92.9,89.2,99.9,92.9,81.6,11074.0,0.09,0.33,2013,0.97,0.96,0.9,1.0,0.93,0.83,0.08,0.12,0.61
6.0,Princeton University,92.7,89.5,99.4,99.8,79.5,54.5,7929.0,0.08,0.27,2013,0.97,0.93,1.0,1.0,0.8,0.55,0.06,0.11,0.5
7.0,University of Cambridge,92.6,91.2,95.6,96.2,59.1,83.6,18812.0,0.12,0.34,2013,0.97,0.95,0.96,0.96,0.59,0.85,0.14,0.17,0.63
8.0,Imperial College London,90.6,88.0,90.9,93.0,87.5,91.4,15060.0,0.12,0.51,2013,0.95,0.91,0.91,0.93,0.88,0.93,0.11,0.17,0.94
9.0,"University of California, Berkeley",90.5,85.1,99.3,99.3,65.4,49.7,36186.0,0.16,0.15,2013,0.95,0.88,1.0,0.99,0.65,0.5,0.26,0.22,0.28
10.0,University of Chicago,90.4,89.6,92.9,98.7,50.23,55.3,14221.0,0.07,0.21,2013,0.95,0.93,0.93,0.99,0.5,0.56,0.1,0.1,0.39
11.0,Yale University,89.2,93.2,92.5,94.8,38.2,54.7,11751.0,0.04,0.2,2013,0.93,0.97,0.93,0.95,0.38,0.55,0.09,0.06,0.37
12.0,ETH Zurich – Swiss Federal Institute of Technology Zurich,87.8,82.5,92.7,86.6,50.23,95.7,18178.0,0.15,0.37,2013,0.92,0.86,0.93,0.87,0.5,0.97,0.13,0.21,0.69
13.0,"University of California, Los Angeles",87.7,87.3,93.8,95.9,50.23,42.3,38206.0,0.1,0.15,2013,0.92,0.91,0.94,0.96,0.5,0.43,0.28,0.14,0.28
14.0,Columbia University,87.0,89.7,82.0,96.1,50.23,66.1,25055.0,0.06,0.28,2013,0.91,0.93,0.82,0.96,0.5,0.67,0.18,0.08,0.52
15.0,University of Pennsylvania,86.6,90.0,89.4,96.2,43.7,38.1,20376.0,0.06,0.2,2013,0.91,0.93,0.9,0.96,0.44,0.39,0.15,0.08,0.37
16.0,Johns Hopkins University,85.6,81.8,85.5,95.3,100.0,57.3,15128.0,0.04,0.23,2013,0.9,0.85,0.86,0.95,1.0,0.58,0.11,0.06,0.43
17.0,University College London,85.5,83.5,88.8,86.8,45.1,89.0,26607.0,0.11,0.46,2013,0.9,0.87,0.89,0.87,0.45,0.9,0.19,0.15,0.85
18.0,Cornell University,83.3,77.0,92.1,91.8,39.5,53.8,21424.0,0.1,0.19,2013,0.87,0.8,0.93,0.92,0.4,0.54,0.16,0.14,0.35
19.0,Northwestern University,83.1,77.6,87.3,98.2,64.4,33.8,18334.0,0.14,0.15,2013,0.87,0.81,0.88,0.98,0.64,0.34,0.13,0.19,0.28
20.0,University of Michigan,82.6,76.1,91.4,91.6,53.9,47.6,41786.0,0.09,0.16,2013,0.86,0.79,0.92,0.92,0.54,0.48,0.3,0.12,0.3
21.0,University of Toronto,82.2,79.6,89.4,85.1,42.9,65.1,66198.0,0.2,0.15,2013,0.86,0.83,0.9,0.85,0.43,0.66,0.48,0.28,0.28
22.0,Carnegie Mellon University,81.5,71.8,87.0,95.5,55.9,51.4,11885.0,0.13,0.35,2013,0.85,0.75,0.88,0.96,0.56,0.52,0.09,0.18,0.65
23.0,Duke University,81.2,72.3,81.5,97.0,100.0,45.8,15172.0,0.05,0.17,2013,0.85,0.75,0.82,0.97,1.0,0.46,0.11,0.07,0.31
24.0,University of Washington,79.9,74.7,81.3,97.0,41.3,39.1,44020.0,0.12,0.13,2013,0.84,0.78,0.82,0.97,0.41,0.4,0.32,0.17,0.24
25.0,Georgia Institute of Technology,78.8,70.2,79.5,90.3,74.9,66.3,19967.0,0.2,0.26,2013,0.83,0.73,0.8,0.9,0.75,0.67,0.15,0.28,0.48
26.0,University of Texas at Austin,78.8,75.5,80.7,91.0,57.9,42.1,49427.0,0.17,0.09,2013,0.83,0.78,0.81,0.91,0.58,0.43,0.36,0.24,0.17
27.0,University of Tokyo,78.3,87.9,89.9,71.3,59.0,27.6,26199.0,0.06,0.1,2013,0.82,0.91,0.9,0.71,0.59,0.28,0.19,0.08,0.19
28.0,University of Melbourne,77.9,68.4,82.5,83.7,67.6,77.2,40128.0,0.24,0.35,2013,0.82,0.71,0.83,0.84,0.68,0.78,0.29,0.33,0.65
29.0,National University of Singapore,77.5,74.4,87.2,67.2,77.4,92.3,31592.0,0.16,0.34,2013,0.81,0.77,0.88,0.67,0.77,0.93,0.23,0.22,0.63
