rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1,Harvard University,96.1,99.7,98.7,98.8,34.5,72.4,20152.0,0.09,0.25,2011,1.0,1.0,0.99,0.99,0.34,0.72,0.16,0.13,0.46
2,California Institute of Technology,96.0,97.7,98.0,99.9,83.7,54.6,2243.0,0.07,0.27,2011,1.0,0.98,0.99,1.0,0.84,0.55,0.02,0.1,0.5
3,Massachusetts Institute of Technology,95.6,97.8,91.4,99.9,87.5,82.3,11074.0,0.09,0.33,2011,0.99,0.98,0.92,1.0,0.88,0.82,0.09,0.13,0.61
4,Stanford University,94.3,98.3,98.1,99.2,64.3,29.5,15596.0,0.08,0.22,2011,0.98,0.99,0.99,0.99,0.64,0.3,0.12,0.11,0.41
5,Princeton University,94.2,90.9,95.4,99.9,51.73,70.3,7929.0,0.08,0.27,2011,0.98,0.91,0.96,1.0,0.52,0.7,0.06,0.11,0.5
6,University of Cambridge,91.2,90.5,94.1,94.0,57.0,77.7,18812.0,0.12,0.34,2011,0.95,0.91,0.95,0.94,0.57,0.78,0.15,0.17,0.63
7,University of Oxford,91.2,88.2,93.9,95.1,73.5,77.2,19919.0,0.12,0.34,2011,0.95,0.88,0.95,0.95,0.74,0.77,0.16,0.17,0.63
8,"University of California, Berkeley",91.1,84.2,99.3,97.8,51.73,39.6,36186.0,0.16,0.15,2011,0.95,0.84,1.0,0.98,0.52,0.4,0.28,0.23,0.28
9,Imperial College London,90.6,89.2,94.5,88.3,92.9,90.0,15060.0,0.12,0.51,2011,0.94,0.89,0.95,0.88,0.93,0.9,0.12,0.17,0.94
10,Yale University,89.5,92.1,89.7,91.5,51.73,59.2,11751.0,0.04,0.2,2011,0.93,0.92,0.9,0.92,0.52,0.59,0.09,0.06,0.37
11,"University of California, Los Angeles",87.7,83.0,92.9,93.2,51.73,48.1,38206.0,0.1,0.15,2011,0.91,0.83,0.94,0.93,0.52,0.48,0.3,0.14,0.28
12,University of Chicago,86.9,79.1,87.9,96.9,51.73,62.8,14221.0,0.07,0.21,2011,0.9,0.79,0.89,0.97,0.52,0.63,0.11,0.1,0.39
13,Johns Hopkins University,86.4,80.9,89.2,92.3,100.0,58.5,15128.0,0.04,0.23,2011,0.9,0.81,0.9,0.92,1.0,0.58,0.12,0.06,0.43
14,Cornell University,83.9,82.2,88.8,88.1,34.7,62.4,21424.0,0.1,0.19,2011,0.87,0.82,0.89,0.88,0.35,0.62,0.17,0.14,0.35
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,83.4,77.5,87.8,83.1,51.73,93.7,18178.0,0.15,0.37,2011,0.87,0.78,0.88,0.83,0.52,0.94,0.14,0.21,0.69
16,University of Michigan,83.4,83.9,89.1,84.1,59.6,53.3,41786.0,0.09,0.16,2011,0.87,0.84,0.9,0.84,0.6,0.53,0.33,0.13,0.3
17,University of Toronto,82.0,75.8,87.9,82.2,51.73,54.24,66198.0,0.2,0.15,2011,0.85,0.76,0.89,0.82,0.52,0.54,0.52,0.29,0.28
18,Columbia University,81.0,73.8,73.8,92.6,51.73,90.9,25055.0,0.06,0.28,2011,0.84,0.74,0.74,0.93,0.52,0.91,0.2,0.09,0.52
19,University of Pennsylvania,79.5,71.8,82.7,93.6,43.7,32.9,20376.0,0.06,0.2,2011,0.83,0.72,0.83,0.94,0.44,0.33,0.16,0.09,0.37
20,Carnegie Mellon University,79.3,70.3,79.3,95.7,53.7,39.1,11885.0,0.13,0.35,2011,0.83,0.71,0.8,0.96,0.54,0.39,0.09,0.19,0.65
21,University of Hong Kong,79.2,68.4,71.4,96.1,56.5,91.4,19835.0,0.18,0.38,2011,0.82,0.69,0.72,0.96,0.56,0.91,0.16,0.26,0.7
22,University College London,78.4,74.0,81.6,80.6,39.0,90.8,26607.0,0.11,0.46,2011,0.82,0.74,0.82,0.81,0.39,0.91,0.21,0.16,0.85
23,University of Washington,78.0,68.2,77.1,95.9,32.8,49.0,44020.0,0.12,0.13,2011,0.81,0.68,0.78,0.96,0.33,0.49,0.35,0.17,0.24
24,Duke University,76.5,66.8,71.5,92.3,100.0,49.4,15172.0,0.05,0.17,2011,0.8,0.67,0.72,0.92,1.0,0.49,0.12,0.07,0.31
25,Northwestern University,75.9,64.5,68.8,95.3,51.73,60.5,18334.0,0.14,0.15,2011,0.79,0.65,0.69,0.95,0.52,0.6,0.14,0.2,0.28
26,University of Tokyo,75.6,87.7,91.9,58.1,51.73,18.4,26199.0,0.06,0.1,2011,0.79,0.88,0.93,0.58,0.52,0.18,0.21,0.09,0.19
27,Georgia Institute of Technology,75.3,67.9,72.6,83.2,95.1,73.2,19967.0,0.2,0.26,2011,0.78,0.68,0.73,0.83,0.95,0.73,0.16,0.29,0.48
28,Pohang University of Science and Technology,75.1,69.5,62.5,96.5,100.0,32.6,3055.0,0.1,0.04,2011,0.78,0.7,0.63,0.97,1.0,0.33,0.02,0.14,0.07
29,"University of California, Santa Barbara",75.0,56.6,68.0,98.8,89.8,64.3,22020.0,0.27,0.11,2011,0.78,0.57,0.68,0.99,0.9,0.64,0.17,0.39,0.2
30,University of British Columbia,73.8,65.1,74.8,80.3,42.6,93.3,50152.0,0.18,0.25,2011,0.77,0.65,0.75,0.8,0.43,0.93,0.39,0.26,0.46
31,University of North Carolina at Chapel Hill,73.8,70.9,75.1,85.0,50.2,21.5,26518.0,0.07,0.08,2011,0.77,0.71,0.76,0.85,0.5,0.22,0.21,0.1,0.15
32,"University of California, San Diego",73.2,59.8,76.3,90.8,51.8,31.6,27233.0,0.06,0.11,2011,0.76,0.6,0.77,0.91,0.52,0.32,0.21,0.09,0.2
33,University of Illinois at Urbana-Champaign,73.0,68.1,80.9,72.9,51.73,55.9,42727.0,0.19,0.2,2011,0.76,0.68,0.81,0.73,0.52,0.56,0.34,0.27,0.37
34,National University of Singapore,72.9,65.5,72.6,78.7,40.5,97.8,31592.0,0.16,0.34,2011,0.76,0.66,0.73,0.79,0.4,0.98,0.25,0.23,0.63
35,McGill University,71.7,69.0,74.9,69.0,51.73,85.9,31326.0,0.14,0.23,2011,0.75,0.69,0.75,0.69,0.52,0.86,0.25,0.2,0.43
36,University of Melbourne,71.0,58.7,69.2,83.3,47.7,88.0,40128.0,0.24,0.35,2011,0.74,0.59,0.7,0.83,0.48,0.88,0.31,0.34,0.65
37,Peking University,70.7,76.4,61.3,72.2,98.6,68.6,40148.0,0.08,0.14,2011,0.74,0.77,0.62,0.72,0.99,0.69,0.32,0.11,0.26
38,Washington University in St Louis,69.9,58.9,63.0,88.6,51.73,56.4,12528.0,0.06,0.17,2011,0.73,0.59,0.63,0.89,0.52,0.56,0.1,0.09,0.31
39,École Polytechnique,69.5,57.9,56.1,91.4,51.73,77.9,2429.0,0.05,0.3,2011,0.72,0.58,0.56,0.91,0.52,0.78,0.02,0.07,0.56
40,University of Edinburgh,69.2,59.9,61.9,86.8,42.2,67.3,25774.0,0.14,0.36,2011,0.72,0.6,0.62,0.87,0.42,0.67,0.2,0.2,0.67
41,Hong Kong University of Science and Technology,69.0,50.4,51.8,98.2,64.1,97.4,11385.0,0.24,0.36,2011,0.72,0.51,0.52,0.98,0.64,0.97,0.09,0.34,0.67
42,École Normale Supérieure,68.6,66.8,48.2,95.7,30.7,44.9,2400.0,0.08,0.2,2011,0.71,0.67,0.49,0.96,0.31,0.45,0.02,0.11,0.37
43,Australian National University,67.0,51.9,62.4,81.0,51.73,93.9,14604.0,0.19,0.35,2011,0.7,0.52,0.63,0.81,0.52,0.94,0.11,0.27,0.65
44,Karolinska Institute,67.0,65.8,72.7,62.3,73.3,54.24,7774.0,0.12,0.22,2011,0.7,0.66,0.73,0.62,0.73,0.54,0.06,0.17,0.41
45,University of Göttingen,67.0,57.3,55.9,92.5,31.7,44.5,25581.0,0.26,0.12,2011,0.7,0.57,0.56,0.93,0.32,0.44,0.2,0.37,0.22
46,University of Wisconsin,67.0,55.5,64.6,83.4,51.73,43.7,24167.93,0.16,0.19,2011,0.7,0.56,0.65,0.83,0.52,0.44,0.19,0.23,0.35
47,Rice University,66.9,57.4,50.6,99.1,29.2,31.2,6333.0,0.09,0.26,2011,0.7,0.58,0.51,0.99,0.29,0.31,0.05,0.13,0.48
48,École Polytechnique Fédérale de Lausanne,66.5,55.0,56.1,83.8,38.0,100.0,9666.0,0.1,0.54,2011,0.69,0.55,0.56,0.84,0.38,1.0,0.08,0.14,1.0
49,"University of California, Irvine",66.0,49.4,54.7,91.6,51.73,66.3,26614.0,0.16,0.16,2011,0.69,0.5,0.55,0.92,0.52,0.66,0.21,0.23,0.3
50,University of Science and Technology of China,66.0,57.5,48.6,92.7,30.3,54.24,14290.0,0.08,0.02,2011,0.69,0.58,0.49,0.93,0.3,0.54,0.11,0.11,0.04
51,Vanderbilt University,65.9,64.9,59.5,78.1,84.2,22.1,12161.0,0.04,0.1,2011,0.69,0.65,0.6,0.78,0.84,0.22,0.1,0.06,0.19
52,University of Minnesota,65.6,57.6,69.1,76.4,51.73,23.0,46825.0,0.18,0.13,2011,0.68,0.58,0.7,0.76,0.52,0.23,0.37,0.26,0.24
53,Tufts University,65.2,64.1,52.3,83.9,51.73,28.3,10410.0,0.1,0.14,2011,0.68,0.64,0.53,0.84,0.52,0.28,0.08,0.14,0.26
54,"University of California, Davis",65.0,57.3,70.7,68.8,48.0,60.5,35364.0,0.14,0.13,2011,0.68,0.57,0.71,0.69,0.48,0.6,0.28,0.2,0.24
55,Brown University,64.9,59.7,57.0,77.7,51.73,60.5,8653.0,0.1,0.19,2011,0.68,0.6,0.57,0.78,0.52,0.6,0.07,0.14,0.35
56,University of Massachusetts,64.7,61.3,72.6,67.9,53.9,22.6,56959.0,0.13,0.11,2011,0.67,0.61,0.73,0.68,0.54,0.23,0.45,0.19,0.2
57,Kyoto University,64.6,78.9,77.7,46.3,67.1,18.4,22809.0,0.06,0.07,2011,0.67,0.79,0.78,0.46,0.67,0.18,0.18,0.09,0.13
58,Tsinghua University,64.2,74.9,66.6,52.7,97.8,43.0,39763.0,0.14,0.1,2011,0.67,0.75,0.67,0.53,0.98,0.43,0.31,0.2,0.19
59,Boston University,64.0,53.6,51.9,91.4,29.6,38.1,24789.0,0.09,0.17,2011,0.67,0.54,0.52,0.91,0.3,0.38,0.19,0.13,0.31
60,New York University,63.9,62.0,50.7,82.9,51.73,31.8,42056.0,0.07,0.19,2011,0.66,0.62,0.51,0.83,0.52,0.32,0.33,0.1,0.35
61,Emory University,63.0,63.4,48.4,77.8,51.73,52.3,12338.0,0.04,0.18,2011,0.66,0.64,0.49,0.78,0.52,0.52,0.1,0.06,0.33
62,LMU Munich,63.0,59.1,57.5,76.4,40.4,43.1,35691.0,0.16,0.13,2011,0.66,0.59,0.58,0.76,0.4,0.43,0.28,0.23,0.24
