rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
1,University of Oxford,20965,0.11,0.42,96.4,92.3,99.7,99.0,74.9,96.2,2023,1.0,0.97,1.0,0.99,0.75,0.96,0.05,0.05,0.42
2,Harvard University,21887,0.1,0.25,95.2,94.8,99.0,99.3,49.5,80.5,2023,0.99,1.0,0.99,0.99,0.5,0.81,0.05,0.04,0.25
3,University of Cambridge,20185,0.11,0.39,94.8,90.9,99.5,97.0,54.2,95.8,2023,0.98,0.96,1.0,0.97,0.54,0.96,0.04,0.05,0.39
4,Stanford University,16164,0.07,0.24,94.8,94.2,96.7,99.8,65.0,79.8,2023,0.98,0.99,0.97,1.0,0.65,0.8,0.04,0.03,0.24
5,Massachusetts Institute of Technology,11415,0.08,0.33,94.2,90.7,93.6,99.8,90.9,89.3,2023,0.98,0.96,0.94,1.0,0.91,0.9,0.02,0.03,0.33
6,California Institute of Technology,2237,0.06,0.34,94.1,90.9,97.0,97.3,89.8,83.6,2023,0.98,0.96,0.97,0.97,0.9,0.84,0.0,0.03,0.34
7,Princeton University,8279,0.08,0.23,92.4,87.6,95.9,99.1,66.0,80.3,2023,0.96,0.92,0.96,0.99,0.66,0.81,0.02,0.03,0.23
8,"University of California, Berkeley",40921,0.18,0.24,92.1,86.4,95.8,99.0,76.8,78.4,2023,0.96,0.91,0.96,0.99,0.77,0.79,0.09,0.08,0.24
9,Yale University,13482,0.06,0.21,91.4,92.6,92.7,97.0,55.0,70.9,2023,0.95,0.98,0.93,0.97,0.55,0.71,0.03,0.03,0.21
10,Imperial College London,18545,0.11,0.61,90.4,82.8,90.8,98.3,59.8,97.5,2023,0.94,0.87,0.91,0.98,0.6,0.98,0.04,0.05,0.61
11,Columbia University,21781,0.04,0.38,89.4,89.4,87.7,97.1,44.8,79.9,2023,0.93,0.94,0.88,0.97,0.45,0.8,0.05,0.02,0.38
12,ETH Zurich,21665,0.15,0.41,89.4,82.6,95.4,90.7,59.1,97.7,2023,0.93,0.87,0.96,0.91,0.59,0.98,0.05,0.06,0.41
13,The University of Chicago,15366,0.06,0.36,88.9,86.5,88.8,97.7,56.2,74.2,2023,0.92,0.91,0.89,0.98,0.56,0.74,0.03,0.03,0.36
14,University of Pennsylvania,21453,0.06,0.23,88.8,86.0,88.8,97.0,75.8,71.5,2023,0.92,0.91,0.89,0.97,0.76,0.72,0.05,0.03,0.23
15,Johns Hopkins University,17584,0.05,0.29,88.3,79.4,91.5,97.0,89.5,75.3,2023,0.92,0.84,0.92,0.97,0.9,0.76,0.04,0.02,0.29
16,Tsinghua University,38324,0.12,0.1,88.2,90.1,97.4,88.0,100.0,40.3,2023,0.91,0.95,0.98,0.88,1.0,0.4,0.08,0.05,0.1
17,Peking University,31994,0.1,0.19,88.1,92.5,96.7,80.4,91.8,65.0,2023,0.91,0.98,0.97,0.8,0.92,0.65,0.07,0.04,0.19
18,University of Toronto,77468,0.26,0.26,87.4,77.3,93.3,92.8,65.5,89.7,2023,0.91,0.82,0.94,0.93,0.66,0.9,0.17,0.11,0.26
19,National University of Singapore,32337,0.2,0.25,87.1,76.4,93.0,90.2,87.0,94.0,2023,0.9,0.81,0.93,0.9,0.87,0.94,0.07,0.09,0.25
20,Cornell University,24027,0.1,0.26,85.9,80.2,86.1,97.3,40.4,76.9,2023,0.89,0.85,0.86,0.97,0.4,0.77,0.05,0.04,0.26
21,"University of California, Los Angeles",42434,0.1,0.16,85.8,80.4,88.9,95.4,58.8,65.0,2023,0.89,0.85,0.89,0.95,0.59,0.65,0.09,0.04,0.16
22,UCL,36790,0.1,0.6,85.7,74.5,85.4,97.9,44.5,96.7,2023,0.89,0.79,0.86,0.98,0.44,0.97,0.08,0.04,0.6
23,University of Michigan-Ann Arbor,45912,0.08,0.17,82.9,79.3,84.6,93.6,48.7,59.2,2023,0.86,0.84,0.85,0.94,0.49,0.59,0.1,0.03,0.17
24,New York University,36337,0.1,0.42,82.7,74.2,84.0,95.0,44.6,74.7,2023,0.86,0.78,0.84,0.95,0.45,0.75,0.08,0.04,0.42
25,Duke University,16091,0.04,0.24,82.6,78.1,76.2,95.7,99.6,68.0,2023,0.86,0.82,0.76,0.96,1.0,0.68,0.03,0.02,0.24
26,Northwestern University,19175,0.13,0.2,82.1,71.7,80.7,97.5,85.0,67.0,2023,0.85,0.76,0.81,0.98,0.85,0.67,0.04,0.06,0.2
27,University of Washington,47727,0.11,0.18,82.1,71.6,82.8,98.9,53.9,63.0,2023,0.85,0.76,0.83,0.99,0.54,0.63,0.1,0.05,0.18
28,Carnegie Mellon University,14305,0.13,0.47,81.1,65.4,81.8,98.7,55.2,80.1,2023,0.84,0.69,0.82,0.99,0.55,0.8,0.03,0.06,0.47
29,University of Edinburgh,32845,0.12,0.47,79.8,66.9,74.5,97.1,40.9,95.6,2023,0.83,0.71,0.75,0.97,0.41,0.96,0.07,0.05,0.47
30,Technical University of Munich,33960,0.41,0.36,79.3,69.8,82.2,84.5,100.0,77.7,2023,0.82,0.74,0.82,0.84,1.0,0.78,0.07,0.18,0.36
31,University of Hong Kong,18087,0.18,0.43,78.5,65.6,74.1,92.4,60.6,98.7,2023,0.81,0.69,0.74,0.92,0.61,0.99,0.04,0.08,0.43
32,"University of California, San Diego",37030,0.11,0.28,78.1,60.2,77.2,98.2,93.0,67.8,2023,0.81,0.64,0.77,0.98,0.93,0.68,0.08,0.05,0.28
33,LMU Munich,35003,0.34,0.19,77.7,67.3,78.3,87.4,100.0,70.5,2023,0.81,0.71,0.79,0.87,1.0,0.71,0.08,0.15,0.19
34,University of Melbourne,49588,0.24,0.47,77.6,67.1,75.9,85.8,78.1,93.6,2023,0.8,0.71,0.76,0.86,0.78,0.94,0.11,0.1,0.47
35,King’s College London,28965,0.12,0.52,77.1,58.0,72.9,98.2,45.6,96.1,2023,0.8,0.61,0.73,0.98,0.46,0.96,0.06,0.05,0.52
36,"Nanyang Technological University, Singapore",24651,0.15,0.25,77.0,60.9,77.9,87.2,84.5,94.5,2023,0.8,0.64,0.78,0.87,0.84,0.95,0.05,0.06,0.25
37,London School of Economics and Political Science,11120,0.12,0.73,76.5,59.2,74.3,95.1,37.8,92.8,2023,0.79,0.62,0.75,0.95,0.38,0.93,0.02,0.05,0.73
38,Georgia Institute of Technology,28826,0.25,0.4,76.0,60.2,75.9,91.4,64.9,81.2,2023,0.79,0.64,0.76,0.91,0.65,0.81,0.06,0.11,0.4
39,The University of Tokyo,26112,0.1,0.15,75.9,88.1,91.4,55.5,86.7,43.3,2023,0.79,0.93,0.92,0.56,0.87,0.43,0.06,0.04,0.15
40,University of British Columbia,56452,0.19,0.34,75.7,62.9,73.1,88.8,47.9,94.8,2023,0.79,0.66,0.73,0.89,0.48,0.95,0.12,0.08,0.34
