rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
68,University of Bristol,61.4,49.6,53.1,80.9,36.2,67.2,17906,14,0.25,2011
68,"University of California, Santa Cruz",61.4,38.3,50.4,99.6,-,16.7,17404,22.7,0.01,2011
68,Yeshiva University,61.4,63.5,46.7,74.4,-,53.3,6753,5.5,0.07,2011
71,University of Sydney,61.2,49.8,61.9,64.3,90.8,89.6,41868,20.2,0.28,2011
72,University of Virginia,61.1,62,55.4,68.6,-,42.2,23845,10.2,0.12,2011
73,University of Adelaide,60.7,46.5,38.8,90.5,52.7,87.5,20771,30.1,0.26,2011
73,University of Southern California,60.7,65.4,48.7,71.9,-,31.2,36534,12.9,0.20,2011
75,William & Mary,60.4,53.1,36.1,95.6,-,20.9,7867,11.8,0.07,2011
76,Trinity College Dublin,60.3,47.7,45.3,84.4,31.6,84.2,15521,18,0.25,2011
77,King’s College London,59.7,48.5,54.5,72.1,44.1,85.9,21394,11.4,0.37,2011
78,Stony Brook University,59.6,48.5,43.6,85.8,-,52.2,21908,10.9,0.24,2011
79,Korea Advanced Institute of Science and Technology (KAIST),59.5,71.3,63.4,45.5,100,36.7,9027,10,0.09,2011
79,University of Sussex,59.5,42.4,42.4,91.6,29.1,72.8,12001,17.4,0.35,2011
81,The University of Queensland,59.1,51.8,53.4,69,57.1,74.2,34718,32.7,0.27,2011
81,University of York,59.1,47.9,46.2,81.9,36.2,66.6,,,,2011
83,Heidelberg University,59,59.2,47.5,70.3,39.1,63.4,28881,24.5,0.17,2011
83,University of Utah,59,55.8,54.2,72,-,22.5,25674,16.9,0.09,2011
85,Durham University,58.9,39.8,44.1,91,33.9,65.7,15489,15.7,0.24,2011
86,London School of Economics and Political Science,58.3,62.4,56.2,51.6,38.4,99.5,,,,2011
87,University of Manchester,58,56.5,56.2,59.2,39,79.1,34938,15.3,0.34,2011
88,"Royal Holloway, University of London",57.9,37.7,36.2,93.2,30.5,92.9,8747,15.9,0.37,2011
89,Lund University,57.8,46.3,60.8,67.6,33.2,56.8,28251,11.5,0.15,2011
90,University of Southampton,57.7,50.8,47.8,72.9,37.7,69,20925,13.5,0.29,2011
90,University of Zurich,57.7,56.6,47,65,43.8,87.9,26583,6.5,0.19,2011
90,Wake Forest University,57.7,54.6,42.9,79.2,-,24.4,7326,4.6,0.05,2011
93,McMaster University,57.6,44.7,58.7,68.5,-,-,23823,19.3,0.15,2011
94,University College Dublin,57.5,42.4,36.6,86.3,-,87,22193,24.5,0.23,2011
95,George Washington University,57.3,60.6,43.1,70.2,-,39.6,20541,12,0.16,2011
95,University of Arizona,57.3,52.4,52.2,70.1,84.2,21.9,36429,12.7,0.08,2011
95,University of Basel,57.3,50.2,37.1,78.3,45.8,91.3,12551,17.3,0.24,2011
98,"University of Maryland, College Park",57.2,45.4,48.6,79.2,-,35.4,31331,8.4,0.09,2011
99,Dartmouth College,57.1,44.7,49.2,79.7,-,31,6178,6.6,0.16,2011
100,École Normale Supérieure de Lyon,57,51.1,34.4,88.8,26.1,37.6,2218,8,0.14,2011
101,Technical University of Munich,56.9,50.4,43.2,71.2,-,85.3,35565,31.5,0.20,2011
102,University of Helsinki,56.6,49,51.4,75.4,30.2,24.2,23505,15.1,0.06,2011
103,University of St Andrews,56.5,44.8,47.7,72.9,32.6,85.7,8338,12.7,0.47,2011
104,Rensselaer Polytechnic Institute,56.4,50.5,54.6,64.9,-,48,6671,15,0.16,2011
105,"Rutgers, the State University of New Jersey",56.3,53.4,64.7,55.7,-,26.8,37032,17.3,0.08,2011
106,Purdue University,56.2,57,67.8,43.9,-,62.6,39256,18.1,0.22,2011
107,National Tsing Hua University,56.1,52.2,52.6,66.9,50.2,34.1,10221,13.5,0.05,2011
107,University of Cape Town,56.1,36.6,42.1,82.8,-,83.3,20040,12.1,0.18,2011
109,Pennsylvania State University,56,46.3,49.2,77.6,44,19.9,44501,12.4,0.12,2011
109,Seoul National University,56,62.3,54.1,54.6,43,44.9,26389,13.9,0.10,2011
111,Hong Kong Baptist University,55.6,32.9,32.5,97.6,26.7,71.8,10441,11,0.25,2011
112,Bilkent University,55.4,34.3,36.1,95.7,32.4,47.7,,,,2011
112,Tokyo Institute of Technology,55.4,62.9,63.4,45.5,60.5,24.8,9586,7.3,0.13,2011
114,Eindhoven University of Technology,55.3,55.4,51.7,56.9,99.8,44.9,8176,16,0.14,2011
115,National Taiwan University,55.2,50.3,59,61.6,35.7,29.2,31891,11.9,0.07,2011
115,University of Hawai’i at Mānoa,55.2,38.3,47.6,81,-,34.2,,,,2011
117,"University of California, Riverside",55.1,38.6,47.4,78.3,30.5,63,20626,22,0.12,2011
118,University of Geneva,55,46.6,49.7,63.1,32.7,95.7,15668,15,0.39,2011
119,KU Leuven,54.8,57.7,62.9,45.2,97.7,29.6,42503,41.9,0.18,2011
120,Nanjing University,54.6,52.2,46.2,66,43.4,50.2,29743,13.3,0.10,2011
