rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
,University of Oxford,96.00,91.8,99.5,99.1,67,96.3,20300,11,0.40,2019
,University of Cambridge,94.80,92.1,98.8,97.1,52.9,94.3,18750,10.9,0.37,2019
,Stanford University,94.70,93.6,96.8,99.9,64.6,79.3,15878,7.4,0.23,2019
,Massachusetts Institute of Technology,94.20,91.9,92.7,99.9,87.6,89,11231,8.7,0.34,2019
,California Institute of Technology,94.10,94.5,97.2,99.2,88.2,62.3,2255,6.5,0.29,2019
,Harvard University,93.60,90.1,98.4,99.6,48.7,79.7,20595,9.1,0.26,2019
,Princeton University,92.30,89.9,93.6,99.4,57.3,80.1,7996,8.2,0.24,2019
,Yale University,91.30,91.6,93.5,97.8,51.5,68.3,12318,5.2,0.20,2019
,Imperial College London,90.30,85.8,87.7,97.8,67.3,97.1,16425,11.6,0.56,2019
,The University of Chicago,90.20,90.2,90.1,99,41.4,70.9,13562,6.1,0.25,2019
,ETH Zurich,89.30,83.3,91.4,93.8,56.1,98.2,18171,12.3,0.39,2019
,Johns Hopkins University,89.00,81.9,90.5,98.5,95.5,71.9,16146,4.6,0.25,2019
,University of Pennsylvania,89.00,87.4,89.2,98.4,70.3,63.6,20443,6.4,0.20,2019
,UCL,87.80,79.1,90.1,95.9,42.4,95.8,31695,10.6,0.51,2019
,"University of California, Berkeley",87.70,78.7,92.3,99.7,49.3,69.8,36468,13.2,0.17,2019
,Columbia University,87.20,85.4,83.1,98.8,44.8,79,26586,6,0.37,2019
,"University of California, Los Angeles",86.40,82.6,87.9,97.8,49.4,62.1,39464,9.2,0.17,2019
,Duke University,85.40,84.1,78.8,98.2,100,61,15037,4.4,0.18,2019
,Cornell University,85.10,79.7,85.4,97.4,36.9,71.8,21904,9.8,0.25,2019
,University of Michigan-Ann Arbor,84.10,80,85.9,96,45.9,58,41831,8.3,0.17,2019
,University of Toronto,84.00,75.8,86.3,92.8,50.3,82.8,72202,19,0.19,2019
,Tsinghua University,82.90,87.7,94.1,74.8,99.8,45.8,36912,11.9,0.11,2019
,National University of Singapore,82.40,77.3,88.8,78.9,67.6,95.5,30727,17.4,0.28,2019
,Carnegie Mellon University,82.00,69,81.2,99.3,48.1,79.4,13033,13.3,0.47,2019
,Northwestern University,81.70,69,83.6,97.8,75.8,63,17600,13,0.19,2019
,London School of Economics and Political Science,81.30,71,83.1,91,34.8,92.5,10030,11.8,0.70,2019
,New York University,81.00,77.7,76.1,96.6,38.9,65,44433,8.9,0.32,2019
,University of Washington,80.40,70.7,79.7,98.9,47.6,59.3,45476,11.3,0.16,2019
,University of Edinburgh,79.80,69.2,73.7,96.8,38.2,93.3,28155,12.7,0.41,2019
,"University of California, San Diego",79.70,65.4,79.2,98.2,96,59.9,31687,12.9,0.20,2019
,Peking University,79.30,88.8,80.4,76.7,48.3,57.5,42547,8.9,0.17,2019
,LMU Munich,78.30,69.9,76.1,90.2,100,65.6,35389,36,0.16,2019
,University of Melbourne,78.30,68,73.4,90.3,74,93.1,45030,26.6,0.42,2019
,Georgia Institute of Technology,77.50,62.5,76.1,95.1,62.2,77.1,21903,21.5,0.27,2019
,École Polytechnique Fédérale de Lausanne,76.90,66.5,66.5,92.8,69.1,98.7,10343,11.4,0.57,2019
,University of Hong Kong,76.30,72.6,78.4,73.7,56.5,99.7,18122,18.1,0.43,2019
,University of British Columbia,76.00,60.8,72.6,92.8,42.9,93.9,53566,18.6,0.30,2019
,King’s College London,75.80,61.1,68.7,95.2,45.9,95.3,24295,12.1,0.42,2019
,University of Texas at Austin,75.40,68.8,74.2,94.8,48.7,38,48561,17.1,0.10,2019
,Karolinska Institute,74.90,56.1,72.1,96.2,68.6,77.5,7898,9.2,0.19,2019
,The Hong Kong University of Science and Technology,74.50,56.8,67.6,93.9,65.8,98,10394,23.6,0.31,2019
,Paris Sciences et Lettres – PSL Research University Paris,74.40,74.3,67.8,82.2,49.8,78.3,20722,11.3,0.26,2019
,The University of Tokyo,74.10,84,87.2,61.3,67.2,35.9,25828,7.6,0.11,2019
,University of Wisconsin-Madison,73.90,70.3,71,89.9,46.8,45.6,39193,10.5,0.12,2019
,McGill University,73.70,64.1,69.4,86.3,42.3,89.4,31060,13,0.28,2019
,Technical University of Munich,73.70,62.9,68.6,88.3,100,70.5,39726,50.6,0.24,2019
,Universität Heidelberg,73.20,68.1,59,95.9,55.6,65.7,20953,16.6,0.17,2019
,KU Leuven,72.60,56.9,70.4,88.9,99.9,70.1,44719,36.5,0.15,2019
,Australian National University,72.40,55.5,70.6,87.3,49.1,95,16840,18.5,0.39,2019
,University of Illinois at Urbana-Champaign,72.30,63.2,73.5,86.7,49.4,53.5,43908,17.9,0.24,2019
,"Nanyang Technological University, Singapore",72.20,55.4,65.8,88.6,83.1,95.4,25738,16.7,0.28,2019
,"University of California, Santa Barbara",71.50,50.9,65,98.8,83.4,67,23457,27.9,0.16,2019
,Brown University,71.40,67.3,57.3,95.4,36.2,60.4,9082,10.7,0.21,2019
,Chinese University of Hong Kong,71.40,59.3,64.9,84.5,54.1,98.6,17883,18.4,0.33,2019
,Washington University in St Louis,70.90,63.1,56.6,99.1,39.5,56.5,13074,7.3,0.20,2019
,University of North Carolina at Chapel Hill,70.00,62.2,61.4,96.8,42.4,36.8,34226,9.4,0.08,2019
,University of Manchester,69.90,57.7,62,87.2,45,90.1,36530,14.5,0.39,2019
,Delft University of Technology,69.20,58.1,71.4,70,99.6,91.6,17880,20,0.29,2019
,"University of California, Davis",68.50,59.3,63.6,85.6,52.7,61.2,37847,13.5,0.13,2019
,The University of Sydney,68.50,50.2,61.4,89.1,68.1,87.8,43333,20.5,0.35,2019
,Wageningen University & Research,68.50,49.2,53.6,96.8,100,81.7,13214,20.9,0.29,2019
,University of Amsterdam,67.90,50.1,61.9,92.3,42.9,74,23778,12.3,0.12,2019
,Seoul National University,67.50,74.6,71.1,64.2,77.2,35.1,26066,12.3,0.12,2019
,Purdue University West Lafayette,67.40,61.6,68.6,71.1,64.6,71.8,39409,17,0.23,2019
,Kyoto University,67.30,75.9,77.5,55,95.6,31.1,22420,8.8,0.08,2019
,University of Southern California,67.00,53.2,56.6,93.8,39.2,66.3,35510,11.6,0.25,2019
,Humboldt University of Berlin,66.90,64.1,65.8,72.6,41.8,67.2,33000,59,0.17,2019
,Leiden University,66.30,46.5,62.4,87.3,74.6,74.1,26321,18,0.13,2019
,The University of Queensland,66.00,47.3,57.4,86.5,70.3,91.7,38187,34.4,0.31,2019
,Erasmus University Rotterdam,65.80,40.6,55.7,97.2,56.8,84.5,22019,19.6,0.22,2019
,University of Minnesota,65.30,56.8,58.7,85.6,79.4,39.4,60620,12.3,0.11,2019
,Ohio State University (Main campus),65.30,56.7,54.9,87.1,52.9,58.3,53540,12.8,0.12,2019
,Sorbonne University,65.10,63.2,53.1,80.6,39,67.3,42681,14.3,0.19,2019
,Boston University,65.00,56.3,44.8,96.8,36.5,62.3,25095,8.4,0.27,2019
,Utrecht University,65.00,43.8,61.2,90.7,62.9,63.1,31551,14.3,0.07,2019
,University of Freiburg,64.70,50.5,53.1,85.8,100,71.6,22005,44.5,0.22,2019
