rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,"20,965",10.6,42%,96.4,92.30,99.7,99,74.9,96.2,2023
2,Harvard University,"21,887",9.6,25%,95.2,94.80,99,99.3,49.5,80.5,2023
3,University of Cambridge,"20,185",11.3,39%,94.8,90.90,99.5,97,54.2,95.8,2023
3,Stanford University,"16,164",7.1,24%,94.8,94.20,96.7,99.8,65,79.8,2023
5,Massachusetts Institute of Technology,"11,415",8.2,33%,94.2,90.70,93.6,99.8,90.9,89.3,2023
6,California Institute of Technology,"2,237",6.2,34%,94.1,90.90,97,97.3,89.8,83.6,2023
7,Princeton University,"8,279",8,23%,92.4,87.60,95.9,99.1,66,80.3,2023
8,"University of California, Berkeley","40,921",18.4,24%,92.1,86.40,95.8,99,76.8,78.4,2023
9,Yale University,"13,482",5.9,21%,91.4,92.60,92.7,97,55,70.9,2023
10,Imperial College London,"18,545",11.2,61%,90.4,82.80,90.8,98.3,59.8,97.5,2023
11,Columbia University,"21,781",4.5,38%,89.4,89.40,87.7,97.1,44.8,79.9,2023
11,ETH Zurich,"21,665",14.8,41%,89.4,82.60,95.4,90.7,59.1,97.7,2023
13,The University of Chicago,"15,366",6,36%,88.9,86.50,88.8,97.7,56.2,74.2,2023
14,University of Pennsylvania,"21,453",6.3,23%,88.8,86.00,88.8,97,75.8,71.5,2023
15,Johns Hopkins University,"17,584",4.7,29%,88.3,79.40,91.5,97,89.5,75.3,2023
16,Tsinghua University,"38,324",11.6,10%,88.2,90.10,97.4,88,100,40.3,2023
17,Peking University,"31,994",10.3,19%,88.1,92.50,96.7,80.4,91.8,65,2023
18,University of Toronto,"77,468",25.8,26%,87.4,77.30,93.3,92.8,65.5,89.7,2023
19,National University of Singapore,"32,337",19.8,25%,87.1,76.40,93,90.2,87,94,2023
20,Cornell University,"24,027",10.3,26%,85.9,80.20,86.1,97.3,40.4,76.9,2023
21,"University of California, Los Angeles","42,434",9.7,16%,85.8,80.40,88.9,95.4,58.8,65,2023
22,UCL,"36,790",10.3,60%,85.7,74.50,85.4,97.9,44.5,96.7,2023
23,University of Michigan-Ann Arbor,"45,912",8.2,17%,82.9,79.30,84.6,93.6,48.7,59.2,2023
24,New York University,"36,337",9.8,42%,82.7,74.20,84,95,44.6,74.7,2023
25,Duke University,"16,091",4.2,24%,82.6,78.10,76.2,95.7,99.6,68,2023
26,Northwestern University,"19,175",13.2,20%,82.1,71.70,80.7,97.5,85,67,2023
26,University of Washington,"47,727",10.8,18%,82.1,71.60,82.8,98.9,53.9,63,2023
28,Carnegie Mellon University,"14,305",12.9,47%,81.1,65.40,81.8,98.7,55.2,80.1,2023
29,University of Edinburgh,"32,845",11.8,47%,79.8,66.90,74.5,97.1,40.9,95.6,2023
30,Technical University of Munich,"33,960",40.6,36%,79.3,69.80,82.2,84.5,100,77.7,2023
31,University of Hong Kong,"18,087",18.2,43%,78.5,65.60,74.1,92.4,60.6,98.7,2023
32,"University of California, San Diego","37,030",11.3,28%,78.1,60.20,77.2,98.2,93,67.8,2023
33,LMU Munich,"35,003",34.2,19%,77.7,67.30,78.3,87.4,100,70.5,2023
34,University of Melbourne,"49,588",23.8,47%,77.6,67.10,75.9,85.8,78.1,93.6,2023
35,King’s College London,"28,965",11.8,52%,77.1,58.00,72.9,98.2,45.6,96.1,2023
36,"Nanyang Technological University, Singapore","24,651",15.1,25%,77,60.90,77.9,87.2,84.5,94.5,2023
37,London School of Economics and Political Science,"11,120",11.9,73%,76.5,59.20,74.3,95.1,37.8,92.8,2023
38,Georgia Institute of Technology,"28,826",24.7,40%,76,60.20,75.9,91.4,64.9,81.2,2023
39,The University of Tokyo,"26,112",10.5,15%,75.9,88.10,91.4,55.5,86.7,43.3,2023
40,University of British Columbia,"56,452",18.9,34%,75.7,62.90,73.1,88.8,47.9,94.8,2023
41,École Polytechnique Fédérale de Lausanne,"11,641",12.3,62%,75.4,65.60,70.7,84.5,71.7,98,2023
42,KU Leuven,"47,663",36.5,18%,74.6,59.70,74.9,86.7,99.2,76.8,2023
43,Universität Heidelberg,"19,347",13.5,21%,74.1,67.20,61.5,96,55.7,71.2,2023
44,Monash University,"58,725",42.5,41%,73.6,56.90,68.7,90.4,78.4,91,2023
45,Chinese University of Hong Kong,"18,468",19,21%,73.2,59.10,61.1,95.7,60.9,92.5,2023
46,McGill University,"32,309",12.5,30%,73,62.00,72.4,82.5,43.5,91,2023
47,Paris Sciences et Lettres – PSL Research University Paris,"16,218",15,22%,72.9,68.20,73.5,75.5,78.8,76.3,2023
48,University of Illinois at Urbana-Champaign,"48,674",17.4,22%,72.7,67.10,78.9,78.1,50.1,56.2,2023
49,Karolinska Institute,"8,021",9.9,27%,72.4,51.10,68.8,94,66.4,87.3,2023
50,University of Texas at Austin,"49,171",17.4,10%,72.3,66.20,73.1,87.5,51.3,40.1,2023
51,Fudan University,"36,318",11.9,9%,72,71.80,75.8,74.5,77.3,45.2,2023
52,Shanghai Jiao Tong University,"37,478",11.5,8%,71.2,75.30,82.9,59.9,100,43.7,2023
53,The University of Queensland,"41,372",34.2,41%,71.1,55.90,66.5,84.3,82,93.2,2023
54,University of Manchester,"37,035",14.2,44%,70.9,54.50,63.7,91.3,45.3,92.7,2023
54,The University of Sydney,"45,853",19,45%,70.9,53.10,65.8,88.5,73.2,90.6,2023
56,Seoul National University,"26,209",15.1,10%,70.8,75.20,76.2,67.6,96.6,35.9,2023
57,Washington University in St Louis,"14,420",7.8,24%,70.6,60.30,56.8,98.2,47.5,64,2023
58,The Hong Kong University of Science and Technology,"9,864",21,32%,70.5,51.40,63.4,87.7,95,97.7,2023
59,Wageningen University & Research,"15,404",18.6,27%,70.3,50.40,60.2,93.2,100,88.8,2023
60,University of Amsterdam,"29,157",14.5,32%,69.6,48.00,64.1,93.3,44.4,91.9,2023
61,Brown University,"10,037",10.1,21%,69.3,64.50,58,89.5,39,63.3,2023
62,Australian National University,"16,758",14.6,51%,69,51.30,69.2,81.8,45.6,96,2023
63,"University of California, Davis","37,639",13.1,18%,68.5,59.70,66.3,80.9,52.4,68.7,2023
64,"University of California, Santa Barbara","25,860",28.5,20%,68.4,44.60,61.5,96.2,80.1,76,2023
65,University of Southern California,"40,549",12.6,22%,68.3,58.90,58.6,90.4,43.8,63.7,2023
66,Utrecht University,"32,532",17.1,13%,68.2,44.30,66,91.2,72.7,78.8,2023
67,Zhejiang University,"46,124",12,16%,68.1,67.30,74.8,62.8,100,55.1,2023
68,Kyoto University,"22,269",9.2,12%,68,77.50,79.1,52.3,88.6,40.5,2023
69,University of North Carolina at Chapel Hill,"31,080",7.9,8%,67.8,58.90,59.7,93.3,46,41.7,2023
70,Delft University of Technology,"20,299",16.1,31%,67.7,58.80,76.4,59.1,93.4,94.2,2023
71,Boston University,"27,243",10.8,31%,67.5,55.90,56.1,92.9,41.1,65.9,2023
71,UNSW Sydney,"45,133",36.3,40%,67.5,51.10,59,85.9,63.5,95.1,2023
73,Charité - Universitätsmedizin Berlin,"8,429",18,21%,67.2,48.50,52.2,98.8,87.1,69.3,2023
74,University of Science and Technology of China,"18,573",8.1,6%,67.1,65.00,64.9,78.8,69.4,36.9,2023
75,University of Groningen,"30,009",24.4,28%,66.6,45.40,57.6,90.4,75.8,89.8,2023
76,University of Bristol,"25,680",14.6,31%,66.5,43.80,53.4,98.6,43.5,89.4,2023
77,Leiden University,"33,648",19.3,20%,66.4,43.20,64.4,86.6,68.4,85.4,2023
78,Yonsei University (Seoul campus),"19,481",14.7,17%,66.3,67.00,68.9,63.9,94.8,52.8,2023
79,Hong Kong Polytechnic University,"19,046",28.9,30%,65.8,46.60,57,86.7,56,97.6,2023
80,Erasmus University Rotterdam,"31,668",33.9,22%,65.7,38.60,57.1,95.6,64.4,89.7,2023
81,University of Wisconsin-Madison,"40,701",10,14%,65.5,59.70,62.9,78.7,48.4,51.8,2023
82,Emory University,"13,190",4.2,20%,65.3,54.80,46,98,48.6,59.8,2023
82,University of Glasgow,"28,540",13.5,41%,65.3,43.30,50.8,96.5,41.9,93.8,2023
82,University of Zurich,"25,003",13.7,22%,65.3,51.50,50.7,87.5,57.6,93,2023
85,McMaster University,"26,403",29,20%,65.1,42.70,51.1,94.6,89.9,84.7,2023
86,Humboldt University of Berlin,"34,399",53.2,17%,64.9,55.20,64.3,75.6,42.8,70.5,2023
86,University of Tübingen,"20,620",27.5,13%,64.9,51.10,58.2,84.5,79.9,64.1,2023
88,University of Adelaide,"23,102",32.8,32%,64.7,42.70,51.8,92.2,65.3,93.6,2023
89,University of Bonn,"27,210",47.5,17%,64.6,51.60,56.1,86,55,68.7,2023
90,Sorbonne University,"41,443",13.9,21%,64.5,58.70,58.3,76.6,40,72.3,2023
91,Free University of Berlin,"26,497",41.9,23%,64.2,54.20,62.4,74.8,41.7,76.4,2023
91,Korea Advanced Institute of Science and Technology (KAIST),"9,946",10.7,9%,64.2,64.50,66,65.7,100,38.2,2023
93,Université Paris-Saclay,"44,443",14.9,19%,63.9,56.70,55.2,79.1,54.6,69.7,2023
94,University of Bern,"11,728",17.2,17%,63.7,46.00,46.5,90.7,86.3,88.2,2023
95,"University of California, Irvine","36,655",16.9,28%,63.6,43.50,51.6,93.6,59.4,73.2,2023
95,Institut Polytechnique de Paris,"5,999",6.7,41%,63.6,58.50,58.8,64.8,72.7,95.6,2023
95,Nanjing University,"36,426",16.5,8%,63.6,58.40,58.2,74.3,87.3,55.2,2023
98,Vanderbilt University,"12,696",3.8,15%,63.5,49.50,47.5,96.5,66.7,50.6,2023
99,City University of Hong Kong,"9,099",12.1,62%,63.4,47.20,53,79.9,76.6,99.6,2023
99,RWTH Aachen University,"39,738",50,28%,63.4,56.80,64.5,66.1,93.8,65.1,2023
101,University of Basel,"8,632",10.9,30%,63,47.00,44.1,86.5,99.2,96.8,2023
101,King Abdulaziz University,"31,545",7.8,22%,63,51.70,36.7,91.9,74.2,93.6,2023
101,University of Minnesota,"61,009",12,10%,63,55.10,56.9,81.2,77.8,41.7,2023
104,"University of Maryland, College Park","33,775",16.5,11%,62.9,48.10,57.7,89.7,40,42.6,2023
104,University of Warwick,"23,230",13.1,44%,62.9,44.80,49.6,88.1,42.7,94.9,2023
106,Michigan State University,"45,465",16,13%,62.8,56.20,55.6,78.8,39.9,61.9,2023
107,Ghent University,"39,437",35.6,12%,62.7,48.60,60.1,77.8,80,63.9,2023
108,University of Birmingham,"31,820",15,34%,62.6,40.50,46.2,95.2,42.3,92.2,2023
108,University of Southampton,"21,175",13.7,39%,62.6,41.40,47.5,92.3,44.1,94.6,2023
110,University of Helsinki,"23,059",15.8,5%,62.5,45.90,58.5,86.6,39.1,57,2023
111,University of Montreal,"38,189",20.8,22%,62.3,50.90,53.2,75.8,76.5,85.5,2023
112,Ohio State University (Main campus),"55,814",11.8,13%,62.2,53.00,51.2,83.4,55.3,60.3,2023
113,University of Freiburg,"20,253",37.2,17%,61.9,47.80,52.8,80.8,96.2,67.3,2023
114,University of Copenhagen,"31,519",4.2,16%,61.7,45.10,47.5,87.2,55,84.7,2023
114,Université Paris Cité,"62,747",17,19%,61.7,51.50,44.8,89.3,37.3,68.3,2023
114,University of Sheffield,"27,465",14.5,41%,61.7,43.60,46.4,89.5,47.4,88.5,2023
117,Aarhus University,"26,475",13.5,10%,61.2,40.60,60,77.6,74.1,77.9,2023
118,University of Alberta,"32,338",21.6,28%,61.1,48.80,52.7,72.9,82.7,89.2,2023
119,University of Göttingen,"30,221",26,14%,61,46.30,53.8,83.9,40.1,63,2023
119,Lund University,"28,545",11.5,18%,61,40.50,55.5,81,79.5,78.5,2023
121,Vrije Universiteit Amsterdam,"29,796",19.8,16%,60.9,38.40,52.2,87.5,59.1,79.4,2023
122,Lancaster University,"14,380",12.8,39%,60.8,38.70,40,96.9,38.3,94.9,2023
123,Dartmouth College,"6,440",7.8,15%,60.7,59.80,40.4,88.2,40,42,2023
124,Queen Mary University of London,"20,505",13.1,46%,60.4,34.30,41.3,97.7,44,97.1,2023
124,University of Vienna,"35,929",42.9,29%,60.4,49.40,59.3,65.1,44.8,95.8,2023
126,University of Oslo,"21,548",13.3,15%,60.2,40.10,48.5,89,44.5,77,2023
127,Purdue University West Lafayette,"44,551",16.9,20%,60.1,55.90,64.2,56.9,67.8,71.1,2023
128,University of Hamburg,"30,676",61.5,12%,59.8,46.50,54.4,75.4,96.1,60.4,2023
128,University of Leeds,"33,990",14.6,36%,59.8,46.00,47.8,79.3,40.5,91.8,2023
130,University of Nottingham,"32,875",15.1,31%,59.6,41.80,44.1,86.6,41.7,90.4,2023
131,University of Antwerp,"15,857",32.2,17%,59.4,36.40,46.2,90.4,83.5,71.8,2023
131,The University of Western Australia,"18,405",21.3,28%,59.4,34.90,48.1,85.6,69.2,94.4,2023
133,University of Technology Sydney,"27,481",35.1,31%,59.3,36.90,42.1,90.5,49.7,96,2023
134,Case Western Reserve University,"10,934",8.2,20%,59,48.40,40.6,90.7,43.4,52.9,2023
135,University of Lausanne,"13,401",10.2,23%,58.7,35.80,47.6,83,72.3,92.3,2023
136,Georgetown University,"16,074",8,19%,58.6,55.50,35,88,54,49.1,2023
137,University of Exeter,"24,165",15.9,29%,58.5,32.40,41.3,94.8,39.2,92.7,2023
137,University of Ottawa,"36,670",26,24%,58.5,41.70,45.4,82.6,51,84.1,2023
139,University of Auckland,"33,093",22.1,32%,58.4,36.80,44.3,85.4,56.4,94.3,2023
139,Newcastle University,"25,590",15.1,29%,58.4,33.30,40,96,41.8,87.8,2023
139,Radboud University Nijmegen,"21,979",17.6,13%,58.4,34.90,51.6,85.5,48,74.7,2023
139,University of Würzburg,"23,754",40.7,10%,58.4,40.70,45.2,87.8,79.4,57.3,2023
139,University of York,"17,665",14.4,28%,58.4,39.30,44,85.9,38.4,88.7,2023
144,University of Pittsburgh-Pittsburgh campus,"26,575",5.5,11%,58.3,46.20,42.9,90.6,44.2,43.4,2023
145,Maastricht University,"19,909",18.6,56%,58.2,38.40,49.6,75.5,73.2,98.1,2023
146,University of Cologne,"33,341",30.4,16%,58,44.50,46.5,80,77.3,64.4,2023
147,Rice University,"7,068",9.2,28%,57.9,46.50,39.7,84.4,44.5,75.3,2023
148,University of Colorado Boulder,"34,928",16,8%,57.8,45.60,46.3,85.5,44.6,45.6,2023
148,Ulm University,"10,271",26.2,13%,57.8,41.60,41.2,89.3,77.6,56.1,2023
148,Uppsala University,"25,548",15.3,17%,57.8,37.60,55.7,75.2,71.5,72.6,2023
151,University of Florida,"46,807",16.1,8%,57.7,55.00,58.7,64.2,51.4,41.4,2023
151,Penn State (Main campus),"46,863",14,16%,57.7,47.80,53.8,75.2,41.6,48.3,2023
151,Tufts University,"11,399",10,16%,57.7,47.10,36.7,92.2,43.4,51.4,2023
154,University of Rochester,"10,364",7.7,36%,57.6,42.00,40.5,87,49.3,73.8,2023
155,KTH Royal Institute of Technology,"13,329",16.4,20%,57.5,43.50,53.8,68.4,68.1,81.1,2023
156,Arizona State University (Tempe),"50,027",19.6,17%,57.4,44.80,47.9,79.6,40.2,62.5,2023
156,Technical University of Berlin,"20,243",48.1,27%,57.4,48.80,55.7,62,92.6,67.8,2023
156,TU Dresden,"30,382",30.8,16%,57.4,48.80,50.7,69.1,92.4,60.5,2023
156,University of Virginia (Main campus),"25,810",9,13%,57.4,48.10,39.8,86.6,45.8,52.5,2023
160,University of Cape Town,"21,069",12.8,15%,57.2,33.90,43.8,88.7,53.3,78.8,2023
161,University of Bologna,"69,831",24.4,12%,57,52.10,40.8,80.2,46.4,51.6,2023
161,Trinity College Dublin,"17,764",21,28%,57,36.00,47.3,79.4,47.1,93.7,2023
163,University of Leicester,"14,650",14.1,34%,56.9,31.40,32.9,98.7,41.9,92.5,2023
163,Pohang University of Science and Technology (POSTECH),"3,260",10,3%,56.9,54.70,51.4,67.7,96.2,31.8,2023
166,Southern University of Science and Technology (SUSTech),"5,137",8.8,1%,56.8,29.80,42.9,95.5,77.9,59,2023
166,Technical University of Denmark,"9,599",6.9,26%,56.8,40.40,44.9,73.2,86,94,2023
168,Medical University of Graz,"3,722",14.1,27%,56.6,29.40,34.4,96.8,98.1,79,2023
168,"Northeastern University, US","21,211",14.6,36%,56.6,39.90,30.2,96.2,40.1,76.3,2023
170,Indiana University,"66,637",12.6,13%,56.5,45.50,39.4,85.5,53.6,54.3,2023
170,Université Catholique de Louvain,"24,523",36,20%,56.5,39.90,50.4,72.8,57.7,82.3,2023
170,Sungkyunkwan University (SKKU),"23,399",19.4,18%,56.5,52.80,54,59.4,98.3,56.4,2023
173,Wuhan University,"55,412",15.2,6%,56.4,43.50,40.5,89.2,69.4,35.3,2023
174,Ulsan National Institute of Science and Technology (UNIST),"3,896",13.6,9%,56.3,41.30,42,85.9,89.9,43.7,2023
175,Macquarie University,"30,561",69,27%,56.2,38.70,44.6,76.1,64.9,89.8,2023
176,Huazhong University of Science and Technology,"57,167",16.2,4%,56.1,42.20,42.6,88.8,83.2,25.5,2023
176,University of Liverpool,"26,350",14.2,36%,56.1,33.20,37.7,89.4,39.6,94.1,2023
176,Stockholm University,"30,365",20.7,7%,56.1,29.70,50.4,87.1,38.3,66.3,2023
179,University of Mannheim,"7,684",58.2,13%,56,40.00,48.2,79,61,57.4,2023
180,University of Arizona,"39,797",17,9%,55.9,45.80,47,78.7,52.1,41.3,2023
181,Texas A&M University,"62,931",21.3,8%,55.8,50.20,54.8,63.2,45.1,56,2023
182,University of Barcelona,"45,004",15.8,11%,55.7,33.10,43.4,89.9,50.2,59.9,2023
183,Autonomous University of Barcelona,"31,933",12.7,16%,55.6,35.10,38.8,91.1,43,67.1,2023
