rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1,University of Oxford,95.00,89.6,99.1,99.2,62.5,94.5,19720,10.9,0.35,2017
2,California Institute of Technology,94.30,95.5,95.7,99.8,90.8,63.4,2181,6.7,0.27,2017
3,Stanford University,93.80,92.6,95.9,99.9,60.9,76.5,15658,7.7,0.22,2017
4,University of Cambridge,93.60,90.6,97.2,96.8,50.4,92.4,18605,11.3,0.35,2017
5,Massachusetts Institute of Technology,93.40,90.3,92.3,99.9,88.4,85.6,11192,8.8,0.33,2017
6,Harvard University,92.70,87.5,98.3,99.7,47.3,77.9,19890,8.8,0.25,2017
7,Princeton University,90.20,89.5,88.4,99.2,49.9,77.2,7925,8.4,0.23,2017
8,Imperial College London,90.00,86.4,86.6,97.3,67.5,96.5,15235,11.3,0.52,2017
9,ETH Zurich,89.30,81.5,93.7,92.5,63.7,98.1,18616,14.9,0.37,2017
10,"University of California, Berkeley",88.90,82.4,96.1,99.8,37.6,59.6,34834,12,0.16,2017
10,The University of Chicago,88.90,88.1,89.1,99.1,37.7,67.8,13486,6.2,0.24,2017
12,Yale University,88.20,88.5,87.8,97.8,44.5,64.3,11946,4.4,0.21,2017
13,University of Pennsylvania,87.10,85.9,88.9,98.6,49.9,50.1,20367,6.5,0.20,2017
14,"University of California, Los Angeles",86.60,82.9,89,98.4,47.1,58,38392,9.9,0.16,2017
15,UCL,86.50,77.4,90,94,41.9,94.3,28600,10.6,0.47,2017
16,Columbia University,86.10,86.9,78.9,98.6,44.9,75.3,25659,6,0.30,2017
17,Johns Hopkins University,85.90,77.4,84.3,98.4,100,71.1,15303,3.5,0.24,2017
18,Duke University,84.70,80.7,80,98.8,100,58.2,15204,4.8,0.17,2017
19,Cornell University,84.60,79.7,86.5,97.2,36,62.2,21593,9.9,0.19,2017
20,Northwestern University,83.70,75.8,85,97,85.8,56.1,18570,14,0.16,2017
21,University of Michigan-Ann Arbor,83.60,79.4,86.1,95.8,43.9,54.6,41912,8.8,0.16,2017
22,University of Toronto,83.00,74.6,86.3,91.9,48.8,78.3,68093,18.8,0.16,2017
23,Carnegie Mellon University,81.80,70.2,84,99.3,51.8,59.6,12311,13.2,0.38,2017
24,National University of Singapore,81.70,76.7,86.9,79.7,61.3,96,31111,16.7,0.32,2017
25,London School of Economics and Political Science,80.20,70.8,74.7,96.3,34.8,91,9400,11.8,0.70,2017
25,University of Washington,80.20,70.2,80.4,98.8,49.8,55,45162,11.9,0.15,2017
27,University of Edinburgh,79.20,67.5,74.7,96,35,91.5,25280,12.5,0.37,2017
28,Karolinska Institute,77.60,62.1,76,95.9,72.1,74.2,7723,11.3,0.23,2017
29,Peking University,77.20,84.6,80.3,71.6,100,50.3,42977,8.8,0.15,2017
30,LMU Munich,76.80,70.5,73.4,87.4,100,65.4,36180,15.7,0.14,2017
30,École Polytechnique Fédérale de Lausanne,76.80,62.9,66.1,96.5,69.8,98.6,9750,11.2,0.54,2017
32,New York University,76.70,75.1,68.8,95.3,33.6,54.3,43021,6.6,0.25,2017
33,Georgia Institute of Technology,76.30,60.8,79.2,90.8,62.3,72.8,19847,19.8,0.26,2017
33,University of Melbourne,76.30,65.4,73.6,88.1,63.7,88.3,42273,24.8,0.37,2017
35,Tsinghua University,76.20,78.9,89.6,67.4,99.7,39.4,41537,14.1,0.10,2017
36,University of British Columbia,75.90,61.2,72.5,92.9,41.1,92,51889,18.2,0.29,2017
36,University of Illinois at Urbana-Champaign,75.90,65.6,81.4,89.3,50.3,49.7,43202,18.3,0.22,2017
