rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1,California Institute of Technology,95.2,95.6,97.6,99.8,97.8,64,2243,6.9,0.27,2016
2,University of Oxford,94.2,86.5,98.9,98.8,73.1,94.4,19919,11.6,0.34,2016
3,Stanford University,93.9,92.5,96.2,99.9,63.3,76.3,15596,7.8,0.22,2016
4,University of Cambridge,92.8,88.2,96.7,97,55,91.5,18812,11.8,0.34,2016
5,Massachusetts Institute of Technology,92,89.4,88.6,99.7,95.4,84,11074,9,0.33,2016
6,Harvard University,91.6,83.6,99,99.8,45.2,77.2,20152,8.9,0.25,2016
7,Princeton University,90.1,85.1,91.9,99.3,52.1,78.5,7929,8.4,0.27,2016
8,Imperial College London,89.1,83.3,88.5,96.7,53.7,96,15060,11.7,0.51,2016
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,88.3,77,95,91.1,80,97.9,18178,14.7,0.37,2016
10,University of Chicago,87.9,85.7,88.9,99.2,36.6,65,14221,6.9,0.21,2016
11,Johns Hopkins University,87.6,77.6,90.4,98.2,100,70,15128,3.6,0.23,2016
12,Yale University,87.4,86.5,87.8,97.2,43.3,64.3,11751,4.4,0.20,2016
13,"University of California, Berkeley",87.2,80.4,91.1,99.7,47.9,61.9,36186,16.4,0.15,2016
14,University College London,87.1,78.1,91,94.2,40.5,94.4,26607,10.7,0.46,2016
15,Columbia University,86.1,85.9,82.2,98.1,-,73.5,25055,5.9,0.28,2016
16,"University of California, Los Angeles",85.8,80.8,88.6,98.5,47.9,56.4,38206,10.3,0.15,2016
17,University of Pennsylvania,85.2,82,86.9,98.6,47.9,49.5,20376,6.5,0.20,2016
18,Cornell University,84,77.9,86.1,97.2,33.7,63.9,21424,10.2,0.19,2016
19,University of Toronto,83.9,75.9,89.3,90.9,49.1,77.8,66198,19.5,0.15,2016
20,Duke University,82.7,76,78,99,100,56.5,15172,4.8,0.17,2016
21,University of Michigan,82.4,76.8,85.2,94.4,56.3,53.7,41786,9,0.16,2016
22,Carnegie Mellon University,82.3,67.4,88.8,99.1,57.5,57.1,11885,13.1,0.35,2016
23,London School of Economics and Political Science,81.3,69.8,80.6,94.3,32.2,93.6,,,,2016
