rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1,University of Oxford,94.30,86.7,99.5,99.1,63.7,95,20410,11.2,0.38,2018
2,University of Cambridge,93.20,87.8,97.8,97.5,51.5,93,18390,10.9,0.35,2018
3,California Institute of Technology,93.00,90.3,97.5,99.5,92.6,59.7,2209,6.5,0.27,2018
3,Stanford University,93.00,89.1,96.7,99.9,60.5,77.6,15845,7.5,0.22,2018
5,Massachusetts Institute of Technology,92.50,87.3,91.9,100,88.4,87.6,11177,8.7,0.34,2018
6,Harvard University,91.80,84.2,98.4,99.7,46.4,79.7,20326,8.9,0.26,2018
7,Princeton University,91.10,85.7,93.9,99.6,58,78.7,7955,8.3,0.24,2018
8,Imperial College London,89.20,81.7,88.7,96.7,71.6,96.6,15855,11.4,0.55,2018
9,The University of Chicago,88.60,85.3,90.1,99.4,39.8,69.6,13525,6.2,0.25,2018
10,ETH Zurich,87.70,76.4,92,94.3,60.3,98.1,19233,14.6,0.38,2018
10,University of Pennsylvania,87.70,83.7,90.1,98.5,56.9,61.3,20361,6.5,0.20,2018
12,Yale University,87.60,86.7,87,98.4,45.1,64.6,12155,4.3,0.21,2018
13,Johns Hopkins University,86.50,76.1,88.1,98.4,95.8,70.6,15498,4.3,0.24,2018
14,Columbia University,86.00,82.2,83.3,98.8,41.3,76.6,26587,6.1,0.32,2018
15,"University of California, Los Angeles",85.70,80.7,88.1,97.9,48.6,59.5,39279,9.6,0.17,2018
16,UCL,85.30,74.4,88.2,94.6,41.2,94.6,30305,10.5,0.49,2018
17,Duke University,85.10,80.7,80.6,98.3,100,62.5,15256,4.5,0.22,2018
18,"University of California, Berkeley",84.30,77.4,84.5,99.8,37.5,64.5,36182,13.1,0.17,2018
19,Cornell University,84.20,76.2,86.6,97.6,34.6,69.2,21850,9.8,0.24,2018
20,Northwestern University,83.30,72.6,86.7,96.9,78.2,59.2,17466,12.8,0.18,2018
21,University of Michigan-Ann Arbor,83.10,77.2,86.3,95.7,46.2,55.8,41818,8.6,0.16,2018
22,National University of Singapore,82.80,77.4,88.2,81.3,61.9,95.8,30602,17,0.30,2018
22,University of Toronto,82.80,74.6,84.8,92.6,46.5,80.1,69427,18.7,0.17,2018
24,Carnegie Mellon University,81.90,65.8,83.7,99.7,50.4,79.1,12676,13.5,0.45,2018
25,London School of Economics and Political Science,79.40,71.8,72,94.9,33.7,92.2,10065,12.1,0.71,2018
25,University of Washington,79.40,67.9,79.9,99,47.3,56.5,44945,11.4,0.16,2018
27,University of Edinburgh,79.20,66.8,74.2,97,36.3,92,26760,12.4,0.40,2018
27,New York University,79.20,73.7,77.4,96.5,37,53.4,43860,9.6,0.26,2018
27,Peking University,79.20,83,85.1,74.2,100,53,42136,8.9,0.16,2018
